year,season,league_name,week,team_1,team_2,Blue,Red,MH,PB,Start,HL,set_number
2020.0,summer,BL,1,S1,BG,S1,BG,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/1382841?gameHash=2d9c2dc0dd533367&tab=overview,https://youtu.be/O9LSpVrxCYA?t=905,https://youtu.be/O9LSpVrxCYA?t=1519,https://youtu.be/4B6lxfJohmA,1.0
2020.0,summer,BL,1,RSCA,KVM,KVM,RSCA,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/1392894?gameHash=ff5d01dcaf33ca31&tab=overview,https://youtu.be/4w0wABhfe2U?t=237,https://youtu.be/4w0wABhfe2U?t=722,https://youtu.be/Q9HSUqHL_KU,1.0
2020.0,summer,BL,1,S1,ATR,ATR,S1,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/1392900?gameHash=b905458f72fcb427&tab=overview,https://youtu.be/bZImag5ULVU?t=184,https://youtu.be/bZImag5ULVU?t=705,https://youtu.be/zt9o0dzQD70,1.0
2020.0,summer,BL,1,RSCA,7AM,7AM,RSCA,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/1392914?gameHash=afef91fa8acb0442&tab=overview,https://youtu.be/NWV99Xzt_qk?t=270,https://youtu.be/NWV99Xzt_qk?t=755,https://youtu.be/zHtt7aIPazk,1.0
2020.0,summer,BL,2,KVM,ATR,ATR,KVM,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/1393295?gameHash=490daccda40486a5&tab=overview,https://youtu.be/IsRsZrDG7_c?t=903,https://youtu.be/IsRsZrDG7_c?t=1550,https://youtu.be/YR13q6V45mY,1.0
2020.0,summer,BL,2,BG,7AM,BG,7AM,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/1393300?gameHash=41cf636e81eb8da3&tab=overview,https://youtu.be/SVFCkxPmCvU?t=263,https://youtu.be/SVFCkxPmCvU?t=797,https://youtu.be/gP6QtZmrAHA,1.0
2020.0,summer,BL,2,KVM,S1,S1,KVM,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/1393302?gameHash=166ee2e05e6c61da&tab=overview,https://youtu.be/RP0YJSAc09w?t=322,https://youtu.be/RP0YJSAc09w?t=830,https://youtu.be/wAP86vCvidY,1.0
2020.0,summer,BL,2,BG,RSCA,RSCA,BG,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/1393304?gameHash=0d22337b329d237d&tab=overview,https://youtu.be/Zgi6epPiOh0?t=298,https://youtu.be/Zgi6epPiOh0?t=790,https://youtu.be/wm09YsRucfs,1.0
2020.0,summer,BL,3,ATR,RSCA,RSCA,ATR,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1404423?gameHash=cc17f8d7b4449d46&tab=overview,https://youtu.be/h7i-LTqpNlk?t=942,https://youtu.be/h7i-LTqpNlk?t=1565,https://youtu.be/KAY4-B9TWm4,1.0
2020.0,summer,BL,3,7AM,S1,7AM,S1,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1404433?gameHash=ceb0086604945d89&tab=overview,https://youtu.be/JkCFXvAD3F4?t=288,https://youtu.be/JkCFXvAD3F4?t=786,https://youtu.be/uw1_92hFWQY,1.0
