year,season,league_name,week,team_1,team_2,Vod,set_number
2017.0,summer,BRCC,1,KBM,IDM,http://www.youtube.com/watch?v=TS9x-Td7E8w,1.0
2017.0,summer,BRCC,1,,,http://www.youtube.com/watch?v=-zIj13An-VY,2.0
2017.0,summer,BRCC,1,Brave,HKS,http://www.youtube.com/watch?v=mA3dQX6vjts,1.0
2017.0,summer,BRCC,1,,,http://www.youtube.com/watch?v=nb01pbkcRac,2.0
2017.0,summer,BRCC,1,OPK,MGG,http://www.youtube.com/watch?v=QXGGGYAOaU8,1.0
2017.0,summer,BRCC,1,,,http://www.youtube.com/watch?v=hU6L_kLGTBo,2.0
2017.0,summer,BRCC,2,Brave,OPK,http://youtube.com/watch?v=iG2vHzZqcM0?list=PL0lnhJGwGLFUX19JYqrbenCHKV78Q971i&t=659,1.0
2017.0,summer,BRCC,2,,,http://youtube.com/watch?v=ae_8CkVu3S8?list=PL0lnhJGwGLFUX19JYqrbenCHKV78Q971i&t=479,2.0
2017.0,summer,BRCC,2,HKS,IDM,http://youtube.com/watch?v=EItySqfaoy0?list=PL0lnhJGwGLFUX19JYqrbenCHKV78Q971i&t=437,1.0
2017.0,summer,BRCC,2,,,http://youtube.com/watch?v=9ugziwfC52c?list=PL0lnhJGwGLFUX19JYqrbenCHKV78Q971i&t=405,2.0
2017.0,summer,BRCC,2,MGG,KBM,http://youtube.com/watch?v=o7FaG10OfS8?list=PL0lnhJGwGLFUX19JYqrbenCHKV78Q971i&t=555,1.0
2017.0,summer,BRCC,2,,,http://youtube.com/watch?v=jRoSsfK1sF0?list=PL0lnhJGwGLFUX19JYqrbenCHKV78Q971i&t=525,2.0
2017.0,summer,BRCC,3,HKS,KBM,http://youtube.com/watch?v=9s_MKNoPkCQ?list=PL0lnhJGwGLFUX19JYqrbenCHKV78Q971i&t=465,1.0
2017.0,summer,BRCC,3,,,http://youtube.com/watch?v=1lD6pAAVBbs?list=PL0lnhJGwGLFUX19JYqrbenCHKV78Q971i&t=415,2.0
2017.0,summer,BRCC,3,OPK,IDM,http://youtube.com/watch?v=a_aWXz0tC50?list=PL0lnhJGwGLFUX19JYqrbenCHKV78Q971i&t=489,1.0
2017.0,summer,BRCC,3,,,http://youtube.com/watch?v=P4-B1I0LTl8?list=PL0lnhJGwGLFUX19JYqrbenCHKV78Q971i&t=436,2.0
2017.0,summer,BRCC,3,Brave,MGG,http://youtube.com/watch?v=HQ0OTEP-XDc?list=PL0lnhJGwGLFUX19JYqrbenCHKV78Q971i&t=365,1.0
2017.0,summer,BRCC,3,,,http://youtube.com/watch?v=OMqazkqstns?list=PL0lnhJGwGLFUX19JYqrbenCHKV78Q971i&t=548,2.0
2017.0,summer,BRCC,4,IDM,MGG,http://youtube.com/watch?v=18h8yfEUr4o?list=PL0lnhJGwGLFUX19JYqrbenCHKV78Q971i&t=249,1.0
2017.0,summer,BRCC,4,,,http://youtube.com/watch?v=e6TUEP7XDCs?list=PL0lnhJGwGLFUX19JYqrbenCHKV78Q971i&t=531,2.0
2017.0,summer,BRCC,4,KBM,Brave,http://youtube.com/watch?v=SRRkqie6g-4?list=PL0lnhJGwGLFUX19JYqrbenCHKV78Q971i&t=476,1.0
2017.0,summer,BRCC,4,,,http://youtube.com/watch?v=AaHsDIUGwio?list=PL0lnhJGwGLFUX19JYqrbenCHKV78Q971i&t=698,2.0
2017.0,summer,BRCC,4,OPK,HKS,http://youtube.com/watch?v=5juHOi8R7NA?list=PL0lnhJGwGLFUX19JYqrbenCHKV78Q971i&t=1672,1.0
2017.0,summer,BRCC,4,,,http://youtube.com/watch?v=vnhbj_HvgGA?list=PL0lnhJGwGLFUX19JYqrbenCHKV78Q971i&t=595,2.0
2017.0,summer,BRCC,5,KBM,OPK,http://youtube.com/watch?v=iFStJHQRPjU?list=PL0lnhJGwGLFUX19JYqrbenCHKV78Q971i&t=651,1.0
2017.0,summer,BRCC,5,,,http://youtube.com/watch?v=xde97jyk2h0?list=PL0lnhJGwGLFUX19JYqrbenCHKV78Q971i&t=549,2.0
2017.0,summer,BRCC,5,MGG,HKS,http://youtube.com/watch?v=A-B4tiKTTDY?list=PL0lnhJGwGLFUX19JYqrbenCHKV78Q971i&t=847,1.0
2017.0,summer,BRCC,5,,,http://youtube.com/watch?v=IN5aDsEXSWI?list=PL0lnhJGwGLFUX19JYqrbenCHKV78Q971i&t=777,2.0
2017.0,summer,BRCC,5,IDM,Brave,http://youtube.com/watch?v=QXerYqGSSMU?list=PL0lnhJGwGLFUX19JYqrbenCHKV78Q971i&t=886,1.0
2017.0,summer,BRCC,5,,,http://youtube.com/watch?v=SxgmcZFGnhk?list=PL0lnhJGwGLFUX19JYqrbenCHKV78Q971i&t=805,2.0
