year,season,league_name,week,team_1,team_2,Blue,Red,MH,PB,Start,Post,MVP,set_number
2019.0,spring,BRCC,1,RED,PNG,RED,PNG,https://matchhistory.br.leagueoflegends.com/pt/#match-details/ESPORTSTMNT01/1032506?gameHash=f51f070740db99f9&tab=overview,https://youtu.be/AGpH5c1xvNg?t=13,https://youtu.be/AGpH5c1xvNg?t=404,https://youtu.be/AGpH5c1xvNg?t=2401,Minerva,1.0
2019.0,spring,BRCC,1,FKL,OPK,FKL,OPK,https://matchhistory.br.leagueoflegends.com/pt/#match-details/ESPORTSTMNT01/1032537?gameHash=68516fcc8feb3b5d&tab=overview,https://youtu.be/_s2ZAfnV49o?t=12,https://youtu.be/_s2ZAfnV49o?t=464,https://youtu.be/_s2ZAfnV49o?t=2693,Vahvel,1.0
2019.0,spring,BRCC,1,ONE,HL,ONE,HL,https://matchhistory.br.leagueoflegends.com/pt/#match-details/ESPORTSTMNT01/1032551?gameHash=698e115d6ac2441a&tab=overview,https://youtu.be/UwTFMVoGGkg?t=12,https://youtu.be/UwTFMVoGGkg?t=542,https://youtu.be/UwTFMVoGGkg?t=2571,SkyBart,1.0
2019.0,spring,BRCC,1,PNG,OPK,PNG,OPK,https://matchhistory.br.leagueoflegends.com/pt/#match-details/ESPORTSTMNT01/1042687?gameHash=02dc71357571667e&tab=overview,https://www.youtube.com/watch?v=uMr8uzb_QmI&t=7s,https://www.youtube.com/watch?v=uMr8uzb_QmI&t=427s,https://youtu.be/uMr8uzb_QmI?t=1971,Minerva,1.0
2019.0,spring,BRCC,1,ONE,FKL,ONE,FKL,https://matchhistory.br.leagueoflegends.com/pt/#match-details/ESPORTSTMNT01/1042711?gameHash=800c0200ea8eef03&tab=overview,https://www.youtube.com/watch?v=ZSZiDuoxf_Q&t=7s,https://www.youtube.com/watch?v=ZSZiDuoxf_Q&t=522s,https://youtu.be/ZSZiDuoxf_Q?t=2836,Evrot,1.0
2019.0,spring,BRCC,1,RED,HL,RED,HL,https://matchhistory.br.leagueoflegends.com/pt/#match-details/ESPORTSTMNT01/1042728?gameHash=de6273206f0dd146&tab=overview,https://www.youtube.com/watch?v=-xcdvTDZoVY&t=9,https://www.youtube.com/watch?v=-xcdvTDZoVY&t=536,https://youtu.be/-xcdvTDZoVY?t=2442,Sacy,1.0
2019.0,spring,BRCC,2,OPK,HL,OPK,HL,https://matchhistory.br.leagueoflegends.com/pt/#match-details/ESPORTSTMNT02/982923?gameHash=e06eecb5687964f5&tab=overview,https://www.youtube.com/watch?v=w-E0E0vMFEo&t=4s,https://www.youtube.com/watch?v=w-E0E0vMFEo&t=487s,https://youtu.be/w-E0E0vMFEo?t=3239,Cariok,1.0
2019.0,spring,BRCC,2,ONE,RED,ONE,RED,https://matchhistory.br.leagueoflegends.com/pt/#match-details/ESPORTSTMNT02/982948?gameHash=46f08b0201004028&tab=overview,https://www.youtube.com/watch?v=F2gaLeWT_UU&t=10s,https://www.youtube.com/watch?v=F2gaLeWT_UU&t=531s,https://youtu.be/F2gaLeWT_UU?t=2082,Revolta,1.0
2019.0,spring,BRCC,2,PNG,FKL,PNG,FKL,https://matchhistory.br.leagueoflegends.com/pt/#match-details/ESPORTSTMNT02/982953?gameHash=4f6a34b29e4ac1b1&tab=overview,https://www.youtube.com/watch?v=_6y87xp9d3M&t=10s,https://www.youtube.com/watch?v=_6y87xp9d3M&t=437s,https://youtu.be/_6y87xp9d3M?t=3084,esA,1.0
2019.0,spring,BRCC,2,RED,OPK,RED,OPK,https://matchhistory.br.leagueoflegends.com/pt/#match-details/ESPORTSTMNT02/993077?gameHash=f8f50f8dc7ed2fbd&tab=overview,https://www.youtube.com/watch?v=Svqn3Px-0Dk&t=16,https://www.youtube.com/watch?v=Svqn3Px-0Dk&t=431,https://youtu.be/Svqn3Px-0Dk?t=2182,Lep,1.0
2019.0,spring,BRCC,2,PNG,ONE,PNG,ONE,https://matchhistory.br.leagueoflegends.com/pt/#match-details/ESPORTSTMNT02/993087?gameHash=56d658c95fcadb52&tab=overview,https://www.youtube.com/watch?v=KwmciI8o_-M&t=23s,https://www.youtube.com/watch?v=KwmciI8o_-M&t=473s,https://youtu.be/KwmciI8o_-M?t=2053,esA,1.0
2019.0,spring,BRCC,2,HL,FKL,HL,FKL,https://matchhistory.br.leagueoflegends.com/pt/#match-details/ESPORTSTMNT02/993091?gameHash=852759a99f48270f&tab=overview,https://www.youtube.com/watch?v=-N4ZoTlFyf8,https://www.youtube.com/watch?v=-N4ZoTlFyf8&t=454s,https://youtu.be/-N4ZoTlFyf8?t=2761,Sarkis,1.0
2019.0,spring,BRCC,3,FKL,RED,FKL,RED,https://matchhistory.br.leagueoflegends.com/pt/#match-details/ESPORTSTMNT01/1061982?gameHash=b68c1825fab59755&tab=overview,https://www.youtube.com/watch?v=UkEH1SQyyGY&t=6s,https://www.youtube.com/watch?v=UkEH1SQyyGY&t=477s,https://youtu.be/UkEH1SQyyGY?t=3192,Lep,1.0
2019.0,spring,BRCC,3,HL,PNG,HL,PNG,https://matchhistory.br.leagueoflegends.com/pt/#match-details/ESPORTSTMNT01/1062016?gameHash=02a0bfcc38c34d15&tab=overview,https://www.youtube.com/watch?v=BB9Unz9n5do&t=10s,https://www.youtube.com/watch?v=BB9Unz9n5do&t=506s,https://youtu.be/BB9Unz9n5do?t=2543,Tinowns,1.0
