year,season,league_name,week,team_1,team_2,Blue,Red,MH,PB,Start,MVP,set_number
2019.0,summer,BRCC,1,RED,VK,RED,VK,https://matchhistory.br.leagueoflegends.com/pt/#match-details/ESPORTSTMNT01/1142545?gameHash=3667eac0ac39cfb1,https://youtu.be/zSRlHje3iLA?t=98,https://youtu.be/zSRlHje3iLA?t=559,Xabula,1.0
2019.0,summer,BRCC,1,HL,RNS,HL,RNS,https://matchhistory.br.leagueoflegends.com/pt/#match-details/ESPORTSTMNT01/1132446?gameHash=a7cff6bc3b6475cb,https://youtu.be/TmTN5N1bsMY?t=74,https://youtu.be/TmTN5N1bsMY?t=478,Slayer,1.0
2019.0,summer,BRCC,1,PRG,FKL,PRG,FKL,https://matchhistory.br.leagueoflegends.com/pt/#match-details/ESPORTSTMNT01/1132456?gameHash=9d3a8097de643743,https://youtu.be/ss5HkWLrEGs?t=179,https://youtu.be/ss5HkWLrEGs?t=568,fNb,1.0
2019.0,summer,BRCC,1,RNS,RED,RNS,RED,https://matchhistory.br.leagueoflegends.com/pt/#match-details/ESPORTSTMNT01/1132748?gameHash=cbf025903a79f7ef,https://youtu.be/AG9szlaOzW0?t=161,https://youtu.be/AG9szlaOzW0?t=527,TitaN,1.0
2019.0,summer,BRCC,1,FKL,VK,FKL,VK,https://matchhistory.br.leagueoflegends.com/pt/#match-details/ESPORTSTMNT01/1132768?gameHash=e00b43cdef689a6e,https://youtu.be/p36r9xxvjZ4?t=323,https://youtu.be/p36r9xxvjZ4?t=777,NOsFerus,1.0
2019.0,summer,BRCC,1,PRG,HL,PRG,HL,https://matchhistory.br.leagueoflegends.com/pt/#match-details/ESPORTSTMNT01/1132781?gameHash=384650c217e0fdb9,https://youtu.be/tvtbDpzLFF0?t=94,https://youtu.be/tvtbDpzLFF0?t=476,fNb,1.0
2019.0,summer,BRCC,2,RNS,PRG,RNS,PRG,https://matchhistory.br.leagueoflegends.com/pt/#match-details/ESPORTSTMNT01/1145137?gameHash=441117b2bc74aea5,https://youtu.be/_rlXKJeqsrk?t=71,https://youtu.be/_rlXKJeqsrk?t=426,Garo,1.0
2019.0,summer,BRCC,2,RED,FKL,RED,FKL,https://matchhistory.br.leagueoflegends.com/pt/#match-details/ESPORTSTMNT01/1145145?gameHash=440dcd5ecca4607e,https://youtu.be/v7iwVCK10Sg?t=59,https://youtu.be/v7iwVCK10Sg?t=448,Revolta,1.0
2019.0,summer,BRCC,2,VK,HL,VK,HL,https://matchhistory.br.leagueoflegends.com/pt/#match-details/ESPORTSTMNT01/1145147?gameHash=ed14eb31764e35c5,https://youtu.be/LfJpCUOlHwM?t=54,https://youtu.be/LfJpCUOlHwM?t=498,mumus100,1.0
2019.0,summer,BRCC,2,FKL,RNS,FKL,RNS,https://matchhistory.br.leagueoflegends.com/pt/#match-details/ESPORTSTMNT01/1134957?gameHash=fe37a4b6bca03114,https://youtu.be/Ege7uMpnfUQ?t=77,https://youtu.be/Ege7uMpnfUQ?t=486,VVvert,1.0
2019.0,summer,BRCC,2,PRG,VK,PRG,VK,https://matchhistory.br.leagueoflegends.com/pt/#match-details/ESPORTSTMNT01/1134969?gameHash=1dac4568b44f8e46,https://youtu.be/GvFPVsSoDxs?t=47,https://youtu.be/GvFPVsSoDxs?t=468,Grell,1.0
2019.0,summer,BRCC,2,HL,RED,HL,RED,https://matchhistory.br.leagueoflegends.com/pt/#match-details/ESPORTSTMNT01/1134973?gameHash=8a5010c2b2203101,https://youtu.be/px-NqWt5HDw?t=58,https://youtu.be/px-NqWt5HDw?t=495,YoDa,1.0
2019.0,summer,BRCC,3,RED,PRG,RED,PRG,https://matchhistory.br.leagueoflegends.com/pt/#match-details/ESPORTSTMNT02/1092861?gameHash=15cce01dd7c5d07c&tab=overview,https://youtu.be/KKaH1rEjg98?t=135,https://youtu.be/KKaH1rEjg98?t=567,Revolta,1.0
2019.0,summer,BRCC,3,HL,FKL,HL,FKL,https://matchhistory.br.leagueoflegends.com/pt/#match-details/ESPORTSTMNT02/1092874?gameHash=1c9ba7a61c756289&tab=overview,https://youtu.be/c-17l1IakDQ?t=42,https://youtu.be/c-17l1IakDQ?t=451,Zantins,1.0
2019.0,summer,BRCC,3,VK,RNS,VK,RNS,https://matchhistory.br.leagueoflegends.com/pt/#match-details/ESPORTSTMNT02/1082729?gameHash=43d5540b7a2e0887&tab=overview,https://youtu.be/_IskcEgEm8M?t=39,https://youtu.be/_IskcEgEm8M?t=446,Grell,1.0
2019.0,summer,BRCC,3,FKL,PRG,FKL,PRG,https://matchhistory.br.leagueoflegends.com/pt/#match-details/ESPORTSTMNT02/1082997?gameHash=71fce0365cee28d9,https://youtu.be/1O0RLvOvVCs?t=55,https://youtu.be/1O0RLvOvVCs?t=444,Yampi,1.0
2019.0,summer,BRCC,3,VK,RED,VK,RED,https://matchhistory.br.leagueoflegends.com/pt/#match-details/ESPORTSTMNT02/1083015?gameHash=610a914529bc53d4&tab=overview,https://youtu.be/XyWF9O0AdRY?t=55,https://youtu.be/XyWF9O0AdRY?t=473,Mumus100,1.0
2019.0,summer,BRCC,3,RNS,HL,RNS,HL,https://matchhistory.br.leagueoflegends.com/pt/#match-details/ESPORTSTMNT02/1083026?gameHash=c61a64830061e84c&tab=overview,https://youtu.be/COUfO6UEbSE?t=41,https://youtu.be/COUfO6UEbSE?t=410,Cariok,1.0
2019.0,summer,BRCC,4,VK,FKL,VK,FKL,https://matchhistory.br.leagueoflegends.com/pt/#match-details/ESPORTSTMNT02/1085524?gameHash=28c254c5b3964378&tab=overview,https://youtu.be/FBIH1Rn1sZw?t=143,https://youtu.be/FBIH1Rn1sZw?t=570,Klaus,1.0
2019.0,summer,BRCC,4,HL,PRG,HL,PRG,https://matchhistory.br.leagueoflegends.com/pt/#match-details/ESPORTSTMNT02/1085539?gameHash=9c745d9b0e049551&tab=overview,https://youtu.be/Ttsw3SJ5_kY?t=34,https://youtu.be/Ttsw3SJ5_kY?t=381,Hauz,1.0
2019.0,summer,BRCC,4,RED,RNS,RED,RNS,https://matchhistory.br.leagueoflegends.com/pt/#match-details/ESPORTSTMNT02/1085565?gameHash=8cd724983c8edcf3&tab=overview,https://youtu.be/7XbneB7WZZg?t=26,https://youtu.be/7XbneB7WZZg?t=477,TitaN,1.0
2019.0,summer,BRCC,4,HL,VK,HL,VK,https://matchhistory.br.leagueoflegends.com/pt/#match-details/ESPORTSTMNT02/1085696?gameHash=bbac950a44289147&tab=overview,https://youtu.be/mjppUUq1yjM?t=54,https://youtu.be/mjppUUq1yjM?t=468,Professor,1.0
2019.0,summer,BRCC,4,PRG,RNS,PRG,RNS,https://matchhistory.br.leagueoflegends.com/pt/#match-details/ESPORTSTMNT02/1085711?gameHash=b34eeaaea93e69c0&tab=overview,https://youtu.be/_eHSe24uvZY?t=49,https://youtu.be/_eHSe24uvZY?t=452,Wos,1.0
