year,season,league_name,week,team_1,team_2,Blue,Red,MH,PB,Start,MVP,set_number
2020.0,spring,BRCC,1,RED,HL,RED,HL,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1292341?gameHash=7335d6ca06763dc0&tab=overview,https://youtu.be/FnhmODGQ2Ok?t=3,https://youtu.be/FnhmODGQ2Ok?t=1196,Cariok,1.0
2020.0,spring,BRCC,1,SAN,ONE,SAN,ONE,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1292348?gameHash=c6a4eec48810e8d5&tab=overview,https://youtu.be/G4yk529XLq4?t=2,https://youtu.be/G4yk529XLq4?t=514,Rainbow,1.0
2020.0,spring,BRCC,1,FKL,ITX,FKL,ITX,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1292353?gameHash=6db57c090ed235bd&tab=overview,https://youtu.be/gJM-eYm2438?t=1,https://youtu.be/gJM-eYm2438?t=486,Matsukaze,1.0
2020.0,spring,BRCC,1,ONE,RED,ONE,RED,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1302501?gameHash=f71748ae9cad5866&tab=overview,https://youtu.be/eEtRn-pC-Ko?t=1,https://youtu.be/eEtRn-pC-Ko?t=455,Ayel,1.0
2020.0,spring,BRCC,1,ITX,HL,ITX,HL,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1302519?gameHash=672c1377c3d37ed0&tab=overview,https://youtu.be/YYrymmzWMrA?t=1,https://youtu.be/YYrymmzWMrA?t=488,dyNquedo,1.0
2020.0,spring,BRCC,1,FKL,SAN,FKL,SAN,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1302531?gameHash=49cf9a8f3942b9c8&tab=overview,https://youtu.be/00uZsraq4eM?t=1,https://youtu.be/00uZsraq4eM?t=525,Tierwulf,1.0
2020.0,spring,BRCC,2,ONE,FKL,ONE,FKL,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/1321990?gameHash=cb1bf59227a95d7a&tab=overview,https://youtu.be/0BpFmSUi64I?t=1,https://youtu.be/0BpFmSUi64I?t=367,SkyBart,1.0
2020.0,spring,BRCC,2,RED,ITX,RED,ITX,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/1322005?gameHash=7cfd161442236a46&tab=overview,https://youtu.be/s419lFRxljs?t=1,https://youtu.be/s419lFRxljs?t=446,Ayel,1.0
2020.0,spring,BRCC,2,HL,SAN,HL,SAN,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/1322029?gameHash=b52932961ca97505&tab=overview,https://youtu.be/iWeCy6s6n2Q?t=1,https://youtu.be/iWeCy6s6n2Q?t=433,JackPoT,1.0
2020.0,spring,BRCC,2,ITX,ONE,ITX,ONE,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/1332488?gameHash=16df897446a380c3&tab=overview,https://youtu.be/UP49VBFHbt0?t=1,https://youtu.be/UP49VBFHbt0?t=366,Panj,1.0
