year,season,league_name,week,team_1,team_2,Blue,Red,MH,PB,Start,MVP,set_number
2018.0,spring,CBLOL,1,ITZ,VK,ITZ,VK,https://matchhistory.br.leagueoflegends.com/pt/#match-details/ESPORTSTMNT03/530266?gameHash=3b05882d34c71457,https://www.youtube.com/watch?v=umLc9wIKppU&t=44s,https://www.youtube.com/watch?v=umLc9wIKppU&t=9m19s,tockers,1.0
2018.0,spring,CBLOL,1,,,VK,ITZ,https://matchhistory.br.leagueoflegends.com/pt/#match-details/ESPORTSTMNT03/520528?gameHash=8c7200822a61fdef,https://www.youtube.com/watch?v=b8_Ax00ia3Q&t=42s,https://www.youtube.com/watch?v=b8_Ax00ia3Q&t=9m02s,Jockster,2.0
2018.0,spring,CBLOL,1,CNB,KBM,CNB,KBM,https://matchhistory.br.leagueoflegends.com/pt/#match-details/ESPORTSTMNT03/530278?gameHash=9a50b413596795c1,https://www.youtube.com/watch?v=-uNMeVZWNTk&t=48s,https://www.youtube.com/watch?v=-uNMeVZWNTk&t=8m00s,Titan,1.0
2018.0,spring,CBLOL,1,,,KBM,CNB,https://matchhistory.br.leagueoflegends.com/pt/#match-details/ESPORTSTMNT03/520540?gameHash=e98e6edc152c2651,https://www.youtube.com/watch?v=aRmKBPf1C54&t=46s,https://www.youtube.com/watch?v=aRmKBPf1C54&t=7m49s,dyNquedo,2.0
2018.0,spring,CBLOL,1,PNG,ONE,PNG,ONE,https://matchhistory.br.leagueoflegends.com/pt/#match-details/ESPORTSTMNT03/530382?gameHash=bc3143e5b50f61eb,https://www.youtube.com/watch?v=VIX5VZwfypQ&t=38,https://www.youtube.com/watch?v=VIX5VZwfypQ&t=576,tinowns,1.0
2018.0,spring,CBLOL,1,,,ONE,PNG,https://matchhistory.br.leagueoflegends.com/pt/#match-details/ESPORTSTMNT03/530394?gameHash=1f24984fcaaaa6f8,https://www.youtube.com/watch?v=4g0tqTdzOfA&t=1,https://www.youtube.com/watch?v=4g0tqTdzOfA&t=862,Matsukaze,2.0
2018.0,spring,CBLOL,1,RED,PRG,RED,PRG,https://matchhistory.br.leagueoflegends.com/pt/#match-details/ESPORTSTMNT03/520633?gameHash=51016e1c1503afdd,https://www.youtube.com/watch?v=cPDUKgZG7VQ&t=48,https://www.youtube.com/watch?v=cPDUKgZG7VQ&t=518,Winged,1.0
2018.0,spring,CBLOL,1,,,PRG,RED,https://matchhistory.br.leagueoflegends.com/pt/#match-details/ESPORTSTMNT03/530405?gameHash=5c869c6b359b60cf,https://www.youtube.com/watch?v=xlFNBfLpyNA&t=46,https://www.youtube.com/watch?v=xlFNBfLpyNA&t=537,Minerva,2.0
2018.0,spring,CBLOL,1,,,RED,PRG,https://matchhistory.br.leagueoflegends.com/pt/#match-details/ESPORTSTMNT03/530406?gameHash=699e55d94e68c52a,https://www.youtube.com/watch?v=GH1Vay_4afY&t=38,https://www.youtube.com/watch?v=GH1Vay_4afY&t=530,Sacy,3.0
2018.0,spring,CBLOL,2,RED,CNB,RED,CNB,https://matchhistory.br.leagueoflegends.com/pt/#match-details/ESPORTSTMNT03/520834?gameHash=fc3ecdae8c9abb5f,https://www.youtube.com/watch?v=v-QW8nSw2cA,https://www.youtube.com/watch?v=v-QW8nSw2cA#t=8m,Sky,1.0
