year,season,league_name,week,team_1,team_2,Blue,Red,MH,PB,Start,Post,MVP,HL,set_number
2019.0,spring,CBLOL,1,FLA,KBM,FLA,KBM,https://matchhistory.br.leagueoflegends.com/pt/#match-details/ESPORTSTMNT01/1030526?gameHash=79fbab80b0336ea0,https://www.youtube.com/watch?v=XQ0KshJ0Z8Y,https://www.youtube.com/watch?v=XQ0KshJ0Z8Y&t=426,https://youtu.be/XQ0KshJ0Z8Y?t=2389,Luci,,1.0
2019.0,spring,CBLOL,1,VK,UP,VK,UP,https://matchhistory.br.leagueoflegends.com/pt/#match-details/ESPORTSTMNT01/1040501?gameHash=0bc40b71da3a7e52&tab=overview,https://www.youtube.com/watch?v=SItX0OFomlk,https://www.youtube.com/watch?v=SItX0OFomlk&t=395,https://youtu.be/SItX0OFomlk?t=2732,Alternative,,1.0
2019.0,spring,CBLOL,1,PRG,RDP,PRG,RDP,https://matchhistory.br.leagueoflegends.com/pt/#match-details/ESPORTSTMNT01/1040511?gameHash=727ae2b21e37499e&tab=overview,https://www.youtube.com/watch?v=9F2WyiwDjzo&t=15,https://www.youtube.com/watch?v=9F2WyiwDjzo&t=425,https://youtu.be/9F2WyiwDjzo?t=2684,DudsTheBoy,,1.0
2019.0,spring,CBLOL,1,ITZ,CNB,ITZ,CNB,https://matchhistory.br.leagueoflegends.com/pt/#match-details/ESPORTSTMNT01/1040525?gameHash=109df3fc339ac4d2&tab=overview,https://www.youtube.com/watch?v=nzYvhP6NLWg&t=18,https://www.youtube.com/watch?v=nzYvhP6NLWg&t=504,https://youtu.be/nzYvhP6NLWg?t=2173,Shini,,1.0
2019.0,spring,CBLOL,1,UP,KBM,UP,KBM,https://matchhistory.br.leagueoflegends.com/pt/#match-details/ESPORTSTMNT01/1040633?gameHash=fc61f8f81e875180,https://www.youtube.com/watch?v=MvDHyYtUjVg&t=9,https://www.youtube.com/watch?v=MvDHyYtUjVg&t=441,https://youtu.be/MvDHyYtUjVg?t=3394,Alternative,,1.0
2019.0,spring,CBLOL,1,VK,CNB,VK,CNB,https://matchhistory.br.leagueoflegends.com/pt/#match-details/ESPORTSTMNT01/1040648?gameHash=f21e87cf1957eb69,https://www.youtube.com/watch?v=V5DEa3H5cyY&t=6,https://www.youtube.com/watch?v=V5DEa3H5cyY&t=431,https://youtu.be/V5DEa3H5cyY?t=2604,Duclou,,1.0
2019.0,spring,CBLOL,1,RDP,ITZ,RDP,ITZ,https://matchhistory.br.leagueoflegends.com/pt/#match-details/ESPORTSTMNT01/1040661?gameHash=88cd648699886f0b,https://www.youtube.com/watch?v=2A5iSBnl3sw&t=13,https://www.youtube.com/watch?v=2A5iSBnl3sw&t=459,https://youtu.be/2A5iSBnl3sw?t=2364,Zuao,,1.0
2019.0,spring,CBLOL,1,FLA,PRG,FLA,PRG,https://matchhistory.br.leagueoflegends.com/pt/#match-details/ESPORTSTMNT01/1040668?gameHash=babdee0c5f80ff82&tab=overview,https://youtu.be/18mo1ZekMJg?t=20,https://youtu.be/18mo1ZekMJg?t=431,https://youtu.be/18mo1ZekMJg?t=2074,brTT,,1.0
2019.0,spring,CBLOL,2,RDP,CNB,RDP,CNB,https://matchhistory.br.leagueoflegends.com/pt/#match-details/ESPORTSTMNT01/1032020?gameHash=abb44a2c3c2ef09d,https://www.youtube.com/watch?v=VARmvWkb_5E&t=15,https://www.youtube.com/watch?v=VARmvWkb_5E&t=431,https://youtu.be/VARmvWkb_5E?t=3133,Ceos,,1.0
2019.0,spring,CBLOL,2,ITZ,PRG,ITZ,PRG,https://matchhistory.br.leagueoflegends.com/pt/#match-details/ESPORTSTMNT01/1032029?gameHash=cabe169cf642a98e,https://www.youtube.com/watch?v=xy5womYBDE8&t=18s,https://www.youtube.com/watch?v=xy5womYBDE8&t=415s,https://youtu.be/xy5womYBDE8?t=2373,Envy,,1.0
2019.0,spring,CBLOL,2,UP,FLA,UP,FLA,https://matchhistory.br.leagueoflegends.com/pt/#match-details/ESPORTSTMNT01/1032034?gameHash=cd1cd564921cda28,https://www.youtube.com/watch?v=LHuLRdXOXy0&t=13s,https://www.youtube.com/watch?v=LHuLRdXOXy0&t=507s,https://youtu.be/LHuLRdXOXy0?t=2954,Shrimp,,1.0
2019.0,spring,CBLOL,2,VK,KBM,VK,KBM,https://matchhistory.br.leagueoflegends.com/pt/#match-details/ESPORTSTMNT01/1032042?gameHash=6703e5c872b5c308,https://www.youtube.com/watch?v=EU4LbvD5Src&t=14s,https://www.youtube.com/watch?v=EU4LbvD5Src&t=522s,https://youtu.be/EU4LbvD5Src?t=2983,Yang,,1.0
2019.0,spring,CBLOL,2,UP,PRG,UP,PRG,https://matchhistory.br.leagueoflegends.com/pt/#match-details/ESPORTSTMNT01/1042195?gameHash=a135323ebec1fbab,https://www.youtube.com/watch?v=WDzRCStOjZY&t=7s,https://www.youtube.com/watch?v=WDzRCStOjZY&t=417s,https://youtu.be/WDzRCStOjZY?t=2264,Damage,,1.0
