year,season,league_name,week,team_1,team_2,Blue,Red,MH,PB,Start,set_number
2018.0,summer,CIS_CL,1,J.ICE,MNL,J.ICE,MNL,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT02/730221?gameHash=a154fe9306476220&tab=overview,https://youtu.be/HDfkK943QTg?t=151,https://youtu.be/HDfkK943QTg?t=652,1.0
2018.0,summer,CIS_CL,1,CC,SEAD,CC,SEAD,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT02/730225?gameHash=828e950fc056f491&tab=overview,https://youtu.be/ecIGo04uT8w?t=58,https://youtu.be/ecIGo04uT8w?t=610,1.0
2018.0,summer,CIS_CL,1,AVN,PPC58,AVN,PPC58,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT02/730232?gameHash=d8611617204e96f4&tab=overview,https://youtu.be/FV_Vm--DIn4?t=281,https://youtu.be/FV_Vm--DIn4?t=792,1.0
2018.0,summer,CIS_CL,1,SEAD,AVN,SEAD,AVN,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT02/740302?gameHash=38b94cde3d72aefa&tab=overview,https://youtu.be/A-rJufrHFV0?t=5,https://youtu.be/A-rJufrHFV0?t=561,1.0
2018.0,summer,CIS_CL,1,PPC58,J.ICE,PPC58,J.ICE,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT02/740304?gameHash=25d535f7db922775&tab=overview,https://youtu.be/5EsrlbYwyno?t=41,https://youtu.be/5EsrlbYwyno?t=521,1.0
2018.0,summer,CIS_CL,1,MNL,CC,MNL,CC,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT02/740306?gameHash=9acdb6ec6ef57afe&tab=overview,https://youtu.be/T7fXfovjxHw?t=47,https://youtu.be/T7fXfovjxHw?t=574,1.0
2018.0,summer,CIS_CL,2,PPC58,SEAD,PPC58,SEAD,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT02/760023?gameHash=1d9397cfd869b9de&tab=overview,https://youtu.be/QYvzrBQ-plM?t=135,https://youtu.be/QYvzrBQ-plM?t=707,1.0
2018.0,summer,CIS_CL,2,AVN,MNL,AVN,MNL,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT02/760030?gameHash=73483dd9fb6a9ed3&tab=overview,https://youtu.be/Eve_a_A2fjg?t=115,https://youtu.be/Eve_a_A2fjg?t=802,1.0
2018.0,summer,CIS_CL,2,J.ICE,CC,J.ICE,CC,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT02/760034?gameHash=4b591647d48f186a&tab=overview,https://youtu.be/69cft2EOTqE?t=39,https://youtu.be/69cft2EOTqE?t=594,1.0
2018.0,summer,CIS_CL,2,CC,AVN,CC,AVN,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT02/760066?gameHash=ade9ac29878904b2&tab=overview,https://youtu.be/ZYBUNuKXs18?t=344,https://youtu.be/ZYBUNuKXs18?t=898,1.0
2018.0,summer,CIS_CL,2,MNL,PPC58,MNL,PPC58,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT02/760068?gameHash=e2f77187fe302d81&tab=overview,https://youtu.be/x-phP7nAByM?t=21,https://youtu.be/x-phP7nAByM?t=555,1.0
2018.0,summer,CIS_CL,2,SEAD,J.ICE,SEAD,J.ICE,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT02/760073?gameHash=dd49d438b5a91385&tab=overview,https://youtu.be/H5BL1Qh6Gdw?t=24,https://youtu.be/H5BL1Qh6Gdw?t=603,1.0
2018.0,summer,CIS_CL,3,PPC58,CC,PPC58,CC,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT02/750269?gameHash=f8234a6266d77e2b&tab=overview,https://youtu.be/PWJUCOJIfcA?t=340,https://youtu.be/PWJUCOJIfcA?t=875,1.0
2018.0,summer,CIS_CL,3,J.ICE,AVN,J.ICE,AVN,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT02/750270?gameHash=55f49f64a45cf1da&tab=overview,https://youtu.be/sBUGKUvgX5M?t=282,https://youtu.be/sBUGKUvgX5M?t=826,1.0
2018.0,summer,CIS_CL,3,SEAD,MNL,SEAD,MNL,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT02/750273?gameHash=fc17176c8c74926b&tab=overview,https://youtu.be/aW4qYWhGCbE?t=23,https://youtu.be/aW4qYWhGCbE?t=627,1.0
