year,season,league_name,week,team_1,team_2,Vod,set_number
2017.0,spring,Challengers Korea,1,EEW,CJ,http://www.youtube.com/watch?v=QcG7uWYH-0Y&list=PL9kbtXdyV0zsUTevio-d2ZBmcCElGegxi&index=2,1.0
2017.0,spring,Challengers Korea,1,,,http://www.youtube.com/watch?v=45K8_SS_CR4&list=PL9kbtXdyV0zsUTevio-d2ZBmcCElGegxi&index=3,2.0
2017.0,spring,Challengers Korea,1,,,http://www.youtube.com/watch?v=mtxLgqn_uzo&list=PL9kbtXdyV0zsUTevio-d2ZBmcCElGegxi&index=4,3.0
2017.0,spring,Challengers Korea,1,APK,BtC,http://www.youtube.com/watch?v=uhzF_dFdoxE&list=PL9kbtXdyV0zsUTevio-d2ZBmcCElGegxi&index=5,1.0
2017.0,spring,Challengers Korea,1,,,http://www.youtube.com/watch?v=_Py9SHO8Dsg&list=PL9kbtXdyV0zsUTevio-d2ZBmcCElGegxi&index=6,2.0
2017.0,spring,Challengers Korea,1,BPZ,IGS,http://www.youtube.com/watch?v=a0Ej2S1MPiM&list=PL9kbtXdyV0zsUTevio-d2ZBmcCElGegxi&index=7,1.0
2017.0,spring,Challengers Korea,1,,,http://www.youtube.com/watch?v=fGRibLUtwU4&list=PL9kbtXdyV0zsUTevio-d2ZBmcCElGegxi&index=8,2.0
2017.0,spring,Challengers Korea,1,,,http://www.youtube.com/watch?v=6Ka9IIL6qRY&list=PL9kbtXdyV0zsUTevio-d2ZBmcCElGegxi&index=9,3.0
2017.0,spring,Challengers Korea,1,RSG,GRF,http://www.youtube.com/watch?v=IvTeHyjUd-8&list=PL9kbtXdyV0zsUTevio-d2ZBmcCElGegxi&index=10,1.0
2017.0,spring,Challengers Korea,1,,,http://www.youtube.com/watch?v=xQkzO5U7H2I&list=PL9kbtXdyV0zsUTevio-d2ZBmcCElGegxi&index=11,2.0
2017.0,spring,Challengers Korea,2,EEW,BtC,http://www.youtube.com/watch?v=65l9TSi1UFc&list=PL9kbtXdyV0zsUTevio-d2ZBmcCElGegxi&index=12,1.0
2017.0,spring,Challengers Korea,2,,,http://www.youtube.com/watch?v=Tvl6I17YE7g&list=PL9kbtXdyV0zsUTevio-d2ZBmcCElGegxi&index=13,2.0
2017.0,spring,Challengers Korea,2,,,http://www.youtube.com/watch?v=gVRVSb_rM3Q&list=PL9kbtXdyV0zsUTevio-d2ZBmcCElGegxi&index=14,3.0
2017.0,spring,Challengers Korea,2,CJ,IGS,http://www.youtube.com/watch?v=-lsURiytgoU&list=PL9kbtXdyV0zsUTevio-d2ZBmcCElGegxi&index=15,1.0
2017.0,spring,Challengers Korea,2,,,http://www.youtube.com/watch?v=bnPt7HIbXA8&list=PL9kbtXdyV0zsUTevio-d2ZBmcCElGegxi&index=16,2.0
2017.0,spring,Challengers Korea,3,APK,GRF,http://www.youtube.com/watch?v=okFIfhIqWbc&list=PL9kbtXdyV0zsUTevio-d2ZBmcCElGegxi&index=17,1.0
2017.0,spring,Challengers Korea,3,,,http://www.youtube.com/watch?v=N2qnQrt4nF0&list=PL9kbtXdyV0zsUTevio-d2ZBmcCElGegxi&index=18,2.0
2017.0,spring,Challengers Korea,3,,,http://www.youtube.com/watch?v=oK_Zbt5Tl9g&list=PL9kbtXdyV0zsUTevio-d2ZBmcCElGegxi&index=19,3.0
2017.0,spring,Challengers Korea,3,BPZ,RSG,http://www.youtube.com/watch?v=zD5jVbNA1UA&list=PL9kbtXdyV0zsUTevio-d2ZBmcCElGegxi&index=20,1.0
2017.0,spring,Challengers Korea,3,,,http://www.youtube.com/watch?v=WarMzZNWEII&list=PL9kbtXdyV0zsUTevio-d2ZBmcCElGegxi&index=21,2.0
2017.0,spring,Challengers Korea,3,,,http://www.youtube.com/watch?v=Uwus0TEeYuA&list=PL9kbtXdyV0zsUTevio-d2ZBmcCElGegxi&index=22,3.0
2017.0,spring,Challengers Korea,3,EEW,IGS,http://www.youtube.com/watch?v=WOV1bf4bTb0&list=PL9kbtXdyV0zsUTevio-d2ZBmcCElGegxi&index=23,1.0
2017.0,spring,Challengers Korea,3,,,http://www.youtube.com/watch?v=wmHMZhutrS0&list=PL9kbtXdyV0zsUTevio-d2ZBmcCElGegxi&index=24,2.0
2017.0,spring,Challengers Korea,3,BtC,GRF,http://www.youtube.com/watch?v=bXsITa1dbGI&list=PL9kbtXdyV0zsUTevio-d2ZBmcCElGegxi&index=25,1.0
2017.0,spring,Challengers Korea,3,,,http://www.youtube.com/watch?v=5vJFM8FIpOY&list=PL9kbtXdyV0zsUTevio-d2ZBmcCElGegxi&index=26,2.0
