year,season,league_name,week,team_1,team_2,Vod,set_number
2017.0,summer,Challengers Korea,1,RSG,GRF,http://esports.sports.afreecatv.com/view.php?c_id=esports_highlight&szPart=HIGHLIGHT&vidx=190786&bidx=25732&code=ESPORTS&szCategory=ESPORTS&autoPlay=true&idx=190786&isAfreeca=false,1.0
2017.0,summer,Challengers Korea,1,,,,2.0
2017.0,summer,Challengers Korea,1,KDM,BtC,http://esports.sports.afreecatv.com/view.php?code=ESPORTS&bidx=25774&szCategory=ESPORTS&vidx=190829&isAfreeca=false&autoPlay=true&c%5Fid=esports%5Fhighlight&szPart=HIGHLIGHT&idx=190829,1.0
2017.0,summer,Challengers Korea,1,,,,2.0
2017.0,summer,Challengers Korea,1,,,,3.0
2017.0,summer,Challengers Korea,1,IGS,CJ,http://esports.sports.afreecatv.com/view.php?bidx=25847&szCategory=ESPORTS&vidx=191003&autoPlay=true&code=ESPORTS&isAfreeca=false&idx=191003&c%5Fid=esports%5Fhighlight&szPart=HIGHLIGHT,1.0
2017.0,summer,Challengers Korea,1,,,,2.0
2017.0,summer,Challengers Korea,1,APK,GRF,http://esports.sports.afreecatv.com/view.php?vidx=191004&isAfreeca=false&autoPlay=true&szCategory=ESPORTS&code=ESPORTS&bidx=25848&szPart=HIGHLIGHT&idx=191004&c%5Fid=esports%5Fhighlight,1.0
2017.0,summer,Challengers Korea,1,,,,2.0
2017.0,summer,Challengers Korea,2,BtC,DWG,http://esports.sports.afreecatv.com/view.php?code=ESPORTS&bidx=25933&szCategory=ESPORTS&vidx=191133&isAfreeca=false&autoPlay=true&c%5Fid=esports%5Fhighlight&szPart=HIGHLIGHT&idx=191133,1.0
2017.0,summer,Challengers Korea,2,,,,2.0
2017.0,summer,Challengers Korea,2,,,,3.0
