year,season,league_name,week,team_1,team_2,MVP,Blue,Red,MH,PB,Start,set_number
2018.0,spring,Challengers Korea,1,RSSG,BtC,Dove,RSSG,BtC,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT06/540434?gameHash=86cf52270a25d2ad&tab=overview,https://youtube.com/watch?v=evhFO85tPYY&t=891,https://youtube.com/watch?v=evhFO85tPYY&t=1367,1.0
2018.0,spring,Challengers Korea,1,,,,BtC,RSSG,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT06/540439?gameHash=165cde9dc4b85a86&tab=overview,https://youtube.com/watch?v=evhFO85tPYY&t=4746,https://youtube.com/watch?v=evhFO85tPYY&t=5201,2.0
2018.0,spring,Challengers Korea,1,GRF,APK,Rather,GRF,APK,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT06/540441?gameHash=d30ec55f3cd23f8f&tab=overview,https://youtube.com/watch?v=oGwagjI6g60&t=256,https://youtube.com/watch?v=oGwagjI6g60&t=788,1.0
2018.0,spring,Challengers Korea,1,,,,APK,GRF,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT06/540463?gameHash=1f0bba128a97b977&tab=overview,https://youtube.com/watch?v=oGwagjI6g60&t=3295,https://youtube.com/watch?v=oGwagjI6g60&t=3780,2.0
2018.0,spring,Challengers Korea,1,DWG,EEW,BeryL,DWG,EEW,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT06/540514?gameHash=eb8a5a33c2bf25bd&tab=overview,https://youtube.com/watch?v=P2Wnl2tQFyM&t=617,https://youtube.com/watch?v=P2Wnl2tQFyM&t=1066,1.0
2018.0,spring,Challengers Korea,1,,,,EEW,DWG,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT06/540520?gameHash=f2a8d31589f02515&tab=overview,https://youtube.com/watch?v=P2Wnl2tQFyM&t=4062,https://youtube.com/watch?v=P2Wnl2tQFyM&t=4433,2.0
2018.0,spring,Challengers Korea,1,,,,DWG,EEW,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT06/540523?gameHash=72a12795a49a4000&tab=overview,https://youtube.com/watch?v=P2Wnl2tQFyM&t=7306,https://youtube.com/watch?v=P2Wnl2tQFyM&t=7656,3.0
2018.0,spring,Challengers Korea,1,RGA,ESS,Poss,RGA,ESS,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT06/540532?gameHash=3c92b7b22a26dddb&tab=overview,https://youtube.com/watch?v=5dvZqmAgGGA&t=305,https://youtube.com/watch?v=5dvZqmAgGGA&t=721,1.0
2018.0,spring,Challengers Korea,1,,,,ESS,RGA,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT06/540549?gameHash=829fc23207f151e2&tab=overview,https://youtube.com/watch?v=5dvZqmAgGGA&t=3481,https://youtube.com/watch?v=5dvZqmAgGGA&t=3957,2.0
2018.0,spring,Challengers Korea,2,EEW,BtC,Joker,EEW,BtC,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT06/550694?gameHash=71fc875e9dda7163&tab=overview,https://youtube.com/watch?v=kKsMzeW-GmQ&t=410,https://youtube.com/watch?v=kKsMzeW-GmQ&t=859,1.0
