year,season,league_name,week,team_1,team_2,MVP,Blue,Red,MH,Vod,set_number
2019.0,summer,Challengers Korea,1,bbq,BRB,HyBriD,bbq,BRB,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1141122?gameHash=bb52b62387787f58,http://vod.afreecatv.com/PLAYER/STATION/44849650,1.0
2019.0,summer,Challengers Korea,1,,,,BRB,bbq,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1141156?gameHash=b9143f73d1f571e8,http://vod.afreecatv.com/PLAYER/STATION/44850846,2.0
2019.0,summer,Challengers Korea,1,SPG,VSG,Ruby,SPG,VSG,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1141200?gameHash=4bef3d33942a7ce0&tab=overview,http://vod.afreecatv.com/PLAYER/STATION/44854229,1.0
2019.0,summer,Challengers Korea,1,,,,VSG,SPG,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1141213?gameHash=e0a3e86de5c40404,http://vod.afreecatv.com/PLAYER/STATION/44854230,2.0
2019.0,summer,Challengers Korea,1,MVP,ASR,Revenger,MVP,ASR,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1131326?gameHash=ca18dc8a3df9c911&tab=overview,http://vod.afreecatv.com/PLAYER/STATION/44881599,1.0
2019.0,summer,Challengers Korea,1,,,,ASR,MVP,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1131330?gameHash=0e69b09b3273cb90&tab=overview,http://vod.afreecatv.com/PLAYER/STATION/44882322,2.0
2019.0,summer,Challengers Korea,1,APK,DYN,Trigger,APK,DYN,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1131345?gameHash=9dd3cb60b98ae237&tab=overview,http://vod.afreecatv.com/PLAYER/STATION/44884179,1.0
2019.0,summer,Challengers Korea,1,,,,DYN,APK,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1131393?gameHash=39d677836b3c34af&tab=overview,http://vod.afreecatv.com/PLAYER/STATION/44885988,2.0
2019.0,summer,Challengers Korea,1,VSG,APK,Cover,VSG,APK,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1132228?gameHash=4f1db108fd1b7739&tab=overview,http://vod.afreecatv.com/PLAYER/STATION/44977068,1.0
2019.0,summer,Challengers Korea,1,,,,APK,VSG,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1132230?gameHash=46d23c0770019203&tab=overview,http://vod.afreecatv.com/PLAYER/STATION/44978086,2.0
2019.0,summer,Challengers Korea,1,ASR,bbq,5Kid,ASR,bbq,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1132232?gameHash=7c1d8d6377a6ba21&tab=overview,http://vod.afreecatv.com/PLAYER/STATION/44979937,1.0
2019.0,summer,Challengers Korea,1,,,,bbq,ASR,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1132257?gameHash=8c0e7f4088a55c40&tab=overview,http://vod.afreecatv.com/PLAYER/STATION/44981365,2.0
2019.0,summer,Challengers Korea,1,,,,ASR,bbq,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1132268?gameHash=144678a996a65ea3&tab=overview,http://vod.afreecatv.com/PLAYER/STATION/44983631,3.0
2019.0,summer,Challengers Korea,2,BRB,VSG,Pure,BRB,VSG,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1143258?gameHash=8aceb158443d5992&tab=overview,http://vod.afreecatv.com/PLAYER/STATION/45062477,1.0
2019.0,summer,Challengers Korea,2,,,,VSG,BRB,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1143278?gameHash=0a3e4878083684cf,http://vod.afreecatv.com/PLAYER/STATION/45063258,2.0
2019.0,summer,Challengers Korea,2,,,,BRB,VSG,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1143307?gameHash=b51912d53c0abd72,http://vod.afreecatv.com/PLAYER/STATION/45064423,3.0
2019.0,summer,Challengers Korea,2,SPG,bbq,Winter,SPG,bbq,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1143401?gameHash=0f6a16e26270c0e5,http://vod.afreecatv.com/PLAYER/STATION/45065860,1.0
2019.0,summer,Challengers Korea,2,,,,bbq,SPG,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1143413?gameHash=8ead0b68eaaeff1d,http://vod.afreecatv.com/PLAYER/STATION/45067593,2.0
2019.0,summer,Challengers Korea,2,DYN,ASR,Vins,DYN,ASR,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1133661?gameHash=47eacd1e5b5cbf6b&tab=overview,http://vod.afreecatv.com/PLAYER/STATION/45090987,1.0
2019.0,summer,Challengers Korea,2,,,,ASR,DYN,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1133667?gameHash=1c111461093d37f5&tab=overview,http://vod.afreecatv.com/PLAYER/STATION/45091831,2.0
2019.0,summer,Challengers Korea,2,APK,MVP,Kuma,APK,MVP,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1133686?gameHash=a080ac3a8332e7b2&tab=overview,http://vod.afreecatv.com/PLAYER/STATION/45093447,1.0
2019.0,summer,Challengers Korea,2,,,,MVP,APK,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1143914?gameHash=3c689456acb10ea0&tab=overview,http://vod.afreecatv.com/PLAYER/STATION/45094455,2.0
2019.0,summer,Challengers Korea,2,,,,APK,MVP,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1143930?gameHash=f944810e465463d1&tab=overview,http://vod.afreecatv.com/PLAYER/STATION/45095653,3.0
2019.0,summer,Challengers Korea,2,DYN,SPG,Ganknam,DYN,SPG,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1144986?gameHash=92edc894624ce937&tab=overview,http://vod.afreecatv.com/PLAYER/STATION/45182250,1.0
2019.0,summer,Challengers Korea,2,,,,SPG,DYN,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1144996?gameHash=3c60789cf0f11371&tab=overview,http://vod.afreecatv.com/PLAYER/STATION/45183362,2.0
2019.0,summer,Challengers Korea,2,,,,DYN,SPG,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1145009?gameHash=937615edbf3afc3e&tab=overview,http://vod.afreecatv.com/PLAYER/STATION/45184589,3.0
