year,season,league_name,week,team_1,team_2,Blue,Red,MH,PB,Start,HL,set_number
2020.0,summer,DL,1,TRL,MCN,MCN,TRL,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/1382949?gameHash=d18a66e4ebf26ae4&tab=overview,https://youtu.be/oCH-HoiMYM4?t=974,https://youtu.be/oCH-HoiMYM4?t=1486,https://youtu.be/7-af36yGpIw,1.0
2020.0,summer,DL,1,EZ,DYN,DYN,EZ,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/1382954?gameHash=064bc1e5e76e5ed0&tab=overview,https://youtu.be/jwgED5McLto?t=376,https://youtu.be/jwgED5McLto?t=985,https://youtu.be/h3bKqynNi6k,1.0
2020.0,summer,DL,1,TRL,LLL,LLL,TRL,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/1382968?gameHash=f58ad952817fe27e&tab=overview,https://youtu.be/MZ2_R3mi86s?t=271,https://youtu.be/MZ2_R3mi86s?t=787,https://youtu.be/VUDTefmrr5Y,1.0
2020.0,summer,DL,1,EZ,PSV,PSV,EZ,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/1382980?gameHash=64eae615a566ff20&tab=overview,https://youtu.be/zWj8fwZrxkQ?t=454,https://youtu.be/zWj8fwZrxkQ?t=1085,https://youtu.be/G3qeXg3c4tw,1.0
2020.0,summer,DL,2,DYN,LLL,DYN,LLL,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/1383300?gameHash=2f002e50ed8c16c5&tab=overview,https://youtu.be/fb8HeGlTkGA?t=913,https://youtu.be/fb8HeGlTkGA?t=1478,https://youtu.be/0lzDmisHeD4,1.0
2020.0,summer,DL,2,MCN,PSV,MCN,PSV,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/1383301?gameHash=d4db33b760104846&tab=overview,https://youtu.be/gVy45b3qWng?t=388,https://youtu.be/gVy45b3qWng?t=924,https://youtu.be/G8-jpJ2OdO4,1.0
2020.0,summer,DL,2,DYN,TRL,TRL,DYN,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/1383313?gameHash=0d888151296c1ef3&tab=overview,https://youtu.be/HeG0IMNumDA?t=286,https://youtu.be/HeG0IMNumDA?t=826,https://youtu.be/BgSyyNQxq3U,1.0
2020.0,summer,DL,2,MCN,EZ,EZ,MCN,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/1383318?gameHash=5f06f0c59b323620&tab=overview,https://youtu.be/Gp-oK0lTFIs?t=283,https://youtu.be/Gp-oK0lTFIs?t=713,https://youtu.be/M12Uo8oZ4Oc,1.0
2020.0,summer,DL,3,LLL,EZ,LLL,EZ,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1414672?gameHash=16b85d5245e08bb9&tab=overview,https://youtu.be/8HqWzCX7OFk?t=933,https://youtu.be/8HqWzCX7OFk?t=1443,https://youtu.be/JdP35RKEIWo,1.0
2020.0,summer,DL,3,PSV,TRL,PSV,TRL,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1414688?gameHash=918f98c48fe216d0&tab=overview,https://youtu.be/936WWSaFtck?t=341,https://youtu.be/936WWSaFtck?t=884,https://youtu.be/MeS4MvlnZUE,1.0
