year,season,league_name,week,team_1,team_2,Blue,Red,MH,PB,Start,Post,set_number
2019.0,spring,ECS,1,MCX,KE,MCX,KE,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1040963?gameHash=5fe4ec5e0fbefd97&tab=overview,https://www.youtube.com/watch?v=8SN_2dun2Rw&t=18m54s,https://www.youtube.com/watch?v=8SN_2dun2Rw&t=36m27s,https://www.youtube.com/watch?v=8SN_2dun2Rw&t=01h08m29s,1.0
2019.0,spring,ECS,1,,,KE,MCX,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT02/990169?gameHash=3cb78b8b19775423&tab=overview,https://www.youtube.com/watch?v=8SN_2dun2Rw&t=01h42m48s,https://www.youtube.com/watch?v=8SN_2dun2Rw&t=01h52m37s,https://www.youtube.com/watch?v=8SN_2dun2Rw&t=02h20m48s,2.0
2019.0,spring,ECS,1,JII,FD,JII,FD,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/1000083?gameHash=8e3ef78e28add4ad&tab=overview,https://www.youtube.com/watch?v=8SN_2dun2Rw&t=02h38m14s,https://www.youtube.com/watch?v=8SN_2dun2Rw&t=02h48m09s,https://www.youtube.com/watch?v=8SN_2dun2Rw&t=03h16m59s,1.0
2019.0,spring,ECS,1,,,FD,JII,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1031072?gameHash=e40c41d4aab5f97f&tab=overview,https://www.youtube.com/watch?v=8SN_2dun2Rw&t=03h34m49s,https://www.youtube.com/watch?v=8SN_2dun2Rw&t=03h46m40s,https://www.youtube.com/watch?v=8SN_2dun2Rw&t=04h16m10s,2.0
2019.0,spring,ECS,1,SE,FS,SE,FS,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1031272?gameHash=dea1def0a09ff551&tab=overview,https://www.youtube.com/watch?v=WoAU9buEUCk&t=32m09s,https://www.youtube.com/watch?v=WoAU9buEUCk&t=39m50s,https://www.youtube.com/watch?v=WoAU9buEUCk&t=01h12m38s,1.0
2019.0,spring,ECS,1,,,FS,SE,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT02/980349?gameHash=29d9e56fb34b2942&tab=overview,https://www.youtube.com/watch?v=WoAU9buEUCk&t=01h41m00s,https://www.youtube.com/watch?v=WoAU9buEUCk&t=01h49m42s,https://youtu.be/WoAU9buEUCk?t=8274,2.0
2019.0,spring,ECS,1,AF,GRI,AF,GRI,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1041233?gameHash=eb2db4dac453d016&tab=overview,https://youtu.be/WoAU9buEUCk?t=9150,https://youtu.be/WoAU9buEUCk?t=10024,https://youtu.be/WoAU9buEUCk?t=11923,1.0
2019.0,spring,ECS,1,,,GRI,AF,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT02/990339?gameHash=80a4a334f5a4b228&tab=overview,https://youtu.be/WoAU9buEUCk?t=12951,https://youtu.be/WoAU9buEUCk?t=13555,https://youtu.be/WoAU9buEUCk?t=15545,2.0
2019.0,spring,ECS,2,GRI,FD,GRI,FD,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1042541?gameHash=ea1fd6e3c1455362&tab=overview,https://youtu.be/zYKN0Co21Ts?t=1754,https://youtu.be/zYKN0Co21Ts?t=2423,https://youtu.be/zYKN0Co21Ts?t=3593,1.0
2019.0,spring,ECS,2,,,FD,GRI,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/1010424?gameHash=f4bbd2b4796e5383&tab=overview,https://youtu.be/zYKN0Co21Ts?t=4390,https://youtu.be/zYKN0Co21Ts?t=4876,https://youtu.be/zYKN0Co21Ts?t=6894,2.0
2019.0,spring,ECS,2,AF,SE,AF,SE,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1042574?gameHash=00351701bed5779b&tab=overview,https://youtu.be/zYKN0Co21Ts?t=8086,https://youtu.be/zYKN0Co21Ts?t=9450,https://youtu.be/zYKN0Co21Ts?t=10888,1.0
2019.0,spring,ECS,2,,,SE,AF,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/1000436?gameHash=52bc5806b98f78f2&tab=overview,https://youtu.be/zYKN0Co21Ts?t=12053,https://youtu.be/zYKN0Co21Ts?t=12668,https://youtu.be/zYKN0Co21Ts?t=14373,2.0
