year,season,league_name,week,team_1,team_2,Blue,Red,MH,PB,Start,set_number
2019.0,summer,ECS,1,MCX,KE,MCX,KE,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/1102625?gameHash=573cb72541b87554&tab=overview,https://youtu.be/OI1fJlrmPg4?t=854,https://youtu.be/OI1fJlrmPg4?t=1358,1.0
2019.0,summer,ECS,1,,,KE,MCX,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/1102631?gameHash=3142a915b9454e6b&tab=overview,https://youtu.be/OI1fJlrmPg4?t=3845,https://youtu.be/OI1fJlrmPg4?t=4322,2.0
2019.0,summer,ECS,1,JII,FH,JII,FH,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/1102633?gameHash=187cb3d0093c07a7&tab=overview,https://youtu.be/OI1fJlrmPg4?t=7066,https://youtu.be/OI1fJlrmPg4?t=7631,1.0
2019.0,summer,ECS,1,,,FH,JII,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/1102636?gameHash=25246de87c3bf7de&tab=overview,https://youtu.be/OI1fJlrmPg4?t=10280,https://youtu.be/OI1fJlrmPg4?t=10824,2.0
2019.0,summer,ECS,1,SGH,FS,SGH,FS,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/1092721?gameHash=27d2c2149fe0deca&tab=overview,https://youtu.be/8yAk-48qOCM?t=784,https://youtu.be/8yAk-48qOCM?t=1479,1.0
2019.0,summer,ECS,1,,,FS,SGH,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/1092729?gameHash=0d145c1e0481c8ef&tab=overview,https://youtu.be/8yAk-48qOCM?t=3729,https://youtu.be/8yAk-48qOCM?t=4207,2.0
2019.0,summer,ECS,1,AF,GRI,AF,GRI,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/1092749?gameHash=24dda167fcd3371a&tab=overview,https://youtu.be/8yAk-48qOCM?t=6548,https://youtu.be/8yAk-48qOCM?t=7037,1.0
2019.0,summer,ECS,1,,,GRI,AF,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/1102740?gameHash=1fad9458512c2b32&tab=overview,https://youtu.be/8yAk-48qOCM?t=11219,https://youtu.be/8yAk-48qOCM?t=11715,2.0
2019.0,summer,ECS,2,GRI,FH,GRI,FH,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/1093098?gameHash=489ba73b0e8ca75e&tab=overview,https://youtu.be/Bu6DYe591Lw?t=770,https://youtu.be/Bu6DYe591Lw?t=1172,1.0
2019.0,summer,ECS,2,,,FH,GRI,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/1093106?gameHash=e8f75f7b0eb8e115&tab=overview,https://youtu.be/Bu6DYe591Lw?t=4401,https://youtu.be/Bu6DYe591Lw?t=4864,2.0
2019.0,summer,ECS,2,AF,SGH,AF,SGH,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/1093122?gameHash=cb40a7fda6567484&tab=overview,https://youtu.be/Bu6DYe591Lw?t=8586,https://youtu.be/Bu6DYe591Lw?t=9037,1.0
2019.0,summer,ECS,2,,,SGH,AF,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/1093123?gameHash=540ff7bf37ef0031&tab=overview,https://youtu.be/Bu6DYe591Lw?t=11657,https://youtu.be/Bu6DYe591Lw?t=12129,2.0
2019.0,summer,ECS,2,MCX,JII,MCX,JII,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/1093137?gameHash=0728f6dc8c339f19&tab=overview,https://www.twitch.tv/videos/437492659?t=14m41s,https://www.twitch.tv/videos/437492659?t=22m17s,1.0
2019.0,summer,ECS,2,,,JII,MCX,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/1103101?gameHash=e10145e1700f09ad&tab=overview,https://youtu.be/HiNTi8NmZw4?t=248,https://youtu.be/HiNTi8NmZw4?t=655,2.0
2019.0,summer,ECS,2,FS,KE,FS,KE,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/1103106?gameHash=678373448e3c78d7&tab=overview,https://youtu.be/HiNTi8NmZw4?t=3810,https://youtu.be/HiNTi8NmZw4?t=5091,1.0
2019.0,summer,ECS,2,,,KE,FS,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/1103112?gameHash=4ef7efee8f0f0edf&tab=overview,https://youtu.be/HiNTi8NmZw4?t=7406,https://youtu.be/HiNTi8NmZw4?t=7928,2.0
2019.0,summer,ECS,3,JII,KE,JII,KE,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1134758?gameHash=dc86ba3e8a11b571&tab=overview,https://youtu.be/oixhDjvl95U?t=1312,https://youtu.be/oixhDjvl95U?t=1667,1.0
2019.0,summer,ECS,3,,,KE,JII,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1134774?gameHash=fa2ff05887eeac25&tab=overview,https://youtu.be/oixhDjvl95U?t=6059,https://youtu.be/oixhDjvl95U?t=6333,2.0
