year,season,league_name,week,team_1,team_2,Vod,set_number
2017.0,summer,EM,1,RB,S04,http://www.twitch.tv/videos/152703497,1.0
2017.0,summer,EM,1,,,http://www.twitch.tv/videos/152709225,2.0
2017.0,summer,EM,1,PSG,OG,http://www.twitch.tv/videos/152933499,1.0
2017.0,summer,EM,1,,,http://www.twitch.tv/videos/152933844,2.0
2017.0,summer,EM,1,GIA,WAR,http://www.twitch.tv/videos/152934202,1.0
2017.0,summer,EM,1,,,http://www.twitch.tv/videos/152934602,2.0
2017.0,summer,EM,2,PSG,GIA,http://www.twitch.tv/videos/154521007,1.0
2017.0,summer,EM,2,,,http://www.twitch.tv/videos/154529354,2.0
2017.0,summer,EM,2,WAR,RB,http://www.twitch.tv/videos/154531576,1.0
2017.0,summer,EM,2,,,http://www.twitch.tv/videos/154535245,2.0
2017.0,summer,EM,2,OG,S04,http://www.twitch.tv/videos/154546363,1.0
2017.0,summer,EM,2,,,http://www.twitch.tv/videos/154546823,2.0
2017.0,summer,EM,3,WAR,S04,http://www.twitch.tv/videos/156302508,1.0
2017.0,summer,EM,3,,,http://www.twitch.tv/videos/156302895,2.0
2017.0,summer,EM,3,PSG,RB,http://www.twitch.tv/videos/156303770,1.0
2017.0,summer,EM,3,,,http://www.twitch.tv/videos/156304027,2.0
2017.0,summer,EM,3,GIA,OG,http://www.twitch.tv/videos/156305449,1.0
2017.0,summer,EM,3,,,http://www.twitch.tv/videos/156305743,2.0
2017.0,summer,EM,4,RB,GIA,http://www.youtube.com/watch?v=5AW1Pn5w7gE,1.0
2017.0,summer,EM,4,,,http://www.youtube.com/watch?v=Lpkl9XbkoVw,2.0
2017.0,summer,EM,4,WAR,OG,http://www.youtube.com/watch?v=i256HzqGhQw,1.0
2017.0,summer,EM,4,,,http://www.youtube.com/watch?v=ad4HNUnYEXg,2.0
2017.0,summer,EM,4,PSG,S04,http://www.youtube.com/watch?v=Yq05CTCLWrg,1.0
2017.0,summer,EM,4,,,http://www.youtube.com/watch?v=i6VW5vBqMLE,2.0
2017.0,summer,EM,5,WAR,PSG,http://www.twitch.tv/videos/159572173?t=37m07s,1.0
2017.0,summer,EM,5,,,http://www.youtube.com/watch?v=3Zh5jJxkBBk,2.0
2017.0,summer,EM,5,S04,GIA,http://www.youtube.com/watch?v=sTW5x_C4Mus,1.0
2017.0,summer,EM,5,,,http://www.youtube.com/watch?v=B_PCVwOSO7I,2.0
2017.0,summer,EM,5,OG,RB,http://www.youtube.com/watch?v=tfo2UjLxhKM,1.0
2017.0,summer,EM,5,,,http://www.youtube.com/watch?v=7meRpfU_RBI,2.0
