year,season,league_name,week,team_1,team_2,Blue,Red,MH,PB,Start,set_number
2018.0,spring,EM,1,ESB,LDLC,ESB,LDLC,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT02/620038?gameHash=788f37ccee6a26c5&tab=overview,https://www.youtube.com/watch?v=Xr3_fvcKl7E&t=34m20s,https://www.youtube.com/watch?v=Xr3_fvcKl7E&t=42m20s,1.0
2018.0,spring,EM,1,4G,MRS,4G,MRS,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT02/620042?gameHash=8dc7d147c05b0d61&tab=overview,https://www.youtube.com/watch?v=Xr3_fvcKl7E&t=1h32m50s,https://www.youtube.com/watch?v=Xr3_fvcKl7E&t=1h39m50s,1.0
2018.0,spring,EM,1,CBB,Klik,CBB,Klik,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT02/610049?gameHash=b75c64b5f0a740b0&tab=overview,https://www.youtube.com/watch?v=Xr3_fvcKl7E&t=2h31m10s,https://www.youtube.com/watch?v=Xr3_fvcKl7E&t=2h39m45s,1.0
2018.0,spring,EM,1,ACT,K1CK,ACT,K1CK,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT02/620056?gameHash=56e2d129efc748fc&tab=overview,https://www.youtube.com/watch?v=Xr3_fvcKl7E&t=3h31m45s,https://www.youtube.com/watch?v=Xr3_fvcKl7E&t=3h42m10s,1.0
2018.0,spring,EM,1,SP5,ESB,SP5,ESB,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT02/610056?gameHash=d4b6067644bd2444&tab=overview,https://www.youtube.com/watch?v=Xr3_fvcKl7E&t=4h28m50s,https://www.youtube.com/watch?v=Xr3_fvcKl7E&t=4h36m55s,1.0
2018.0,spring,EM,1,PPK,4G,PPK,4G,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT02/620061?gameHash=e8b2eaf3b713a8b3&tab=overview,https://www.youtube.com/watch?v=Xr3_fvcKl7E&t=5h22m45s,https://www.youtube.com/watch?v=Xr3_fvcKl7E&t=5h31m20s,1.0
2018.0,spring,EM,2,Klik,BIG,Klik,BIG,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT02/620082?gameHash=468f3ce482f884c1&tab=overview,https://www.youtube.com/watch?v=DUpqaziVSEY&t=33m49s,https://www.youtube.com/watch?v=DUpqaziVSEY&t=41m5s,1.0
2018.0,spring,EM,2,K1CK,ENC,K1CK,ENC,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT02/620084?gameHash=33248835ee07a901&tab=overview,https://www.youtube.com/watch?v=DUpqaziVSEY&t=1h32m10s,https://www.youtube.com/watch?v=DUpqaziVSEY&t=1h40m50s,1.0
2018.0,spring,EM,2,LDLC,SP5,LDLC,SP5,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT02/620085?gameHash=9f0dfe83362b2bb3&tab=overview,https://www.youtube.com/watch?v=DUpqaziVSEY&t=2h29m20s,https://www.youtube.com/watch?v=DUpqaziVSEY&t=2h36m20s,1.0
2018.0,spring,EM,2,MRS,PPK,,,,,,1.0
2018.0,spring,EM,2,BIG,CBB,BIG,CBB,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT02/620089?gameHash=849b6b58eefb8b8f&tab=overview,https://www.youtube.com/watch?v=DUpqaziVSEY&t=3h46m0s,https://www.youtube.com/watch?v=DUpqaziVSEY&t=3h54m50s,1.0
2018.0,spring,EM,2,ENC,ACT,ENC,ACT,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT02/620091?gameHash=ef9379d51b447bd7&tab=overview,https://www.youtube.com/watch?v=DUpqaziVSEY&t=4h37m35s,https://www.youtube.com/watch?v=DUpqaziVSEY&t=4h47m15s,1.0
2018.0,spring,EM,Round,LDLC,ENC,LDLC,ENC,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT02/620106?gameHash=71bd96c8062dd573&tab=overview,https://www.youtube.com/watch?v=yTSomBBB0uY&t=36m17s,https://www.youtube.com/watch?v=yTSomBBB0uY&t=44m30s,1.0
2018.0,spring,EM,Round,MRS,BIG,MRS,BIG,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT02/620109?gameHash=14c050ed2ec8ba14&tab=overview,https://www.youtube.com/watch?v=yTSomBBB0uY&t=1h28m30s,https://www.youtube.com/watch?v=yTSomBBB0uY&t=1h38m0s,1.0
2018.0,spring,EM,Round,Klik,PPK,Klik,PPK,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT02/620111?gameHash=2f655099dda44459&tab=overview,https://www.youtube.com/watch?v=yTSomBBB0uY&t=2h19m52s,https://www.youtube.com/watch?v=yTSomBBB0uY&t=2h28m0s,1.0
