year,season,league_name,week,team_1,team_2,Blue,Red,MH,PB,Start,set_number
2018.0,summer,EM,1,VGIA,SM,VGIA,SM,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT05/880090?gameHash=df0c009262123aaa&tab=overview,https://youtu.be/OCIKJXgBYoY?t=2460,https://youtu.be/OCIKJXgBYoY?t=3240,1.0
2018.0,summer,EM,1,MOUZ,NiP,MOUZ,NiP,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT05/890101?gameHash=1d4b1cfd6132ed04&tab=overview,https://youtu.be/OCIKJXgBYoY?t=6809,https://youtu.be/OCIKJXgBYoY?t=7448,1.0
2018.0,summer,EM,1,CZV,Gent,CZV,Gent,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT05/890108?gameHash=a6571450df233c29&tab=overview,https://youtu.be/OCIKJXgBYoY?t=9995,https://youtu.be/OCIKJXgBYoY?t=10829,1.0
2018.0,summer,EM,1,ENC,VGIA,ENC,VGIA,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT05/890110?gameHash=4fa4df23cf495830&tab=overview,https://youtu.be/OCIKJXgBYoY?t=13113,https://youtu.be/OCIKJXgBYoY?t=13751,1.0
2018.0,summer,EM,1,SM,MOUZ,SM,MOUZ,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT05/890122?gameHash=5a487b011dbf2671&tab=overview,https://youtu.be/OCIKJXgBYoY?t=17063,https://youtu.be/OCIKJXgBYoY?t=17906,1.0
2018.0,summer,EM,1,CZV,NiP,CZV,NiP,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT05/890127?gameHash=c02f223ba819041b&tab=overview,https://youtu.be/OCIKJXgBYoY?t=20989,https://youtu.be/OCIKJXgBYoY?t=21618,1.0
2018.0,summer,EM,2,Gent,ENC,Gent,ENC,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT05/880121?gameHash=b346c9e7faa34432,https://youtu.be/Xu9feOsGmWM?t=2348,https://youtu.be/Xu9feOsGmWM?t=3157,1.0
2018.0,summer,EM,2,VGIA,MOUZ,VGIA,MOUZ,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT05/890141?gameHash=840b6dd300948b98,https://youtu.be/Xu9feOsGmWM?t=5808,https://youtu.be/Xu9feOsGmWM?t=6373,1.0
2018.0,summer,EM,2,SM,CZV,SM,CZV,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT05/880126?gameHash=6e40cf5a410e1ba4,https://youtu.be/Xu9feOsGmWM?t=9308,https://youtu.be/Xu9feOsGmWM?t=10040,1.0
2018.0,summer,EM,2,NiP,ENC,NiP,ENC,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT05/890148?gameHash=d8b1dbbbd79bd7a3,https://youtu.be/Xu9feOsGmWM?t=13197,https://youtu.be/Xu9feOsGmWM?t=13957,1.0
