year,season,league_name,week,team_1,team_2,Blue,Red,MH,MVP,PB,Start,set_number
2019.0,summer,EM,1,FLK,XL.UK,XL.UK,FLK,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT04/1010084?gameHash=21e73f4bd2040692&tab=overview,,,,1.0
2019.0,summer,EM,1,ASUS,OGB,ASUS,OGB,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT04/1010083?gameHash=083fb8599e734a7e&tab=overview,Venzer,https://youtu.be/gBgomIyUyag?t=412,https://youtu.be/gBgomIyUyag?t=898,1.0
2019.0,summer,EM,1,BIG,FLK,BIG,FLK,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT04/1010089?gameHash=3cf118aeae969576&tab=overview,ZaZee,https://youtu.be/gBgomIyUyag?t=3925,https://youtu.be/gBgomIyUyag?t=4508,1.0
2019.0,summer,EM,1,OGB,REC,REC,OGB,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT04/1010090?gameHash=65c3c88b1c71c5a9&tab=overview,iBo,https://youtu.be/gBgomIyUyag?t=6884,https://youtu.be/gBgomIyUyag?t=7038,1.0
2019.0,summer,EM,1,VITB,FLK,VITB,FLK,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT04/1010101?gameHash=373a888b727b9a9a,Skeanz,https://youtu.be/gBgomIyUyag?t=9882,https://youtu.be/gBgomIyUyag?t=10351,1.0
2019.0,summer,EM,1,BIG,XL.UK,XL.UK,BIG,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT04/1010102?gameHash=4d8de38cb5086c14&tab=overview,Hjarnan,https://youtu.be/gBgomIyUyag?t=13475,https://youtu.be/gBgomIyUyag?t=14107,1.0
2019.0,summer,EM,1,VITB,REC,VITB,REC,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT04/1010105?gameHash=707f4dd9f9055ac6&tab=overview,Saken,https://youtu.be/gBgomIyUyag?t=17167,https://youtu.be/gBgomIyUyag?t=17587,1.0
2019.0,summer,EM,2,ASUS,REC,REC,ASUS,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT04/1000088?gameHash=a6c121b0608cf58a&tab=overview,,https://youtu.be/xyLlFo_b6o8?t=2728,https://youtu.be/xyLlFo_b6o8?t=3215,1.0
2019.0,summer,EM,2,XL.UK,OGB,XL.UK,OGB,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT04/1000090?gameHash=a159c3e065cafc00&tab=overview,Special,https://youtu.be/s7I-Wdl-QvI?t=25,https://youtu.be/s7I-Wdl-QvI?t=445,1.0
2019.0,summer,EM,2,FLK,ASUS,FLK,ASUS,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT04/1010118?gameHash=b8a54216c0747003&tab=overview,Kryze,https://youtu.be/s7I-Wdl-QvI?t=3642,https://youtu.be/s7I-Wdl-QvI?t=4113,1.0
2019.0,summer,EM,2,VITB,BIG,BIG,VITB,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT04/1000091?gameHash=d53fcf91f41b2210&tab=overview,Skeanz,https://youtu.be/s7I-Wdl-QvI?t=6803,https://youtu.be/s7I-Wdl-QvI?t=7258,1.0
