year,season,league_name,week,team_1,team_2,Blue,Red,MH,PB,Start,HL,MVP,set_number
2018.0,spring,LCK,1,KZ,KSV,KZ,KSV,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT06/550246?gameHash=a7918e3f4936213b&tab=overview,https://www.youtube.com/watch?v=thrpguJi2y4,https://www.youtube.com/watch?v=thrpguJi2y4&t=14m18s,https://www.youtube.com/watch?v=S6c2oUwUfS8&t=10s,Ambition,1.0
2018.0,spring,LCK,1,,,KSV,KZ,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT06/550247?gameHash=e8da58c50577df24&tab=overview,https://www.youtube.com/watch?v=boTurTuGO-8,https://www.youtube.com/watch?v=boTurTuGO-8&t=7m48s,https://www.youtube.com/watch?v=aPunFjnEtLs&t=10s,Ruler,2.0
2018.0,spring,LCK,1,KDM,MVP,KDM,MVP,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT06/550268?gameHash=65c74d7a2f6d5a32&tab=overview,https://www.youtube.com/watch?v=a64AiGZtlnE,https://www.youtube.com/watch?v=a64AiGZtlnE&t=8m25s,https://www.youtube.com/watch?v=imGcXknGWYY&t=10s,Edge,1.0
2018.0,spring,LCK,1,,,MVP,KDM,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT06/550275?gameHash=fbf814c8e802e64f&tab=overview,https://www.youtube.com/watch?v=DK72avVlfE8,https://www.youtube.com/watch?v=DK72avVlfE8&t=7m49s,https://www.youtube.com/watch?v=TiiWOPw37QQ&t=10s,Raise,2.0
2018.0,spring,LCK,1,AF,KT,AF,KT,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT06/550331?gameHash=e3e9539ecaa3c32c,https://www.youtube.com/watch?v=cCf6f-1U_Zc,https://www.youtube.com/watch?v=cCf6f-1U_Zc&t=8m5s,https://www.youtube.com/watch?v=4WbvziazEN0&t=10s,Kuro,1.0
2018.0,spring,LCK,1,,,KT,AF,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT06/550351?gameHash=dd9a8dfd6091a220,https://www.youtube.com/watch?v=DOLx2-uxa14,https://www.youtube.com/watch?v=DOLx2-uxa14&t=8m33s,https://www.youtube.com/watch?v=Aq6fMh0AI6Y&t=10s,Smeb,2.0
2018.0,spring,LCK,1,,,AF,KT,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT06/550356?gameHash=359805cb9574ce85,https://www.youtube.com/watch?v=YQbA4CzV2ik,https://www.youtube.com/watch?v=YQbA4CzV2ik&t=8m50s,https://www.youtube.com/watch?v=Su3K2vaWNmk&t=10s,Spirit,3.0
2018.0,spring,LCK,1,SKT,ROX,SKT,ROX,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT06/550360?gameHash=24cef48592dd2016,https://www.youtube.com/watch?v=QNh1yt52Qs4,https://www.youtube.com/watch?v=QNh1yt52Qs4&t=8m22s,https://www.youtube.com/watch?v=0eApXxWtEtk&t=10s,Bang,1.0
2018.0,spring,LCK,1,,,ROX,SKT,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT06/550369?gameHash=1bad000c0889c63d,https://www.youtube.com/watch?v=iHz1bAYEmJ4,https://www.youtube.com/watch?v=iHz1bAYEmJ4&t=8m29s,https://www.youtube.com/watch?v=m6Syc-PpOrM&t=10s,Lindarang,2.0
2018.0,spring,LCK,1,,,SKT,ROX,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT06/550374?gameHash=4585c023de31185b,https://www.youtube.com/watch?v=M-0J-AagffI,https://www.youtube.com/watch?v=M-0J-AagffI&t=8m40s,https://www.youtube.com/watch?v=PTbZUofum3Y&t=10s,Wolf,3.0
