year,season,league_name,week,team_1,team_2,Blue,Red,MH,PB,Start,Post,HL,MVP,set_number
2020.0,summer,LCK,1,AF,SB,SB,AF,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1414788?gameHash=c0b6cf3492ed5bfd,https://youtu.be/5d6J8XkEYpw?t=1867,https://youtu.be/5d6J8XkEYpw?t=2258,https://youtu.be/5d6J8XkEYpw?t=3914,https://youtu.be/3f1X5PgFOMw?t=10,Mystic,1.0
2020.0,summer,LCK,1,,,AF,SB,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1414822?gameHash=7bdd668ece1ab5ca,https://youtu.be/95EZchMJcKU?t=449,https://youtu.be/95EZchMJcKU?t=935,https://youtu.be/95EZchMJcKU?t=2989,https://youtu.be/bto2SbGeKuI?t=10,Mystic,2.0
2020.0,summer,LCK,1,DRX,T1,DRX,T1,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1414831?gameHash=3b8f35cad67bb440,https://youtu.be/1_Y7LeEBWWc?t=742,https://youtu.be/1_Y7LeEBWWc?t=1230,https://youtu.be/1_Y7LeEBWWc?t=2864,https://youtu.be/OUyiz8bnwWw?t=10,Deft,1.0
2020.0,summer,LCK,1,,,T1,DRX,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1414864?gameHash=1ed7f4dfa1a38160,https://youtu.be/h_4UZo_rGZI?t=427,https://youtu.be/h_4UZo_rGZI?t=903,https://youtu.be/h_4UZo_rGZI?t=3196,https://youtu.be/pAjEUcqHBOE?t=10,Canna,2.0
2020.0,summer,LCK,1,,,DRX,T1,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1414874?gameHash=0c5a1c3d4a27d3b5,https://youtu.be/57MGd9t2fzY?t=330,https://youtu.be/57MGd9t2fzY?t=846,https://youtu.be/57MGd9t2fzY?t=2811,https://youtu.be/V95cWLoGtLA?t=10,Keria,3.0
2020.0,summer,LCK,1,KT,DYN,KT,DYN,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1415112?gameHash=bb66036323278a5c,https://youtu.be/GHeKqCpAeCo?t=679,https://youtu.be/GHeKqCpAeCo?t=1125,https://youtu.be/GHeKqCpAeCo?t=3592,https://youtu.be/XqE64kudmDc?t=10,Kuzan,1.0
2020.0,summer,LCK,1,,,DYN,KT,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1415168?gameHash=552fc6b68f1c6847,https://youtu.be/wzAj8vT2ZyQ?t=429,https://youtu.be/wzAj8vT2ZyQ?t=888,https://youtu.be/wzAj8vT2ZyQ?t=2302,https://youtu.be/c-xDuwD1oHE?t=10,Rich,2.0
2020.0,summer,LCK,1,SP,HLE,HLE,SP,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1415198?gameHash=4aeaa12b2ed105ef,https://youtu.be/GN7bUHaWSaQ?t=647,https://youtu.be/GN7bUHaWSaQ?t=1012,https://youtu.be/GN7bUHaWSaQ?t=3648,https://youtu.be/qMdDjY6bQbs?t=10,Mickey,1.0
2020.0,summer,LCK,1,,,SP,HLE,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1415201?gameHash=6f4c93384da19a1a,https://youtu.be/XpVOhYygB9Y?t=400,https://youtu.be/XpVOhYygB9Y?t=782,https://youtu.be/XpVOhYygB9Y?t=3364,https://youtu.be/ZkMW4xxdbzQ?t=10,Viper,2.0
2020.0,summer,LCK,1,,,HLE,SP,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1415210?gameHash=4baef7927d4a14eb,https://youtu.be/B7NWu7eJt_U?t=428,https://youtu.be/B7NWu7eJt_U?t=837,https://youtu.be/B7NWu7eJt_U?t=2787,https://youtu.be/Gb-aWSUPBVk?t=10,Mickey,3.0
