year,season,league_name,week,team_1,team_2,Vod,set_number
2017.0,spring,LCL,1,GMB,NV.CIS,http://www.youtube.com/watch?v=gUlXOXSo8a4,1.0
2017.0,spring,LCL,1,VEG,RoX,http://www.youtube.com/watch?v=we0CyJqmrVw,1.0
2017.0,spring,LCL,1,M19,Just A,http://www.youtube.com/watch?v=Sx0AWrrpufE,1.0
2017.0,spring,LCL,1,VS,VP,,1.0
2017.0,spring,LCL,1,VP,VEG,http://www.youtube.com/watch?v=wK0EEdlRcTo,1.0
2017.0,spring,LCL,1,GMB,M19,http://www.youtube.com/watch?v=UPaMR4cXh40,1.0
2017.0,spring,LCL,1,NV.CIS,VS,http://www.youtube.com/watch?v=1o16tgIZtLw,1.0
2017.0,spring,LCL,1,RoX,Just A,http://www.youtube.com/watch?v=uKahJOt1xC8,1.0
2017.0,spring,LCL,2,VS,M19,http://www.youtube.com/watch?v=Y1lDOLyi4zM,1.0
2017.0,spring,LCL,2,VP,RoX,http://www.youtube.com/watch?v=C4Xi6RSuSrk,1.0
2017.0,spring,LCL,2,Just A,NV.CIS,http://www.youtube.com/watch?v=nyGenJFCpNc,1.0
2017.0,spring,LCL,2,VEG,GMB,http://www.youtube.com/watch?v=sCti96A9JVI,1.0
2017.0,spring,LCL,2,GMB,VS,http://www.youtube.com/watch?v=fslo7On5xHw,1.0
2017.0,spring,LCL,2,RoX,M19,http://www.youtube.com/watch?v=TUGQWNoWk5s,1.0
2017.0,spring,LCL,2,VEG,NV.CIS,http://www.youtube.com/watch?v=_NhmHrw0iCM,1.0
2017.0,spring,LCL,2,Just A,VP,http://www.youtube.com/watch?v=3cKaoGBQpy0,1.0
2017.0,spring,LCL,3,VP,NV.CIS,http://www.youtube.com/watch?v=21vOCt8z0kE,1.0
2017.0,spring,LCL,3,RoX,GMB,http://www.youtube.com/watch?v=lPdqhPrYcAA,1.0
2017.0,spring,LCL,3,VEG,M19,http://www.youtube.com/watch?v=3mnlTU_kWDo,1.0
2017.0,spring,LCL,3,VS,Just A,http://www.youtube.com/watch?v=69ScMNZ769A,1.0
2017.0,spring,LCL,3,Just A,GMB,http://www.youtube.com/watch?v=TNL5Pq9r0ro,1.0
2017.0,spring,LCL,3,M19,VP,http://www.youtube.com/watch?v=3cutNGuJ2n8,1.0
2017.0,spring,LCL,3,NV.CIS,RoX,http://www.youtube.com/watch?v=g_dR3xA3EwM,1.0
2017.0,spring,LCL,3,VS,VEG,http://www.youtube.com/watch?v=vqvin3t61_E,1.0
2017.0,spring,LCL,4,RoX,VS,http://www.youtube.com/watch?v=cNAThGD9BmI,1.0
2017.0,spring,LCL,4,Just A,VEG,http://www.youtube.com/watch?v=9JTthYnN1pA,1.0
2017.0,spring,LCL,4,GMB,VP,http://www.youtube.com/watch?v=CkMxJpX2gqQ,1.0
2017.0,spring,LCL,4,M19,NV.CIS,http://www.youtube.com/watch?v=x3G8SGrJ7I4,1.0
2017.0,spring,LCL,4,NV.CIS,VP,http://www.youtube.com/watch?v=ffBBk6Uldjg,1.0
2017.0,spring,LCL,4,Just A,M19,http://www.youtube.com/watch?v=CoP7zDx3LlM,1.0
2017.0,spring,LCL,4,VS,GMB,http://www.youtube.com/watch?v=h8d6HAVpdek,1.0
2017.0,spring,LCL,4,RoX,VEG,http://www.youtube.com/watch?v=dpmk5Uz0fyw,1.0
2017.0,spring,LCL,5,VP,Just A,http://www.youtube.com/watch?v=Tp99htv3Ieg,1.0
2017.0,spring,LCL,5,GMB,VEG,http://www.youtube.com/watch?v=XmD5q1dcGwI,1.0
2017.0,spring,LCL,5,VS,RoX,http://www.youtube.com/watch?v=dk0tmsL-fgI,1.0
2017.0,spring,LCL,5,NV.CIS,M19,http://www.youtube.com/watch?v=umCxJTi3eJY,1.0
2017.0,spring,LCL,5,RoX,NV.CIS,http://www.youtube.com/watch?v=TRcSXMXsSpE,1.0
2017.0,spring,LCL,5,M19,VEG,http://www.youtube.com/watch?v=FbIpH9_ULrs,1.0
2017.0,spring,LCL,5,VP,VS,http://www.youtube.com/watch?v=y1-IdhzkTrw&t=1029s,1.0
2017.0,spring,LCL,5,GMB,Just A,http://www.youtube.com/watch?v=ArBJNkcwVHI,1.0
2017.0,spring,LCL,6,VEG,VS,http://www.youtube.com/watch?v=yzf3q4pDtCo,1.0
2017.0,spring,LCL,6,VP,GMB,http://www.youtube.com/watch?v=bOMHdESsi4E,1.0
2017.0,spring,LCL,6,M19,RoX,http://www.youtube.com/watch?v=QFjPn8ztn70&t=1564s,1.0
2017.0,spring,LCL,6,NV.CIS,Just A,http://www.youtube.com/watch?v=P2VQyAobq6I,1.0
2017.0,spring,LCL,6,GMB,RoX,http://www.youtube.com/watch?v=vo3Y3pQMJDA,1.0
2017.0,spring,LCL,6,VP,M19,http://www.youtube.com/watch?v=APVoIVuVK_8,1.0
2017.0,spring,LCL,6,Just A,VS,http://www.youtube.com/watch?v=Jhx_L8ONijA,1.0
2017.0,spring,LCL,6,NV.CIS,VEG,http://www.youtube.com/watch?v=7fCo6RNDaOk,1.0
2017.0,spring,LCL,7,RoX,VP,http://www.youtube.com/watch?v=7TDpaSv9AH4,1.0
2017.0,spring,LCL,7,M19,GMB,http://www.youtube.com/watch?v=UZobm0CoxiQ,1.0
2017.0,spring,LCL,7,VEG,Just A,http://www.youtube.com/watch?v=1wW4eesTUZ8,1.0
2017.0,spring,LCL,7,VS,NV.CIS,http://www.youtube.com/watch?v=Icfp6EjXl_M,1.0
2017.0,spring,LCL,7,Just A,RoX,http://www.youtube.com/watch?v=EjWCMb2EYs8,1.0
2017.0,spring,LCL,7,VEG,VP,http://www.youtube.com/watch?v=UGhScvnLuvQ,1.0
2017.0,spring,LCL,7,M19,VS,http://www.youtube.com/watch?v=z_kR28iwdi0,1.0
2017.0,spring,LCL,7,NV.CIS,GMB,http://www.youtube.com/watch?v=e5-ReOeJpxs,1.0
2017.0,spring,LCL,Tiebreakers,M19,VEG,http://www.youtube.com/watch?v=GSbKO08g8Z0,1.0
