year,season,league_name,week,team_1,team_2,Vod,set_number
2017.0,summer,LCL,1,VS,VP,http://www.youtube.com/watch?v=k2HQaG_xgE0,1.0
2017.0,summer,LCL,1,NV.CIS,VEG,http://www.youtube.com/watch?v=e4yOIDpPtLE,1.0
2017.0,summer,LCL,1,Just A,RoX,http://www.youtube.com/watch?v=wKjEn13TESI,1.0
2017.0,summer,LCL,1,M19,VEG,http://www.youtube.com/watch?v=CBBenYZ8xeg,1.0
2017.0,summer,LCL,1,GMB,NV.CIS,http://www.youtube.com/watch?v=3DFPvVECS90,1.0
2017.0,summer,LCL,1,Just A,M19,http://www.youtube.com/watch?v=KLYNFT9MEmU,1.0
2017.0,summer,LCL,1,VEG,GMB,http://www.youtube.com/watch?v=9n_figGoh-g,1.0
2017.0,summer,LCL,1,RoX,M19,http://www.youtube.com/watch?v=VaqWyTYa6Sc,1.0
2017.0,summer,LCL,1,GMB,VP,http://www.youtube.com/watch?v=7NMVK3j09Ug,1.0
2017.0,summer,LCL,1,RoX,VS,http://www.youtube.com/watch?v=8gNS3-_-cMI,1.0
2017.0,summer,LCL,1,NV.CIS,VP,http://www.youtube.com/watch?v=iG_JSaf-O8M,1.0
2017.0,summer,LCL,1,Just A,VS,http://www.youtube.com/watch?v=ZyD1Li64w3c,1.0
2017.0,summer,LCL,2,GMB,RoX,http://www.youtube.com/watch?v=73HxCYK0YN4,1.0
2017.0,summer,LCL,2,VEG,VP,http://www.youtube.com/watch?v=MuGZBTAm87A,1.0
2017.0,summer,LCL,2,RoX,NV.CIS,http://www.youtube.com/watch?v=zBI5hvzYLxE,1.0
2017.0,summer,LCL,2,VS,VEG,http://www.youtube.com/watch?v=b8LdaWD-W0o,1.0
2017.0,summer,LCL,2,NV.CIS,Just A,http://www.youtube.com/watch?v=WTVIkWbsOVI,1.0
2017.0,summer,LCL,2,VS,M19,http://www.youtube.com/watch?v=nNCIQKLiuQo,1.0
2017.0,summer,LCL,2,Just A,VEG,http://www.youtube.com/watch?v=aqdCmTZdvfc,1.0
2017.0,summer,LCL,2,RoX,VP,http://www.youtube.com/watch?v=WDKe5mK_-Zw,1.0
