year,season,league_name,week,team_1,team_2,Blue,Red,MH,PB,Start,set_number
2018.0,summer,LCL,1,RoX,GMB,RoX,GMB,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT02/730297?gameHash=85f7cee0715d8064&tab=overview,https://youtube.com/watch?v=P51-0BGl5yo&t=2072,https://youtube.com/watch?v=P51-0BGl5yo&t=2491,1.0
2018.0,summer,LCL,1,DA,TJ,DA,TJ,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT02/730306?gameHash=c4d88453c6474487&tab=overview,https://youtube.com/watch?v=gmiIgDgh54Q&t=267,https://youtube.com/watch?v=gmiIgDgh54Q&t=752,1.0
2018.0,summer,LCL,1,M19,VEG,M19,VEG,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT02/730312?gameHash=c221212f8a99e608&tab=overview,https://youtube.com/watch?v=acoiSRs026w&t=306,https://youtube.com/watch?v=acoiSRs026w&t=801,1.0
2018.0,summer,LCL,1,VS,DA,VS,DA,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT02/730323?gameHash=69be5028c13a7324&tab=overview,https://youtube.com/watch?v=9mHGnXjDWQk&t=417,https://youtube.com/watch?v=9mHGnXjDWQk&t=842,1.0
2018.0,summer,LCL,1,EPG,TJ,EPG,TJ,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT02/730337?gameHash=4c297875bdad6238&tab=overview,https://youtube.com/watch?v=fMqifQmiwcg&t=291,https://youtube.com/watch?v=fMqifQmiwcg&t=738,1.0
2018.0,summer,LCL,1,M19,VS,M19,VS,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT02/730359?gameHash=c823e4467aae02cf&tab=overview,https://youtube.com/watch?v=d6U7IqJu524&t=207,https://youtube.com/watch?v=d6U7IqJu524&t=701,1.0
2018.0,summer,LCL,1,DA,EPG,DA,EPG,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT02/730413?gameHash=d12c817e55e4c7d9&tab=overview,https://youtube.com/watch?v=5sNgitNlx68&t=942,https://youtube.com/watch?v=5sNgitNlx68&t=1383,1.0
2018.0,summer,LCL,1,VEG,VS,VEG,VS,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT02/730429?gameHash=aceb05cb3e038c88&tab=overview,https://youtube.com/watch?v=250b9U_mtPc&t=254,https://youtube.com/watch?v=250b9U_mtPc&t=682,1.0
2018.0,summer,LCL,1,EPG,RoX,EPG,RoX,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT02/730431?gameHash=078b7c8b92c82457&tab=overview,https://youtube.com/watch?v=2mzDhwn97N0&t=342,https://youtube.com/watch?v=2mzDhwn97N0&t=813,1.0
2018.0,summer,LCL,1,VEG,GMB,VEG,GMB,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT02/730439?gameHash=17d20070bbb52665&tab=overview,https://youtube.com/watch?v=V3hxIKZ6Hyk&t=334,https://youtube.com/watch?v=V3hxIKZ6Hyk&t=790,1.0
