year,season,league_name,week,team_1,team_2,Blue,Red,MH,PB,set_number
2019.0,spring,LCL,1,GMB,DA,GMB,DA,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT02/1012014?gameHash=e0bfd804250919d3&tab=overview,https://yandex.ru/?stream_channel=1535279579&stream_id=4eb2a316b10d7087a23c1ad906c7957c,1.0
2019.0,spring,LCL,1,TJ,M19,TJ,M19,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT02/1012026?gameHash=536c0423afe6f590&tab=overview,https://yandex.ru/?stream_channel=1535279579&stream_id=4eb5ad70ba7cc91abb5782f7538533ce,1.0
2019.0,spring,LCL,1,RoX,VS,RoX,VS,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT02/1012050?gameHash=03b15559a41ca69a&tab=overview,https://yandex.ru/?stream_channel=1535279579&stream_id=4a460f3e68860f4296e9ce096037eb8a,1.0
2019.0,spring,LCL,1,VEG,TJ,VEG,TJ,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT02/1012067?gameHash=af74d8d93405ff5e&tab=overview,https://yandex.ru/?stream_channel=1535279579&stream_id=43e4a088692e5ab58124d5a44d43f165,1.0
2019.0,spring,LCL,1,EPG,M19,EPG,M19,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT02/1012079?gameHash=4c8087fcfef0365e&tab=overview,https://yandex.ru/?stream_channel=1535279579&stream_id=43c2ebe7e14c44f4815d2ee170e04c3e,1.0
2019.0,spring,LCL,1,RoX,VEG,RoX,VEG,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT02/1012093?gameHash=38c0657e3a0bd71a&tab=overview,https://yandex.ru/?stream_channel=1535279579&stream_id=45cca6ae1ca970a2987ab22a49f437cc,1.0
2019.0,spring,LCL,1,TJ,EPG,TJ,EPG,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT02/1002265?gameHash=1b00204cc3303e71&tab=overview,https://yandex.ru/?stream_channel=1535279579&stream_id=4a823b3206eb0cd491975f60fb9ab786,1.0
2019.0,spring,LCL,1,VS,VEG,VS,VEG,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT02/1002279?gameHash=e50ab33a14bb41da&tab=overview,https://yandex.ru/?stream_channel=1535279579&stream_id=4b14af999187fe2d9214e2e9ff250e4c,1.0
2019.0,spring,LCL,1,EPG,GMB,EPG,GMB,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT02/1002293?gameHash=4258ff16d6165144&tab=overview,https://yandex.ru/?stream_channel=1535279579&stream_id=442b980534b74dc9a37f6e0713a083ca,1.0
2019.0,spring,LCL,1,VS,DA,VS,DA,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT02/1002307?gameHash=b73d8ec3c498af43&tab=overview,https://yandex.ru/?stream_channel=1535279579&stream_id=4a8f68f3a472697a9bcf26ff34accf93,1.0
2019.0,spring,LCL,1,M19,GMB,M19,GMB,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT02/1002345?gameHash=ec729e7c2bf5304d&tab=overview,https://yandex.ru/?stream_channel=1535279579&stream_id=4da56c91042e7306b8c428c36ad22dce,1.0
2019.0,spring,LCL,1,DA,RoX,DA,RoX,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT02/1002359?gameHash=1c24756e43d6fa4d&tab=overview,https://yandex.ru/?stream_channel=1535279579&stream_id=49ceaab0ce927dd0879a79273ed32740,1.0
2019.0,spring,LCL,2,EPG,VS,EPG,VS,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT02/1004523?gameHash=fef2b4e3592d79fd&tab=overview,https://frontend.vh.yandex.ru/player/4a33b59c44b5baf1ae11f2faa3363ee9,1.0
