year,season,league_name,week,team_1,team_2,Vod,set_number
2017.0,spring,LCS,1,TSM,C9,http://www.youtube.com/watch?v=YXM1L265KuI,1.0
2017.0,spring,LCS,1,,,http://www.youtube.com/watch?v=d0VQgLtisds,2.0
2017.0,spring,LCS,1,FOX,P1,http://www.youtube.com/watch?v=gPFlxi4Lgy0,1.0
2017.0,spring,LCS,1,,,http://www.youtube.com/watch?v=XvFfXBEK5pA,2.0
2017.0,spring,LCS,1,CLG,TL,http://www.youtube.com/watch?v=lKhJ_o37iE0,1.0
2017.0,spring,LCS,1,,,http://www.youtube.com/watch?v=tBDTfxh6gjM,2.0
2017.0,spring,LCS,1,nV,FLY,http://www.youtube.com/watch?v=d7MbAB-xPHw,1.0
2017.0,spring,LCS,1,,,http://www.youtube.com/watch?v=QAZOHihaprY,2.0
2017.0,spring,LCS,1,FOX,IMT,http://www.youtube.com/watch?v=ESOQxYsDnms,1.0
2017.0,spring,LCS,1,,,http://www.youtube.com/watch?v=JNzWINAZrjk,2.0
2017.0,spring,LCS,1,,,http://www.youtube.com/watch?v=XWPrLbx2T-8,3.0
2017.0,spring,LCS,1,DIG,P1,http://www.youtube.com/watch?v=h9ESqp7H8Sc,1.0
2017.0,spring,LCS,1,,,http://www.youtube.com/watch?v=k1g1TX8F4l4,2.0
2017.0,spring,LCS,1,,,http://www.youtube.com/watch?v=A6tGWYB3G7g,3.0
2017.0,spring,LCS,1,TSM,IMT,http://www.youtube.com/watch?v=60dzIMCeK5s,1.0
2017.0,spring,LCS,1,,,http://www.youtube.com/watch?v=4kKGRwy-cCk,2.0
2017.0,spring,LCS,1,,,http://www.youtube.com/watch?v=DMaSaPNJaew,3.0
2017.0,spring,LCS,1,nV,CLG,http://www.youtube.com/watch?v=OKjGHASK61s,1.0
2017.0,spring,LCS,1,,,http://www.youtube.com/watch?v=ihKqPzi3DqU,2.0
2017.0,spring,LCS,1,DIG,C9,http://www.youtube.com/watch?v=Gl0kBBaUEgA,1.0
2017.0,spring,LCS,1,,,http://www.youtube.com/watch?v=PO4ycGlCY-4,2.0
2017.0,spring,LCS,1,,,http://www.youtube.com/watch?v=lUdRXflrUd4,3.0
2017.0,spring,LCS,1,TL,FLY,http://www.youtube.com/watch?v=K07rOmxDMao,1.0
2017.0,spring,LCS,1,,,http://www.youtube.com/watch?v=_OGjS9XkKqE,2.0
2017.0,spring,LCS,1,,,http://www.youtube.com/watch?v=BTdXPRZOQr0,3.0
2017.0,spring,LCS,2,FLY,CLG,http://www.youtube.com/watch?v=z-4ne-Gtt_s,1.0
2017.0,spring,LCS,2,,,http://www.youtube.com/watch?v=TkG7S9ntuHk,2.0
2017.0,spring,LCS,2,TSM,DIG,http://www.youtube.com/watch?v=_sbUF7sEyKY,1.0
2017.0,spring,LCS,2,,,http://www.youtube.com/watch?v=4PZTXQg_Tg0,2.0
2017.0,spring,LCS,2,,,http://www.youtube.com/watch?v=-8HCcYCno2I,3.0
2017.0,spring,LCS,2,IMT,C9,http://www.youtube.com/watch?v=JCyJ_NbVsaQ,1.0
2017.0,spring,LCS,2,,,http://www.youtube.com/watch?v=rzIWzCfGaBI,2.0
2017.0,spring,LCS,2,P1,nV,http://www.youtube.com/watch?v=1gC7lWfi7dk,1.0
2017.0,spring,LCS,2,,,http://www.youtube.com/watch?v=mNLJwC9Jb5o,2.0
2017.0,spring,LCS,2,TSM,TL,http://www.youtube.com/watch?v=GwM7TzjJBno,1.0
2017.0,spring,LCS,2,,,http://www.youtube.com/watch?v=-SgONSprnYw,2.0
2017.0,spring,LCS,2,,,http://www.youtube.com/watch?v=Ve1PwkL_xI0,3.0
2017.0,spring,LCS,2,DIG,FOX,http://www.youtube.com/watch?v=aDqI5bqwZkA,1.0
2017.0,spring,LCS,2,,,http://www.youtube.com/watch?v=Q4gW34E2hu8,2.0
2017.0,spring,LCS,2,,,http://www.youtube.com/watch?v=dtI0E23YF0g,3.0
2017.0,spring,LCS,2,P1,TL,http://www.youtube.com/watch?v=Ukty-JZiAJI,1.0
2017.0,spring,LCS,2,,,http://www.youtube.com/watch?v=qStbwOC4zEI,2.0
2017.0,spring,LCS,2,FOX,FLY,http://www.youtube.com/watch?v=5Gmt6bMXl8M,1.0
2017.0,spring,LCS,2,,,http://www.youtube.com/watch?v=M6wKcqfvkRQ,2.0
2017.0,spring,LCS,2,,,http://www.youtube.com/watch?v=xTMfEMejveI,3.0
2017.0,spring,LCS,2,nV,IMT,http://www.youtube.com/watch?v=qcT1mYKeeWE,1.0
2017.0,spring,LCS,2,,,http://www.youtube.com/watch?v=Z9oFhkv54rU,2.0
2017.0,spring,LCS,2,,,http://www.youtube.com/watch?v=FeRQOavkDeE,3.0
2017.0,spring,LCS,2,C9,CLG,http://www.youtube.com/watch?v=HAuZ5KjxTpk,1.0
2017.0,spring,LCS,2,,,http://www.youtube.com/watch?v=9-SCSK028Ro,2.0
2017.0,spring,LCS,2,,,http://www.youtube.com/watch?v=-2KA00B267A,3.0
2017.0,spring,LCS,3,IMT,P1,http://www.youtube.com/watch?v=zHTkDMUdmVg,1.0
2017.0,spring,LCS,3,,,http://www.youtube.com/watch?v=X9AZt4Uh_RY,2.0
2017.0,spring,LCS,3,nV,TL,http://www.youtube.com/watch?v=Ux5mZ_wGA6M,1.0
2017.0,spring,LCS,3,,,http://www.youtube.com/watch?v=12DXAMHWIIk,2.0
2017.0,spring,LCS,3,CLG,TSM,http://www.youtube.com/watch?v=dZ6bBkeHcgY,1.0
2017.0,spring,LCS,3,,,http://www.youtube.com/watch?v=yl-O6RS8qtw,2.0
2017.0,spring,LCS,3,,,http://www.youtube.com/watch?v=nYToU267UyE,3.0
2017.0,spring,LCS,3,FLY,DIG,http://www.youtube.com/watch?v=vE8vlEipy9c,1.0
2017.0,spring,LCS,3,,,http://www.youtube.com/watch?v=6d7f7hbgLTc,2.0
2017.0,spring,LCS,3,TL,FOX,http://www.youtube.com/watch?v=QEH5F7QVAF0,1.0
2017.0,spring,LCS,3,,,http://www.youtube.com/watch?v=P44gaf9MJfk,2.0
2017.0,spring,LCS,3,,,http://www.youtube.com/watch?v=jmrCs4HD-is,3.0
2017.0,spring,LCS,3,C9,nV,http://www.youtube.com/watch?v=VwdZISJBkxs,1.0
2017.0,spring,LCS,3,,,http://www.youtube.com/watch?v=lJx5muMrtmI,2.0
2017.0,spring,LCS,3,P1,TSM,http://www.youtube.com/watch?v=o3gCqKaDsRo,1.0
2017.0,spring,LCS,3,,,http://www.youtube.com/watch?v=KvI1t5PbzGs,2.0
2017.0,spring,LCS,3,,,http://www.youtube.com/watch?v=XKs2hPBLMk4,3.0
2017.0,spring,LCS,3,DIG,CLG,http://www.youtube.com/watch?v=J9hbyuVXdDU,1.0
2017.0,spring,LCS,3,,,http://www.youtube.com/watch?v=WKTG_ZEZOLg,2.0
2017.0,spring,LCS,3,IMT,FLY,http://www.youtube.com/watch?v=3L4fqov8yHY,1.0
2017.0,spring,LCS,3,,,http://www.youtube.com/watch?v=4NSSmmzw-jQ,2.0
2017.0,spring,LCS,3,C9,FOX,http://www.youtube.com/watch?v=htr5vBQAxOM,1.0
2017.0,spring,LCS,3,,,http://www.youtube.com/watch?v=zrPJVzT2Y04,2.0
2017.0,spring,LCS,4,C9,TL,http://www.youtube.com/watch?v=2AjE715OsPg,1.0
2017.0,spring,LCS,4,,,http://www.youtube.com/watch?v=g0EL_FSNhgQ,2.0
2017.0,spring,LCS,4,,,http://www.youtube.com/watch?v=GITWWp6ZZ4w,3.0
2017.0,spring,LCS,4,IMT,DIG,http://www.youtube.com/watch?v=2LtCl8ZoRLY,1.0
2017.0,spring,LCS,4,,,http://www.youtube.com/watch?v=FFoeBnNLo_E,2.0
2017.0,spring,LCS,4,CLG,FOX,http://www.youtube.com/watch?v=TqdigA-IHKI,1.0
2017.0,spring,LCS,4,,,http://www.youtube.com/watch?v=-i5u9q007ks,2.0
2017.0,spring,LCS,4,P1,FLY,http://www.youtube.com/watch?v=cifmokYed8Y,1.0
2017.0,spring,LCS,4,,,http://www.youtube.com/watch?v=Hi-4THP3iPo,2.0
2017.0,spring,LCS,4,TSM,nV,http://www.youtube.com/watch?v=22FaC4xjX3U,1.0
2017.0,spring,LCS,4,,,http://www.youtube.com/watch?v=mrATwa8bb3k,2.0
2017.0,spring,LCS,4,TL,IMT,http://www.youtube.com/watch?v=eBVo0KQ3Pv0,1.0
2017.0,spring,LCS,4,,,http://www.youtube.com/watch?v=EZ_3oSl6Rlg,2.0
2017.0,spring,LCS,4,CLG,P1,http://www.youtube.com/watch?v=m1baJupnijw,1.0
2017.0,spring,LCS,4,,,http://www.youtube.com/watch?v=59qyT0D0Qqk,2.0
2017.0,spring,LCS,4,,,http://www.youtube.com/watch?v=foy62kKAEmY,3.0
2017.0,spring,LCS,4,FOX,TSM,http://www.youtube.com/watch?v=hJoVbHaHVsA,1.0
2017.0,spring,LCS,4,,,http://www.youtube.com/watch?v=HE7cumoJ0Tk,2.0
2017.0,spring,LCS,4,FLY,C9,http://www.youtube.com/watch?v=juv7kWeaYdk,1.0
2017.0,spring,LCS,4,,,http://www.youtube.com/watch?v=UBCQqrQcHy0,2.0
2017.0,spring,LCS,4,,,http://www.youtube.com/watch?v=xlbD5OQkiJw,3.0
2017.0,spring,LCS,4,DIG,nV,http://www.youtube.com/watch?v=qtNpt8-3a6A,1.0
2017.0,spring,LCS,4,,,http://www.youtube.com/watch?v=FtCcSUwbQ4k,2.0
2017.0,spring,LCS,5,DIG,FLY,http://www.youtube.com/watch?v=SaizKIyqQJs,1.0
2017.0,spring,LCS,5,,,http://www.youtube.com/watch?v=-RJbTu0bJi8,2.0
2017.0,spring,LCS,5,nV,P1,http://www.youtube.com/watch?v=-JFb6uFwf80,1.0
2017.0,spring,LCS,5,,,http://www.youtube.com/watch?v=n42rTjhzl5A,2.0
2017.0,spring,LCS,5,CLG,IMT,http://www.youtube.com/watch?v=h6Bi5SFcOJg,1.0
2017.0,spring,LCS,5,,,http://www.youtube.com/watch?v=i9L4ibGMim0,2.0
2017.0,spring,LCS,5,,,http://www.youtube.com/watch?v=430JvImDgd4,3.0
2017.0,spring,LCS,5,TL,DIG,http://www.youtube.com/watch?v=o63LCzmLzIw,1.0
2017.0,spring,LCS,5,,,http://www.youtube.com/watch?v=9kjfKjHWufg,2.0
2017.0,spring,LCS,5,,,http://www.youtube.com/watch?v=TDsJBAz0iUU,3.0
2017.0,spring,LCS,5,C9,TSM,http://www.youtube.com/watch?v=GumOh8BOyKM,1.0
2017.0,spring,LCS,5,,,http://www.youtube.com/watch?v=oJG2ASZwK4o,2.0
2017.0,spring,LCS,5,,,http://www.youtube.com/watch?v=Um7XFxenOo8,3.0
2017.0,spring,LCS,5,nV,FOX,http://www.youtube.com/watch?v=SH-IS0wXKPQ,1.0
2017.0,spring,LCS,5,,,http://www.youtube.com/watch?v=aDccC9JQJC8,2.0
2017.0,spring,LCS,5,FLY,TSM,http://www.youtube.com/watch?v=L83Q6Fkq0XE,1.0
2017.0,spring,LCS,5,,,http://www.youtube.com/watch?v=obaGC-eQlHY,2.0
2017.0,spring,LCS,5,,,http://www.youtube.com/watch?v=hndXMT7Sgok,3.0
2017.0,spring,LCS,5,IMT,FOX,http://www.youtube.com/watch?v=McV4JYcof_s,1.0
2017.0,spring,LCS,5,,,http://www.youtube.com/watch?v=pDaRHhDCCr4,2.0
2017.0,spring,LCS,5,P1,C9,http://www.youtube.com/watch?v=VlMXzkVQeGs,1.0
2017.0,spring,LCS,5,,,http://www.youtube.com/watch?v=NAaQ0RuQyiI,2.0
2017.0,spring,LCS,5,TL,CLG,http://www.youtube.com/watch?v=B29vqG1SUs4,1.0
2017.0,spring,LCS,5,,,http://www.youtube.com/watch?v=khGnvKdSRUM,2.0
2017.0,spring,LCS,5,,,http://www.youtube.com/watch?v=BrMsio6TaI0,3.0
2017.0,spring,LCS,6,IMT,TL,http://www.youtube.com/watch?v=1F7ppzQXVl0,1.0
2017.0,spring,LCS,6,,,http://www.youtube.com/watch?v=npL2gvFfc6I,2.0
2017.0,spring,LCS,6,,,http://www.youtube.com/watch?v=2vRgSB6jD_A,3.0
2017.0,spring,LCS,6,P1,CLG,http://www.youtube.com/watch?v=5i8jnxZvxrc,1.0
2017.0,spring,LCS,6,,,http://www.youtube.com/watch?v=Uuc90ots4vY,2.0
2017.0,spring,LCS,6,,,http://www.youtube.com/watch?v=P1ziqtZLyCw&t=1m07s,3.0
2017.0,spring,LCS,6,FOX,C9,http://www.youtube.com/watch?v=zPjsj39p57o,1.0
2017.0,spring,LCS,6,,,http://www.youtube.com/watch?v=ErOXZJ2jv40,2.0
2017.0,spring,LCS,6,FLY,nV,http://www.youtube.com/watch?v=fp6InGMvDqI,1.0
2017.0,spring,LCS,6,,,http://www.youtube.com/watch?v=Efh7cxAE7iM,2.0
2017.0,spring,LCS,6,,,http://www.youtube.com/watch?v=kwag-C1vaIA,3.0
2017.0,spring,LCS,6,TSM,CLG,http://www.youtube.com/watch?v=_A-K3dO-cCU,1.0
2017.0,spring,LCS,6,,,http://www.youtube.com/watch?v=3NKAdiHisxw,2.0
2017.0,spring,LCS,6,P1,DIG,http://www.youtube.com/watch?v=FHyf1FRAKrg,1.0
2017.0,spring,LCS,6,,,http://www.youtube.com/watch?v=f5ujzWtXb2c,2.0
2017.0,spring,LCS,6,,,http://www.youtube.com/watch?v=nRqEYQGN4B0,3.0
2017.0,spring,LCS,6,DIG,TSM,http://www.youtube.com/watch?v=UPu_jCnSa6g,1.0
2017.0,spring,LCS,6,,,http://www.youtube.com/watch?v=TLGIUJHeHuA,2.0
2017.0,spring,LCS,6,FOX,TL,http://www.youtube.com/watch?v=MDPl7pVwPRg,1.0
2017.0,spring,LCS,6,,,http://www.youtube.com/watch?v=h2lpxXINA8A,2.0
2017.0,spring,LCS,6,,,http://www.youtube.com/watch?v=s_Eh_5_r-YM,3.0
2017.0,spring,LCS,6,C9,FLY,http://www.youtube.com/watch?v=PDq_z4wAlJY,1.0
2017.0,spring,LCS,6,,,http://www.youtube.com/watch?v=9ds0GNrTB78,2.0
2017.0,spring,LCS,6,IMT,nV,http://www.youtube.com/watch?v=q18BO7L2dco,1.0
2017.0,spring,LCS,6,,,http://www.youtube.com/watch?v=236w8LGaLdk,2.0
2017.0,spring,LCS,6,,,http://www.youtube.com/watch?v=wtNC3TrZdLM,3.0
2017.0,spring,LCS,7,TL,C9,http://www.youtube.com/watch?v=WfY76WPK7_w&t=9m53s,1.0
2017.0,spring,LCS,7,,,http://www.youtube.com/watch?v=x6wO5kvFciM&t=6m09s,2.0
2017.0,spring,LCS,7,FLY,P1,http://www.youtube.com/watch?v=d66H9yrSOYU&t=2m51s,1.0
2017.0,spring,LCS,7,,,http://www.youtube.com/watch?v=m6YXrtH3kfw&t=20m45s,2.0
2017.0,spring,LCS,7,CLG,DIG,http://www.youtube.com/watch?v=zWKoLbBzc_Q,1.0
2017.0,spring,LCS,7,,,http://www.youtube.com/watch?v=9jDwFENusQA,2.0
2017.0,spring,LCS,7,nV,TSM,http://www.youtube.com/watch?v=0yGxXBR_Fdc,1.0
2017.0,spring,LCS,7,,,http://www.youtube.com/watch?v=5MSq8p_Bxi4,2.0
2017.0,spring,LCS,7,,,http://www.youtube.com/watch?v=a5RJGtsP5B4,3.0
2017.0,spring,LCS,7,FLY,IMT,http://www.youtube.com/watch?v=l6hhGwvwRAQ,1.0
2017.0,spring,LCS,7,,,http://www.youtube.com/watch?v=2deMQXA27go,2.0
2017.0,spring,LCS,7,P1,FOX,http://www.youtube.com/watch?v=mRbRftM9WbE,1.0
2017.0,spring,LCS,7,,,http://www.youtube.com/watch?v=DBYYo2PmZnM,2.0
2017.0,spring,LCS,7,CLG,C9,http://www.youtube.com/watch?v=iJYj8IDHwU4&t=10m11s,1.0
2017.0,spring,LCS,7,,,http://www.youtube.com/watch?v=nODOAtOnQXw&t=6m00s,2.0
2017.0,spring,LCS,7,,,http://www.youtube.com/watch?v=sQXWbkogIJs&t=5m14s,3.0
2017.0,spring,LCS,7,FOX,DIG,http://www.youtube.com/watch?v=UJo0IkVGGWE&t=3m47s,1.0
2017.0,spring,LCS,7,,,http://www.youtube.com/watch?v=Hm8cA6_Djqc&t=1m58s,2.0
2017.0,spring,LCS,7,,,http://www.youtube.com/watch?v=6gjurxBQ-w0&t=5m32s,3.0
2017.0,spring,LCS,7,IMT,TSM,http://www.youtube.com/watch?v=YLGUKu4i5WM&t=3m20s,1.0
2017.0,spring,LCS,7,,,http://www.youtube.com/watch?v=ifyfXZoxXBo&t=1m44s,2.0
2017.0,spring,LCS,7,,,http://www.youtube.com/watch?v=7xegD9GIrTA&t=1m32s,3.0
2017.0,spring,LCS,7,TL,nV,http://www.youtube.com/watch?v=DrbNphcXSmc&t=3m04s,1.0
2017.0,spring,LCS,7,,,http://www.youtube.com/watch?v=Z3o5eHX9qCo&t=43s,2.0
2017.0,spring,LCS,7,,,http://www.youtube.com/watch?v=_bcvXZPRL_M&t=6m04s,3.0
2017.0,spring,LCS,8,DIG,TL,http://www.youtube.com/watch?v=lRWxp10IdC8#t=8m33s,1.0
2017.0,spring,LCS,8,,,http://www.youtube.com/watch?v=qS_zTPIcj1I#t=2m19s,2.0
2017.0,spring,LCS,8,FOX,CLG,http://www.youtube.com/watch?v=LEckFXIpALY#t=3m54s,1.0
2017.0,spring,LCS,8,,,http://www.youtube.com/watch?v=QRDRfjp7wLA#t=1m29s,2.0
2017.0,spring,LCS,8,C9,IMT,http://www.youtube.com/watch?v=9uKAZgjw_SA#t=12m,1.0
2017.0,spring,LCS,8,,,http://www.youtube.com/watch?v=A1geeJX38h4#t=2m7s,2.0
2017.0,spring,LCS,8,,,http://www.youtube.com/watch?v=zC4OzJt42bQ#t=2m25s,3.0
2017.0,spring,LCS,8,nV,DIG,http://www.youtube.com/watch?v=qO3NocRRzts,1.0
2017.0,spring,LCS,8,,,http://www.youtube.com/watch?v=41XwUyRI2e4,2.0
2017.0,spring,LCS,8,,,http://www.youtube.com/watch?v=g8Du_I7WZIQ,3.0
2017.0,spring,LCS,8,TSM,FLY,http://www.youtube.com/watch?v=8JyCE3lwlQc,1.0
2017.0,spring,LCS,8,,,http://www.youtube.com/watch?v=betxGsb7CPs,2.0
2017.0,spring,LCS,8,,,http://www.youtube.com/watch?v=wvt2ankeCpo,3.0
2017.0,spring,LCS,8,TL,P1,http://www.youtube.com/watch?v=qeZkf-U-wNU,1.0
2017.0,spring,LCS,8,,,http://www.youtube.com/watch?v=nzviPF27RK4,2.0
2017.0,spring,LCS,8,TSM,FOX,http://www.youtube.com/watch?v=lJ-mE_QegYg#t=10m26s,1.0
2017.0,spring,LCS,8,,,http://www.youtube.com/watch?v=6u0FLqs4MDE#t=4m56s,2.0
2017.0,spring,LCS,8,P1,IMT,http://www.youtube.com/watch?v=zOd7cZYlrN8#t=5m54s,1.0
2017.0,spring,LCS,8,,,http://www.youtube.com/watch?v=KmqfOhEdtDg#t=26s,2.0
2017.0,spring,LCS,8,CLG,FLY,http://www.youtube.com/watch?v=yeHr7_LL1AE#t=5m27s,1.0
2017.0,spring,LCS,8,,,http://www.youtube.com/watch?v=iv9_LVMTI20#t=3m,2.0
2017.0,spring,LCS,8,nV,C9,http://www.youtube.com/watch?v=8LVrwky2vN4,1.0
2017.0,spring,LCS,8,,,http://www.youtube.com/watch?v=_jcjz17P7Nw,2.0
2017.0,spring,LCS,8,,,http://www.youtube.com/watch?v=MeikBLBOiiU,3.0
2017.0,spring,LCS,9,C9,DIG,http://www.youtube.com/watch?v=QXjyf0Yh3Eg#t=8m29s,1.0
2017.0,spring,LCS,9,,,http://www.youtube.com/watch?v=WFiPyYu0Dik#t=3m22s,2.0
2017.0,spring,LCS,9,FLY,FOX,http://www.youtube.com/watch?v=cJXYQpg44es#t=3m50s,1.0
2017.0,spring,LCS,9,,,http://www.youtube.com/watch?v=h-OASjeTrCs#t=1m48s,2.0
2017.0,spring,LCS,9,IMT,CLG,http://www.youtube.com/watch?v=fAG8AyOtJCU,1.0
2017.0,spring,LCS,9,,,http://www.youtube.com/watch?v=zJo4Gqum7ok,2.0
2017.0,spring,LCS,9,TL,TSM,http://www.youtube.com/watch?v=pCEgUUn03d8,1.0
2017.0,spring,LCS,9,,,http://www.youtube.com/watch?v=32J7Ruth1xA,2.0
2017.0,spring,LCS,9,,,http://www.youtube.com/watch?v=vphgbLOhIQU,3.0
2017.0,spring,LCS,9,C9,P1,http://www.youtube.com/watch?v=LAM1Shux5BY,1.0
2017.0,spring,LCS,9,,,http://www.youtube.com/watch?v=W5Ekfd9eCR0#t=4m51s,2.0
2017.0,spring,LCS,9,FOX,nV,http://www.youtube.com/watch?v=asgL3_Arba0,1.0
2017.0,spring,LCS,9,,,http://www.youtube.com/watch?v=GaQRgB0xsrI#t=1m53s,2.0
2017.0,spring,LCS,9,,,http://www.youtube.com/watch?v=CfMBwLR6ySk#t=1m9s,3.0
2017.0,spring,LCS,9,TSM,P1,http://www.youtube.com/watch?v=dkNh4MzRG2Q,1.0
2017.0,spring,LCS,9,,,http://www.youtube.com/watch?v=F8WmjPB3TGY,2.0
2017.0,spring,LCS,9,DIG,IMT,http://www.youtube.com/watch?v=trcUvu_ePdo,1.0
2017.0,spring,LCS,9,,,http://www.youtube.com/watch?v=8aPiIbwIE1g,2.0
2017.0,spring,LCS,9,FLY,TL,http://www.youtube.com/watch?v=FoV-TOZZSTM,1.0
2017.0,spring,LCS,9,,,http://www.youtube.com/watch?v=XAVk3ZUsp7o,2.0
2017.0,spring,LCS,9,,,http://www.youtube.com/watch?v=DsBqaEBv0W0#t=1m35s,3.0
2017.0,spring,LCS,9,CLG,nV,http://www.youtube.com/watch?v=cLjB__iZtDo,1.0
