year,season,league_name,week,team_1,team_2,Blue,Red,MH,PB,Start,Post,HL,MVP,set_number
2019.0,summer,LCS,1,C9,FLY,C9,FLY,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/1092338?gameHash=205db232780f91a9,https://youtu.be/45LStnxX6xM?t=560,https://youtu.be/45LStnxX6xM?t=987,https://youtu.be/45LStnxX6xM?t=3102,https://youtu.be/GzfvFQr_KWI?t=10,Licorice,1.0
2019.0,summer,LCS,1,TL,TSM,TL,TSM,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/1092362?gameHash=f170dc025f0afbbe,https://youtu.be/lUASu7hRWRw?t=408,https://youtu.be/lUASu7hRWRw?t=867,https://youtu.be/lUASu7hRWRw?t=2634,https://youtu.be/p3UOAynPrMA?t=10,Xmithie,1.0
2019.0,summer,LCS,1,CLG,100,CLG,100,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/1092372?gameHash=dc493e5e2cd3a013,https://youtu.be/i-8mjyhNZes?t=184,https://youtu.be/i-8mjyhNZes?t=657,https://youtu.be/i-8mjyhNZes?t=2562,https://youtu.be/kBNX9iQeONs?t=10,Wiggily,1.0
2019.0,summer,LCS,1,OPT,CG,CG,OPT,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/1092386?gameHash=7ffddcb7718957c0,https://youtu.be/e45oIpJeewU?t=274,https://youtu.be/e45oIpJeewU?t=741,https://youtu.be/e45oIpJeewU?t=3060,https://youtu.be/sgvnLpXTnA4?t=10,Crown,1.0
2019.0,summer,LCS,1,GG,FOX,GG,FOX,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/1092401?gameHash=9f1e605cb2161c11,https://youtu.be/M6cD4EcGG54?t=155,https://youtu.be/M6cD4EcGG54?t=520,https://youtu.be/M6cD4EcGG54?t=2223,https://youtu.be/1BFFoQWv3uQ?t=10,Contractz,1.0
2019.0,summer,LCS,1,CG,C9,CG,C9,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/1092517?gameHash=273fd076e309f6c3,https://youtu.be/3_OQdTOv7aI?t=409,https://youtu.be/3_OQdTOv7aI?t=687,https://youtu.be/3_OQdTOv7aI?t=2426,https://youtu.be/UTqZQZZeZGY?t=10,Licorice,1.0
2019.0,summer,LCS,1,FLY,GG,FLY,GG,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/1092535?gameHash=8de06bcb6568a06a,https://youtu.be/0u0OpQQh0jQ?t=97,https://youtu.be/0u0OpQQh0jQ?t=540,https://youtu.be/0u0OpQQh0jQ?t=2359,https://youtu.be/uDSzx5NbVsI?t=10,Froggen,1.0
2019.0,summer,LCS,1,FOX,TL,FOX,TL,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/1092552?gameHash=8523657f4306927a,https://youtu.be/5maIwMPmq28?t=98,https://youtu.be/5maIwMPmq28?t=495,https://youtu.be/5maIwMPmq28?t=2199,https://youtu.be/ncAYD_ftE3c?t=10,Solo,1.0
2019.0,summer,LCS,1,TSM,CLG,TSM,CLG,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/1092561?gameHash=3a4e7b686a82258e,https://youtu.be/HVPscnD5rLM?t=153,https://youtu.be/HVPscnD5rLM?t=584,https://youtu.be/HVPscnD5rLM?t=2399,https://youtu.be/CQxLjaYrlmI?t=10,Grig,1.0
2019.0,summer,LCS,1,100,OPT,100,OPT,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/1092577?gameHash=042a2461bd6773e5,https://youtu.be/4pnzElf7hpo?t=156,https://youtu.be/4pnzElf7hpo?t=618,https://youtu.be/4pnzElf7hpo?t=2663,https://youtu.be/jXLL76PErQo?t=10,Crown,1.0
2019.0,summer,LCS,2,C9,FOX,C9,FOX,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1131772?gameHash=b3c11776c249e91a,https://youtu.be/Y3Ob8Fa3Au0?t=607,https://youtu.be/Y3Ob8Fa3Au0?t=997,https://youtu.be/Y3Ob8Fa3Au0?t=3152,https://youtu.be/KySrvnSzz_A?t=10,Svenskeren,1.0
2019.0,summer,LCS,2,TL,100,TL,100,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1131801?gameHash=078cbac4fb568b1f,https://youtu.be/9xZXbSbjTLg?t=129,https://youtu.be/9xZXbSbjTLg?t=567,https://youtu.be/9xZXbSbjTLg?t=2365,https://youtu.be/qkVIs2--Z0Y?t=10,CoreJJ,1.0
2019.0,summer,LCS,2,TSM,FLY,TSM,FLY,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1131814?gameHash=be03806ba284db5f,https://youtu.be/XRQHj-WHZ30?t=199,https://youtu.be/XRQHj-WHZ30?t=656,https://youtu.be/XRQHj-WHZ30?t=2132,https://youtu.be/uHV-g_ZGMZk?t=10,V1per,1.0
2019.0,summer,LCS,2,OPT,CLG,OPT,CLG,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1131825?gameHash=486c73fab8a07768,https://youtu.be/ptZC8Fcrpls?t=177,https://youtu.be/ptZC8Fcrpls?t=686,https://youtu.be/ptZC8Fcrpls?t=2433,https://youtu.be/5Fp9fGYvlDQ?t=10,Crown,1.0
2019.0,summer,LCS,2,CG,GG,CG,GG,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1131837?gameHash=6a133d17a4f7bb52,https://youtu.be/jEg2DNYtrHA?t=139,https://youtu.be/jEg2DNYtrHA?t=502,https://youtu.be/jEg2DNYtrHA?t=2402,https://youtu.be/NuI1xIKlbXI?t=10,Damonte,1.0
2019.0,summer,LCS,2,CLG,TL,CLG,TL,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1132010?gameHash=5f348ce7978d0f71&tab=overview,https://youtu.be/R6YninVwLBc?t=357,https://youtu.be/R6YninVwLBc?t=823,https://youtu.be/R6YninVwLBc?t=2981,https://youtu.be/jBVXux8gXbc?t=10,Wiggily,1.0
