year,season,league_name,week,team_1,team_2,Vod,set_number
2017.0,spring,LCS_a,1,TS,EUN,http://www.youtube.com/watch?v=XXx8fkzV8SQ,1.0
2017.0,spring,LCS_a,1,,,http://www.youtube.com/watch?v=22JC2jC5U_g,2.0
2017.0,spring,LCS_a,1,DFX,TG,http://www.youtube.com/watch?v=tcklyw_wokc,1.0
2017.0,spring,LCS_a,1,,,http://www.youtube.com/watch?v=_6RKdIMs29A,2.0
2017.0,spring,LCS_a,1,BGJ,GCU,http://www.youtube.com/watch?v=wuTM1I4lFfA,1.0
2017.0,spring,LCS_a,1,,,http://www.youtube.com/watch?v=HCtlgBryUFE,2.0
2017.0,spring,LCS_a,2,BGJ,DFX,http://www.youtube.com/watch?v=fEKvoIP2wzk&t=7m27s,1.0
2017.0,spring,LCS_a,2,,,http://www.youtube.com/watch?v=7-aykECPhq8&t=2m33s,2.0
2017.0,spring,LCS_a,2,GCU,EUN,http://www.youtube.com/watch?v=xueKnoeLq5Q#t=2,1.0
2017.0,spring,LCS_a,2,,,http://www.youtube.com/watch?v=tB7eKCQvu8A&t=5m06s,2.0
2017.0,spring,LCS_a,2,TG,TS,http://www.youtube.com/watch?v=hw2_MVpgJ7M,1.0
2017.0,spring,LCS_a,2,,,http://www.youtube.com/watch?v=DmcNXB0Bh7g&t=3m49s,2.0
2017.0,spring,LCS_a,3,GCU,TS,http://www.youtube.com/watch?v=eQ7ZoWZ2GJg&t=5m58s,1.0
2017.0,spring,LCS_a,3,,,http://www.youtube.com/watch?v=1_k7fQwkBq0&t=1m41s,2.0
2017.0,spring,LCS_a,3,EUN,DFX,http://www.youtube.com/watch?v=ZaEBpcJkacY,1.0
2017.0,spring,LCS_a,3,,,http://www.youtube.com/watch?v=G1--0V-p_A0&t=3m41s,2.0
2017.0,spring,LCS_a,3,TG,BGJ,http://www.youtube.com/watch?v=L6q6AKsQjXA,1.0
2017.0,spring,LCS_a,3,,,http://www.youtube.com/watch?v=NNUjb_Gw1ao&t=2m33s,2.0
2017.0,spring,LCS_a,4,EUN,TG,http://www.youtube.com/watch?v=YxArdeC7Xvo&t=4m50s,1.0
2017.0,spring,LCS_a,4,,,http://www.youtube.com/watch?v=99kE00Ep7Oo&t=3m36s,2.0
2017.0,spring,LCS_a,4,TS,BGJ,http://www.youtube.com/watch?v=mbOaHBQFDro#t=1,1.0
2017.0,spring,LCS_a,4,,,http://www.youtube.com/watch?v=h43kfKKP52w&t=4m54s,2.0
2017.0,spring,LCS_a,4,DFX,GCU,http://www.youtube.com/watch?v=hvicN7vb0w8,1.0
2017.0,spring,LCS_a,4,,,http://www.youtube.com/watch?v=jmsiajACEMI&t=2m50s,2.0
2017.0,spring,LCS_a,5,GCU,TG,http://www.youtube.com/watch?v=pbrl9kYJFhE&t=4m17s,1.0
2017.0,spring,LCS_a,5,,,http://www.youtube.com/watch?v=PqCqjR8iwq0&t=52s,2.0
2017.0,spring,LCS_a,5,TS,DFX,http://www.youtube.com/watch?v=PyTKwVV4xNg,1.0
2017.0,spring,LCS_a,5,,,http://www.youtube.com/watch?v=ruGxxVveAkM&t=3m42s,2.0
2017.0,spring,LCS_a,5,EUN,BGJ,http://www.youtube.com/watch?v=b0ZfcUFIOrk,1.0
2017.0,spring,LCS_a,5,,,http://www.youtube.com/watch?v=6jxNiz4A0xg&t=3m32s,2.0
2017.0,spring,LCS_a,Tiebreakers,GCU,TS,http://www.youtube.com/watch?v=R098GiZSCuA&t=3m15s,1.0
