year,season,league_name,week,team_1,team_2,Vod,set_number
2017.0,summer,LCS_a,1,GCU,TS,,1.0
2017.0,summer,LCS_a,1,,,,2.0
2017.0,summer,LCS_a,1,BGJ,CLG.A,,1.0
2017.0,summer,LCS_a,1,,,,2.0
2017.0,summer,LCS_a,1,EUN,DFX,,1.0
2017.0,summer,LCS_a,1,,,,2.0
2017.0,summer,LCS_a,1,BGJ,TS,,1.0
2017.0,summer,LCS_a,1,,,,2.0
2017.0,summer,LCS_a,1,DFX,CLG.A,,1.0
2017.0,summer,LCS_a,1,,,,2.0
2017.0,summer,LCS_a,1,EUN,GCU,http://www.youtube.com/watch?v=EpJgpU6OTV4&t=10m6s,1.0
2017.0,summer,LCS_a,1,,,http://www.youtube.com/watch?v=CNva7U76IE0&t=2m27s,2.0
2017.0,summer,LCS_a,1,,,http://www.youtube.com/watch?v=y_-XdA5Vw3c&t=1m22s,3.0
2017.0,summer,LCS_a,2,GCU,BGJ,,1.0
2017.0,summer,LCS_a,2,,,,2.0
2017.0,summer,LCS_a,2,TS,DFX,,1.0
2017.0,summer,LCS_a,2,,,,2.0
2017.0,summer,LCS_a,2,CLG.A,EUN,,1.0
2017.0,summer,LCS_a,2,,,,2.0
2017.0,summer,LCS_a,2,CLG.A,GCU,,1.0
2017.0,summer,LCS_a,2,,,,2.0
2017.0,summer,LCS_a,2,,,,3.0
2017.0,summer,LCS_a,2,EUN,TS,,1.0
2017.0,summer,LCS_a,2,,,,2.0
2017.0,summer,LCS_a,2,,,,3.0
2017.0,summer,LCS_a,2,DFX,BGJ,http://www.youtube.com/watch?v=WnquzZGCo8w&t=7m26s,1.0
2017.0,summer,LCS_a,2,,,http://www.youtube.com/watch?v=SB3uSnQHtsg&t=1m05s,2.0
2017.0,summer,LCS_a,3,BGJ,DFX,,1.0
2017.0,summer,LCS_a,3,,,,2.0
2017.0,summer,LCS_a,3,TS,EUN,,1.0
2017.0,summer,LCS_a,3,,,,2.0
2017.0,summer,LCS_a,3,,,,3.0
2017.0,summer,LCS_a,3,GCU,CLG.A,,1.0
2017.0,summer,LCS_a,3,,,,2.0
2017.0,summer,LCS_a,3,DFX,EUN,http://www.youtube.com/watch?v=zFlADcUrxww,1.0
2017.0,summer,LCS_a,3,,,http://www.youtube.com/watch?v=IAL1ASaU358,2.0
2017.0,summer,LCS_a,3,,,http://www.youtube.com/watch?v=SxmJ8hJ_2BI,3.0
2017.0,summer,LCS_a,3,BGJ,GCU,,1.0
2017.0,summer,LCS_a,3,,,,2.0
2017.0,summer,LCS_a,3,,,,3.0
2017.0,summer,LCS_a,3,CLG.A,TS,http://www.youtube.com/watch?v=R449QvR-JqE&t=8m03s,1.0
2017.0,summer,LCS_a,3,,,http://www.youtube.com/watch?v=lK1adFrqJ-M&t=1m21s,2.0
2017.0,summer,LCS_a,3,,,http://www.youtube.com/watch?v=6yzqA2zCZoI&t=1m02s,3.0
2017.0,summer,LCS_a,4,GCU,DFX,,1.0
2017.0,summer,LCS_a,4,,,,2.0
2017.0,summer,LCS_a,4,TS,BGJ,,1.0
2017.0,summer,LCS_a,4,,,,2.0
2017.0,summer,LCS_a,4,EUN,CLG.A,,1.0
2017.0,summer,LCS_a,4,,,,2.0
2017.0,summer,LCS_a,4,BGJ,EUN,,1.0
2017.0,summer,LCS_a,4,,,,2.0
2017.0,summer,LCS_a,4,CLG.A,DFX,http://www.youtube.com/watch?v=c0znfkeDftE,1.0
2017.0,summer,LCS_a,4,,,http://www.youtube.com/watch?v=VbMVusZd9g0,2.0
2017.0,summer,LCS_a,4,TS,GCU,http://www.youtube.com/watch?v=keojyCyG8b8&t=4m50s,1.0
2017.0,summer,LCS_a,4,,,http://www.youtube.com/watch?v=ySmV2AXnBKo&t=1m38s,2.0
2017.0,summer,LCS_a,4,,,http://www.youtube.com/watch?v=iiSt6pm8iA4&t=54s,3.0
2017.0,summer,LCS_a,5,GCU,EUN,,1.0
2017.0,summer,LCS_a,5,,,,2.0
2017.0,summer,LCS_a,5,DFX,TS,http://www.youtube.com/watch?v=K2VynwroUiE,1.0
2017.0,summer,LCS_a,5,,,http://www.youtube.com/watch?v=7pWgO-ZUxpg,2.0
2017.0,summer,LCS_a,5,,,http://www.youtube.com/watch?v=bRcqtL42ndo,3.0
2017.0,summer,LCS_a,5,CLG.A,BGJ,,1.0
2017.0,summer,LCS_a,5,,,,2.0
2017.0,summer,LCS_a,5,TS,CLG.A,,1.0
2017.0,summer,LCS_a,5,,,,2.0
2017.0,summer,LCS_a,5,DFX,GCU,,1.0
2017.0,summer,LCS_a,5,,,,2.0
2017.0,summer,LCS_a,5,,,,3.0
2017.0,summer,LCS_a,5,EUN,BGJ,http://www.youtube.com/watch?v=IpBsyeHYmsc&t=4m58s,1.0
2017.0,summer,LCS_a,5,,,http://www.youtube.com/watch?v=7654HeLld-A&t=1m2s,2.0
