year,season,league_name,week,team_1,team_2,Blue,Red,MH,Start,PB,set_number
2018.0,spring,LCS_a,1,OPT.A,TL.A,OPT.A,TL.A,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/520798?gameHash=e3960ccbe4a4bda0,https://www.youtube.com/watch?v=oC9RRH6O204,,1.0
2018.0,spring,LCS_a,1,FLY.A,TSM.A,FLY.A,TSM.A,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT02/480036?gameHash=70083b9cc5562b52,https://www.youtube.com/watch?v=_CRPpKPJvio,,1.0
2018.0,spring,LCS_a,1,CLG.A,100.A,CLG.A,100.A,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT02/470047?gameHash=54b8909a2ac2a4b7,https://www.youtube.com/watch?v=u0ZktjWK9CQ,,1.0
2018.0,spring,LCS_a,1,GG.A,C9.A,GG.A,C9.A,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT02/480053?gameHash=7e0e709d9b1e95f9,https://www.youtube.com/watch?v=Gc06ZdUIYJ4,,1.0
2018.0,spring,LCS_a,1,FOX.A,CG.A,FOX.A,CG.A,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT02/470056?gameHash=eaff6a03ea3c5b28,https://www.youtube.com/watch?v=4MCRDVyL0yY,,1.0
2018.0,spring,LCS_a,1,TL.A,TSM.A,TL.A,TSM.A,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT02/480077?gameHash=1788154523ee6abd,https://www.youtube.com/watch?v=t--X8DdiM7o#t=16m,https://www.youtube.com/watch?v=t--X8DdiM7o#t=10m,1.0
2018.0,spring,LCS_a,1,100.A,OPT.A,100.A,OPT.A,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT02/470084?gameHash=65ba323b4c9a131a,https://www.youtube.com/watch?v=zkw31L2lVQg#t=8m,https://www.youtube.com/watch?v=zkw31L2lVQg#t=2m,1.0
2018.0,spring,LCS_a,1,CG.A,GG.A,CG.A,GG.A,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT02/480095?gameHash=c53eb16e72c82379,https://www.youtube.com/watch?v=8dyP4Shi3Ig#t=11m,https://www.youtube.com/watch?v=8dyP4Shi3Ig#t=4m,1.0
2018.0,spring,LCS_a,1,FOX.A,FLY.A,FOX.A,FLY.A,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT02/470094?gameHash=cd2f52fcea7fd196,https://www.youtube.com/watch?v=QeQiRrmSJzY#t=9m,https://www.youtube.com/watch?v=QeQiRrmSJzY#t=3m,1.0
2018.0,spring,LCS_a,1,CLG.A,C9.A,CLG.A,C9.A,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT02/480100?gameHash=1cd027ea648a3343,https://www.youtube.com/watch?v=z2FVoeV4GiI&t=10m19s,https://www.youtube.com/watch?v=z2FVoeV4GiI&t=3m16s,1.0
