year,season,league_name,week,team_1,team_2,Blue,Red,MH,PB,Start,set_number
2018.0,summer,LCS_a,1,TSM.A,CLG.A,TSM.A,CLG.A,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT02/690233?gameHash=e0231a6d5fe06d95,https://www.youtube.com/watch?v=tqx6yeQ9HUA,https://youtu.be/tqx6yeQ9HUA?t=754,1.0
2018.0,summer,LCS_a,1,TL.A,FOX.A,TL.A,FOX.A,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT02/690235?gameHash=2cb3996399ad40df,https://www.youtube.com/watch?v=-uuf4RqjhnQ,https://youtu.be/-uuf4RqjhnQ?t=749,1.0
2018.0,summer,LCS_a,1,C9.A,FLY.A,C9.A,FLY.A,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT02/690237?gameHash=395df3a15c5cf8f6,https://youtu.be/qiVMPOrBHsQ?t=6,https://youtu.be/qiVMPOrBHsQ?t=948,1.0
2018.0,summer,LCS_a,1,100.A,OPT.A,100.A,OPT.A,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT02/690249?gameHash=b2e6e3ceb4a47c00,https://youtu.be/lul6Qfs4jzY?t=10,https://youtu.be/lul6Qfs4jzY?t=872,1.0
2018.0,summer,LCS_a,1,CG.A,GG.A,CG.A,GG.A,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT02/690250?gameHash=a600d1cfeeb0590e,https://youtu.be/wFJVC8Nz5tw?t=9,https://youtu.be/wFJVC8Nz5tw?t=733,1.0
2018.0,summer,LCS_a,1,FOX.A,FLY.A,FOX.A,FLY.A,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT02/700291?gameHash=291af0bb4eae26e4&tab=overview,https://youtu.be/pAnKbSTmSYk?t=500,https://youtu.be/pAnKbSTmSYk?t=921,1.0
2018.0,summer,LCS_a,1,CLG.A,C9.A,CLG.A,C9.A,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT02/700295?gameHash=4f150810ac6d6cc8&tab=overview,https://youtu.be/8oYyNb0G_Lc?t=159,https://youtu.be/8oYyNb0G_Lc?t=541,1.0
2018.0,summer,LCS_a,1,GG.A,100.A,GG.A,100.A,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT02/700299?gameHash=5e1d31e381482a91&tab=overview,https://youtu.be/_xTC8QqFugU?t=197,https://youtu.be/_xTC8QqFugU?t=588,1.0
2018.0,summer,LCS_a,1,OPT.A,CG.A,OPT.A,CG.A,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT02/700301?gameHash=fc99c6916d680ff5&tab=overview,https://youtu.be/8s5zlPevJZk?t=153,https://youtu.be/8s5zlPevJZk?t=559,1.0
2018.0,summer,LCS_a,1,TSM.A,TL.A,TSM.A,TL.A,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT02/700303?gameHash=dc6736e2ff94b7df&tab=overview,https://youtu.be/JSMph6JWJts?t=139,https://youtu.be/JSMph6JWJts?t=462,1.0
2018.0,summer,LCS_a,2,C9.A,100.A,C9.A,100.A,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT02/720047?gameHash=18a2dca8cecf9eea&tab=overview,https://www.youtube.com/watch?v=j41pWZxSbTg,https://youtu.be/j41pWZxSbTg?t=681,1.0
2018.0,summer,LCS_a,2,OPT.A,TSM.A,OPT.A,TSM.A,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT02/710035?gameHash=fe7ad1fb071b2965&tab=overview,https://youtu.be/mXbOgIegur4?t=3,https://youtu.be/mXbOgIegur4?t=750,1.0
2018.0,summer,LCS_a,2,FLY.A,GG.A,FLY.A,GG.A,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT02/720057?gameHash=a0c5415856307754&tab=overview,https://www.youtube.com/watch?v=cExu1NojprM,https://youtu.be/cExu1NojprM?t=854,1.0
2018.0,summer,LCS_a,2,TL.A,CG.A,TL.A,CG.A,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT02/710043?gameHash=5cc4017be423d848&tab=overview,https://www.youtube.com/watch?v=QQKbvTPDqTw,https://youtu.be/QQKbvTPDqTw?t=630,1.0
2018.0,summer,LCS_a,2,CLG.A,FOX.A,CLG.A,FOX.A,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT02/720073?gameHash=77173f616dd614a7&tab=overview,https://www.youtube.com/watch?v=C8reNaRTSoE,https://youtu.be/C8reNaRTSoE?t=651,1.0
2018.0,summer,LCS_a,2,C9.A,GG.A,C9.A,GG.A,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT02/720081?gameHash=df03a29c57db9890&tab=overview,https://youtu.be/MEz1F7NZSkk?t=495,https://youtu.be/MEz1F7NZSkk?t=845,1.0
2018.0,summer,LCS_a,2,CG.A,CLG.A,CG.A,CLG.A,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT02/710069?gameHash=a82ca7aaaf1ee871&tab=overview,https://youtu.be/LrwpsCy_y8g?t=138,https://youtu.be/LrwpsCy_y8g?t=531,1.0
2018.0,summer,LCS_a,2,FLY.A,TSM.A,FLY.A,TSM.A,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT02/720085?gameHash=cc067921d386b5e2,https://youtu.be/I7Wj8s98ao0?t=141,https://youtu.be/I7Wj8s98ao0?t=515,1.0
2018.0,summer,LCS_a,2,100.A,FOX.A,100.A,FOX.A,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT02/710072?gameHash=b1f224cfd1801e08&tab=overview,https://youtu.be/08IgivCIDU0?t=150,https://youtu.be/08IgivCIDU0?t=521,1.0
2018.0,summer,LCS_a,2,TL.A,OPT.A,TL.A,OPT.A,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT02/720091?gameHash=1ed6ac6deb31d31a&tab=overview,https://youtu.be/vKC2NZBHlf4?t=135,https://youtu.be/vKC2NZBHlf4?t=445,1.0
2018.0,summer,LCS_a,3,GG.A,TSM.A,GG.A,TSM.A,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT02/720238?gameHash=d80e440b84048a51,https://www.youtube.com/watch?v=yX_0KNJH8Qg&t=5m58s,https://www.youtube.com/watch?v=yX_0KNJH8Qg&t=18m18s,1.0
2018.0,summer,LCS_a,3,TSM.A,FOX.A,TSM.A,FOX.A,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT02/720239?gameHash=50d004cd68257497&tab=overview,https://www.youtube.com/watch?v=_7uWt1_p6Wg&t=8m48s,https://www.youtube.com/watch?v=_7uWt1_p6Wg&t=21m18s,1.0
2018.0,summer,LCS_a,3,FOX.A,C9.A,FOX.A,C9.A,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT02/720241?gameHash=eaf56e23c2415fee,https://www.youtube.com/watch?v=HypV6KJ0-3Y&t=18m37s,https://www.youtube.com/watch?v=HypV6KJ0-3Y&t=29m20s,1.0
