year,season,league_name,week,team_1,team_2,Vod,set_number
2017.0,spring,LDL,1,ING,YM,http://lpl.qq.com/es/video_detail.shtml?nid=5935,1.0
2017.0,spring,LDL,1,,,http://lpl.qq.com/es/video_detail.shtml?nid=5936,2.0
2017.0,spring,LDL,1,DS,GED,http://lpl.qq.com/es/video_detail.shtml?nid=5937,1.0
2017.0,spring,LDL,1,,,http://lpl.qq.com/es/video_detail.shtml?nid=5938,2.0
2017.0,spring,LDL,1,OMD,ME,http://lpl.qq.com/es/video_detail.shtml?nid=5940,1.0
2017.0,spring,LDL,1,,,http://lpl.qq.com/es/video_detail.shtml?nid=5939,2.0
2017.0,spring,LDL,1,NON,LD,http://lpl.qq.com/es/video_detail.shtml?nid=5955,1.0
2017.0,spring,LDL,1,,,http://lpl.qq.com/es/video_detail.shtml?nid=5956,2.0
2017.0,spring,LDL,1,,,http://lpl.qq.com/es/video_detail.shtml?nid=5957,3.0
2017.0,spring,LDL,1,RYL,SN,http://lpl.qq.com/es/video_detail.shtml?nid=5958,1.0
2017.0,spring,LDL,1,,,http://lpl.qq.com/es/video_detail.shtml?nid=5959,2.0
2017.0,spring,LDL,1,,,http://lpl.qq.com/es/video_detail.shtml?nid=5966,3.0
2017.0,spring,LDL,1,DAN,SAT,http://lpl.qq.com/es/video_detail.shtml?nid=5967,1.0
2017.0,spring,LDL,1,,,http://lpl.qq.com/es/video_detail.shtml?nid=5975,2.0
2017.0,spring,LDL,1,DS,OMD,http://lpl.qq.com/es/video_detail.shtml?nid=5983,1.0
2017.0,spring,LDL,1,,,http://lpl.qq.com/es/video_detail.shtml?nid=5989,2.0
2017.0,spring,LDL,1,LD,DAN,http://lpl.qq.com/es/video_detail.shtml?nid=5992,1.0
2017.0,spring,LDL,1,,,http://lpl.qq.com/es/video_detail.shtml?nid=5993,2.0
2017.0,spring,LDL,1,,,http://lpl.qq.com/es/video_detail.shtml?nid=5991,3.0
2017.0,spring,LDL,1,NON,RYL,http://lpl.qq.com/es/video_detail.shtml?nid=5995,1.0
2017.0,spring,LDL,1,,,http://lpl.qq.com/es/video_detail.shtml?nid=6022,2.0
2017.0,spring,LDL,1,SN,GED,http://lpl.qq.com/es/video_detail.shtml?nid=6048,1.0
2017.0,spring,LDL,1,,,http://lpl.qq.com/es/video_detail.shtml?nid=6042,2.0
2017.0,spring,LDL,1,ING,ME,http://lpl.qq.com/es/video_detail.shtml?nid=6051,1.0
2017.0,spring,LDL,1,,,http://lpl.qq.com/es/video_detail.shtml?nid=6045,2.0
2017.0,spring,LDL,1,YM,SAT,http://lpl.qq.com/es/video_detail.shtml?nid=6052,1.0
2017.0,spring,LDL,1,,,http://lpl.qq.com/es/video_detail.shtml?nid=6058,2.0
2017.0,spring,LDL,1,,,http://lpl.qq.com/es/video_detail.shtml?nid=6342,3.0
2017.0,spring,LDL,2,SAT,ING,http://lpl.qq.com/es/video_detail.shtml?nid=6239,1.0
2017.0,spring,LDL,2,,,http://lpl.qq.com/es/video_detail.shtml?nid=6240,2.0
2017.0,spring,LDL,2,,,http://lpl.qq.com/es/video_detail.shtml?nid=6246,3.0
2017.0,spring,LDL,2,DAN,YM,http://lpl.qq.com/es/video_detail.shtml?nid=6247,1.0
2017.0,spring,LDL,2,,,http://lpl.qq.com/es/video_detail.shtml?nid=6263,2.0
2017.0,spring,LDL,2,,,http://lpl.qq.com/es/video_detail.shtml?nid=6252,3.0
2017.0,spring,LDL,2,RYL,LD,http://lpl.qq.com/es/video_detail.shtml?nid=6340,1.0
2017.0,spring,LDL,2,,,http://lpl.qq.com/es/video_detail.shtml?nid=6341,2.0
2017.0,spring,LDL,2,OMD,GED,http://lpl.qq.com/es/video_detail.shtml?nid=6258,1.0
2017.0,spring,LDL,2,,,http://lpl.qq.com/es/video_detail.shtml?nid=6261,2.0
2017.0,spring,LDL,2,ME,DS,http://lpl.qq.com/es/video_detail.shtml?nid=6262,1.0
2017.0,spring,LDL,2,,,http://lpl.qq.com/es/video_detail.shtml?nid=6269,2.0
2017.0,spring,LDL,2,NON,SN,http://lpl.qq.com/es/video_detail.shtml?nid=6266,1.0
2017.0,spring,LDL,2,,,http://lpl.qq.com/es/video_detail.shtml?nid=6268,2.0
2017.0,spring,LDL,2,ING,DAN,http://lpl.qq.com/es/video_detail.shtml?nid=6304,1.0
2017.0,spring,LDL,2,,,http://lpl.qq.com/es/video_detail.shtml?nid=6305,2.0
2017.0,spring,LDL,2,LD,SAT,http://lpl.qq.com/es/video_detail.shtml?nid=6306,1.0
2017.0,spring,LDL,2,,,http://lpl.qq.com/es/video_detail.shtml?nid=6307,2.0
2017.0,spring,LDL,2,YM,RYL,http://lpl.qq.com/es/video_detail.shtml?nid=6308,1.0
2017.0,spring,LDL,2,,,http://lpl.qq.com/es/video_detail.shtml?nid=6311,2.0
2017.0,spring,LDL,2,,,http://lpl.qq.com/es/video_detail.shtml?nid=6315,3.0
2017.0,spring,LDL,2,DS,NON,http://lpl.qq.com/es/video_detail.shtml?nid=6338,1.0
2017.0,spring,LDL,2,,,http://lpl.qq.com/es/video_detail.shtml?nid=6339,2.0
2017.0,spring,LDL,2,SN,OMD,,1.0
2017.0,spring,LDL,2,,,http://lpl.qq.com/es/video_detail.shtml?nid=6351,2.0
2017.0,spring,LDL,2,,,http://lpl.qq.com/es/video_detail.shtml?nid=6351,3.0
2017.0,spring,LDL,2,GED,ME,http://lpl.qq.com/es/video_detail.shtml?nid=6357,1.0
2017.0,spring,LDL,2,,,http://lpl.qq.com/es/video_detail.shtml?nid=6358,2.0
2017.0,spring,LDL,2,,,http://lpl.qq.com/es/video_detail.shtml?nid=6399,3.0
2017.0,spring,LDL,3,SN,ING,http://lpl.qq.com/es/video_detail.shtml?nid=6455,1.0
2017.0,spring,LDL,3,,,http://lpl.qq.com/es/video_detail.shtml?nid=6456,2.0
2017.0,spring,LDL,3,GED,LD,http://lpl.qq.com/es/video_detail.shtml?nid=6457,1.0
2017.0,spring,LDL,3,,,http://lpl.qq.com/es/video_detail.shtml?nid=6458,2.0
2017.0,spring,LDL,3,,,http://lpl.qq.com/es/video_detail.shtml?nid=6459,3.0
2017.0,spring,LDL,3,DS,YM,http://lpl.qq.com/es/video_detail.shtml?nid=6463,1.0
2017.0,spring,LDL,3,,,http://lpl.qq.com/es/video_detail.shtml?nid=6460,2.0
2017.0,spring,LDL,3,,,http://lpl.qq.com/es/video_detail.shtml?nid=6461,3.0
2017.0,spring,LDL,3,NON,SAT,http://lpl.qq.com/es/video_detail.shtml?nid=6471,1.0
2017.0,spring,LDL,3,,,http://lpl.qq.com/es/video_detail.shtml?nid=6478,2.0
2017.0,spring,LDL,3,,,http://lpl.qq.com/es/video_detail.shtml?nid=6479,3.0
2017.0,spring,LDL,3,OMD,RYL,http://lpl.qq.com/es/video_detail.shtml?nid=6480,1.0
2017.0,spring,LDL,3,,,http://lpl.qq.com/es/video_detail.shtml?nid=6485,2.0
2017.0,spring,LDL,3,ME,DAN,http://lpl.qq.com/es/video_detail.shtml?nid=6488,1.0
2017.0,spring,LDL,3,,,http://lpl.qq.com/es/video_detail.shtml?nid=6489,2.0
2017.0,spring,LDL,3,YM,GED,http://lpl.qq.com/es/video_detail.shtml?nid=6512,1.0
2017.0,spring,LDL,3,,,http://lpl.qq.com/es/video_detail.shtml?nid=6513,2.0
2017.0,spring,LDL,3,ING,DS,http://lpl.qq.com/es/video_detail.shtml?nid=6514,1.0
2017.0,spring,LDL,3,,,http://lpl.qq.com/es/video_detail.shtml?nid=6524,2.0
2017.0,spring,LDL,3,,,http://lpl.qq.com/es/video_detail.shtml?nid=6525,3.0
2017.0,spring,LDL,3,LD,SN,http://lpl.qq.com/es/video_detail.shtml?nid=6531,1.0
2017.0,spring,LDL,3,,,http://lpl.qq.com/es/video_detail.shtml?nid=6533,2.0
2017.0,spring,LDL,3,,,http://lpl.qq.com/es/video_detail.shtml?nid=6534,3.0
2017.0,spring,LDL,3,RYL,ME,http://lpl.qq.com/es/video_detail.shtml?nid=6546,1.0
2017.0,spring,LDL,3,,,http://lpl.qq.com/es/video_detail.shtml?nid=6549,2.0
2017.0,spring,LDL,3,DAN,NON,http://lpl.qq.com/es/video_detail.shtml?nid=6551,1.0
2017.0,spring,LDL,3,,,http://lpl.qq.com/es/video_detail.shtml?nid=6554,2.0
2017.0,spring,LDL,3,,,http://lpl.qq.com/es/video_detail.shtml?nid=6555,3.0
2017.0,spring,LDL,3,SAT,OMD,http://lpl.qq.com/es/video_detail.shtml?nid=6559,1.0
2017.0,spring,LDL,3,,,http://lpl.qq.com/es/video_detail.shtml?nid=6561,2.0
2017.0,spring,LDL,4,DAN,LD,http://lpl.qq.com/es/video_detail.shtml?nid=6635,1.0
2017.0,spring,LDL,4,,,http://lpl.qq.com/es/video_detail.shtml?nid=6636,2.0
2017.0,spring,LDL,4,ME,NON,http://lpl.qq.com/es/video_detail.shtml?nid=6637,1.0
2017.0,spring,LDL,4,,,http://lpl.qq.com/es/video_detail.shtml?nid=6638,2.0
2017.0,spring,LDL,4,SN,DS,http://lpl.qq.com/es/video_detail.shtml?nid=6639,1.0
2017.0,spring,LDL,4,,,http://lpl.qq.com/es/video_detail.shtml?nid=6640,2.0
2017.0,spring,LDL,4,SAT,RYL,http://lpl.qq.com/es/video_detail.shtml?nid=6641,1.0
2017.0,spring,LDL,4,,,http://lpl.qq.com/es/video_detail.shtml?nid=6642,2.0
2017.0,spring,LDL,4,OMD,DS,http://lpl.qq.com/es/video_detail.shtml?nid=6656,1.0
2017.0,spring,LDL,4,,,http://lpl.qq.com/es/video_detail.shtml?nid=6657,2.0
2017.0,spring,LDL,4,GED,RYL,http://lpl.qq.com/es/video_detail.shtml?nid=6658,1.0
2017.0,spring,LDL,4,,,http://lpl.qq.com/es/video_detail.shtml?nid=6659,2.0
2017.0,spring,LDL,4,ING,NON,http://lpl.qq.com/es/video_detail.shtml?nid=6660,1.0
2017.0,spring,LDL,4,,,http://lpl.qq.com/es/video_detail.shtml?nid=6661,2.0
2017.0,spring,LDL,4,,,http://lpl.qq.com/es/video_detail.shtml?nid=6662,3.0
2017.0,spring,LDL,4,YM,ME,http://lpl.qq.com/es/video_detail.shtml?nid=6663,1.0
2017.0,spring,LDL,4,,,http://lpl.qq.com/es/video_detail.shtml?nid=6664,2.0
2017.0,spring,LDL,4,SAT,YM,http://lpl.qq.com/es/video_detail.shtml?nid=6676,1.0
2017.0,spring,LDL,4,,,http://lpl.qq.com/es/video_detail.shtml?nid=6677,2.0
2017.0,spring,LDL,4,,,http://lpl.qq.com/es/video_detail.shtml?nid=6678,3.0
2017.0,spring,LDL,4,ME,LD,http://lpl.qq.com/es/video_detail.shtml?nid=6679,1.0
2017.0,spring,LDL,4,,,http://lpl.qq.com/es/video_detail.shtml?nid=6680,2.0
2017.0,spring,LDL,4,,,http://lpl.qq.com/es/video_detail.shtml?nid=6681,3.0
2017.0,spring,LDL,4,RYL,DS,http://lpl.qq.com/es/video_detail.shtml?nid=6682,1.0
2017.0,spring,LDL,4,,,http://lpl.qq.com/es/video_detail.shtml?nid=6683,2.0
2017.0,spring,LDL,4,,,http://lpl.qq.com/es/video_detail.shtml?nid=6684,3.0
2017.0,spring,LDL,4,GED,DAN,http://lpl.qq.com/es/video_detail.shtml?nid=6685,1.0
2017.0,spring,LDL,4,,,http://lpl.qq.com/es/video_detail.shtml?nid=6694,2.0
2017.0,spring,LDL,4,ME,ING,http://lpl.qq.com/es/video_detail.shtml?nid=6699,1.0
2017.0,spring,LDL,4,,,http://lpl.qq.com/es/video_detail.shtml?nid=6700,2.0
2017.0,spring,LDL,4,LD,OMD,http://lpl.qq.com/es/video_detail.shtml?nid=6697,1.0
2017.0,spring,LDL,4,,,http://lpl.qq.com/es/video_detail.shtml?nid=6698,2.0
2017.0,spring,LDL,4,NON,YM,http://lpl.qq.com/es/video_detail.shtml?nid=6696,1.0
2017.0,spring,LDL,4,,,http://lpl.qq.com/es/video_detail.shtml?nid=6701,2.0
2017.0,spring,LDL,4,SN,SAT,http://lpl.qq.com/es/video_detail.shtml?nid=6702,1.0
2017.0,spring,LDL,4,,,http://lpl.qq.com/es/video_detail.shtml?nid=6703,2.0
2017.0,spring,LDL,4,RYL,NON,http://lpl.qq.com/es/video_detail.shtml?nid=6705,1.0
2017.0,spring,LDL,4,,,http://lpl.qq.com/es/video_detail.shtml?nid=6706,2.0
2017.0,spring,LDL,4,,,http://lpl.qq.com/es/video_detail.shtml?nid=6707,3.0
2017.0,spring,LDL,4,DAN,SN,http://lpl.qq.com/es/video_detail.shtml?nid=6713,1.0
2017.0,spring,LDL,4,,,http://lpl.qq.com/es/video_detail.shtml?nid=6714,2.0
2017.0,spring,LDL,4,SAT,GED,http://lpl.qq.com/es/video_detail.shtml?nid=6715,1.0
2017.0,spring,LDL,4,,,http://lpl.qq.com/es/video_detail.shtml?nid=6716,2.0
2017.0,spring,LDL,4,,,http://lpl.qq.com/es/video_detail.shtml?nid=6717,3.0
2017.0,spring,LDL,4,OMD,ING,http://lpl.qq.com/es/video_detail.shtml?nid=6718,1.0
2017.0,spring,LDL,4,,,http://lpl.qq.com/es/video_detail.shtml?nid=6719,2.0
2017.0,spring,LDL,4,,,http://lpl.qq.com/es/video_detail.shtml?nid=6721,3.0
2017.0,spring,LDL,4,GED,SN,http://lpl.qq.com/es/video_detail.shtml?nid=6722,1.0
2017.0,spring,LDL,4,,,http://lpl.qq.com/es/video_detail.shtml?nid=6723,2.0
2017.0,spring,LDL,4,DS,DAN,http://lpl.qq.com/es/video_detail.shtml?nid=6724,1.0
2017.0,spring,LDL,4,,,http://lpl.qq.com/es/video_detail.shtml?nid=6726,2.0
2017.0,spring,LDL,4,,,http://lpl.qq.com/es/video_detail.shtml?nid=6732,3.0
2017.0,spring,LDL,4,YM,OMD,http://lpl.qq.com/es/video_detail.shtml?nid=6734,1.0
2017.0,spring,LDL,4,,,http://lpl.qq.com/es/video_detail.shtml?nid=6735,2.0
2017.0,spring,LDL,4,,,http://lpl.qq.com/es/video_detail.shtml?nid=6737,3.0
2017.0,spring,LDL,4,LD,ING,http://lpl.qq.com/es/video_detail.shtml?nid=6738,1.0
2017.0,spring,LDL,4,,,http://lpl.qq.com/es/video_detail.shtml?nid=6748,2.0
2017.0,spring,LDL,5,GED,ING,http://lpl.qq.com/es/video_detail.shtml?nid=6759,1.0
2017.0,spring,LDL,5,,,http://lpl.qq.com/es/video_detail.shtml?nid=6760,2.0
2017.0,spring,LDL,5,,,http://lpl.qq.com/es/video_detail.shtml?nid=6761,3.0
2017.0,spring,LDL,5,OMD,NON,http://lpl.qq.com/es/video_detail.shtml?nid=6762,1.0
2017.0,spring,LDL,5,,,http://lpl.qq.com/es/video_detail.shtml?nid=6764,2.0
2017.0,spring,LDL,5,RYL,DAN,http://lpl.qq.com/es/video_detail.shtml?nid=6763,1.0
2017.0,spring,LDL,5,,,http://lpl.qq.com/es/video_detail.shtml?nid=6765,2.0
2017.0,spring,LDL,5,,,http://lpl.qq.com/es/video_detail.shtml?nid=6770,3.0
2017.0,spring,LDL,5,DS,SAT,http://lpl.qq.com/es/video_detail.shtml?nid=6777,1.0
2017.0,spring,LDL,5,,,http://lpl.qq.com/es/video_detail.shtml?nid=6778,2.0
2017.0,spring,LDL,5,,,http://lpl.qq.com/es/video_detail.shtml?nid=6779,3.0
2017.0,spring,LDL,5,YM,LD,http://lpl.qq.com/es/video_detail.shtml?nid=6780,1.0
2017.0,spring,LDL,5,,,http://lpl.qq.com/es/video_detail.shtml?nid=6781,2.0
2017.0,spring,LDL,5,ME,SN,http://lpl.qq.com/es/video_detail.shtml?nid=6782,1.0
2017.0,spring,LDL,5,,,http://lpl.qq.com/es/video_detail.shtml?nid=6785,2.0
2017.0,spring,LDL,5,DAN,OMD,http://lpl.qq.com/es/video_detail.shtml?nid=6791,1.0
2017.0,spring,LDL,5,,,http://lpl.qq.com/es/video_detail.shtml?nid=6792,2.0
2017.0,spring,LDL,5,,,http://lpl.qq.com/es/video_detail.shtml?nid=6793,3.0
2017.0,spring,LDL,5,ING,RYL,http://lpl.qq.com/es/video_detail.shtml?nid=6794,1.0
2017.0,spring,LDL,5,,,http://lpl.qq.com/es/video_detail.shtml?nid=6796,2.0
2017.0,spring,LDL,5,NON,GED,http://lpl.qq.com/es/video_detail.shtml?nid=6798,1.0
2017.0,spring,LDL,5,,,http://lpl.qq.com/es/video_detail.shtml?nid=6815,2.0
2017.0,spring,LDL,5,SAT,ME,http://lpl.qq.com/es/video_detail.shtml?nid=6830,1.0
2017.0,spring,LDL,5,,,http://lpl.qq.com/es/video_detail.shtml?nid=6831,2.0
2017.0,spring,LDL,5,SN,YM,http://lpl.qq.com/es/video_detail.shtml?nid=6832,1.0
2017.0,spring,LDL,5,,,http://lpl.qq.com/es/video_detail.shtml?nid=6833,2.0
2017.0,spring,LDL,5,,,http://lpl.qq.com/es/video_detail.shtml?nid=6835,3.0
2017.0,spring,LDL,5,LD,DS,http://lpl.qq.com/es/video_detail.shtml?nid=6839,1.0
2017.0,spring,LDL,5,,,http://lpl.qq.com/es/video_detail.shtml?nid=6860,2.0
2017.0,spring,LDL,6,ING,SAT,http://lpl.qq.com/es/video_detail.shtml?nid=6944,1.0
2017.0,spring,LDL,6,,,http://lpl.qq.com/es/video_detail.shtml?nid=6945,2.0
2017.0,spring,LDL,6,LD,RYL,http://lpl.qq.com/es/video_detail.shtml?nid=6946,1.0
2017.0,spring,LDL,6,,,http://lpl.qq.com/es/video_detail.shtml?nid=6947,2.0
2017.0,spring,LDL,6,YM,DAN,http://lpl.qq.com/es/video_detail.shtml?nid=6948,1.0
2017.0,spring,LDL,6,,,http://lpl.qq.com/es/video_detail.shtml?nid=6949,2.0
2017.0,spring,LDL,6,,,http://lpl.qq.com/es/video_detail.shtml?nid=6963,3.0
2017.0,spring,LDL,6,DS,ME,http://lpl.qq.com/es/video_detail.shtml?nid=6965,1.0
