year,season,league_name,week,team_1,team_2,Vod,set_number
2017.0,summer,LDL,1,TF,YG,http://lpl.qq.com/es/video_detail.shtml?nid=9543,1.0
2017.0,summer,LDL,1,,,http://lpl.qq.com/es/video_detail.shtml?nid=9544,2.0
2017.0,summer,LDL,1,VG,YM,http://lpl.qq.com/es/video_detail.shtml?nid=9560,1.0
2017.0,summer,LDL,1,,,http://lpl.qq.com/es/video_detail.shtml?nid=9561,2.0
2017.0,summer,LDL,1,,,http://lpl.qq.com/es/video_detail.shtml?nid=9562,3.0
2017.0,summer,LDL,1,RYL,LD,http://lpl.qq.com/es/video_detail.shtml?nid=9563,1.0
2017.0,summer,LDL,1,,,,2.0
2017.0,summer,LDL,1,OMD,MSC,http://lpl.qq.com/es/video_detail.shtml?nid=9596,1.0
2017.0,summer,LDL,1,,,http://lpl.qq.com/es/video_detail.shtml?nid=9597,2.0
2017.0,summer,LDL,1,TH,DS,http://lpl.qq.com/es/video_detail.shtml?nid=9598,1.0
2017.0,summer,LDL,1,,,http://lpl.qq.com/es/video_detail.shtml?nid=9599,2.0
2017.0,summer,LDL,1,JDM,GT,http://lpl.qq.com/es/video_detail.shtml?nid=9602,1.0
2017.0,summer,LDL,1,,,http://lpl.qq.com/es/video_detail.shtml?nid=9603,2.0
2017.0,summer,LDL,1,YG,VG,http://lpl.qq.com/es/video_detail.shtml?nid=9640,1.0
2017.0,summer,LDL,1,,,http://lpl.qq.com/es/video_detail.shtml?nid=9641,2.0
2017.0,summer,LDL,1,LD,TF,http://lpl.qq.com/es/video_detail.shtml?nid=9642,1.0
2017.0,summer,LDL,1,,,http://lpl.qq.com/es/video_detail.shtml?nid=9658,2.0
2017.0,summer,LDL,1,YM,RYL,http://lpl.qq.com/es/video_detail.shtml?nid=9681,1.0
2017.0,summer,LDL,1,,,http://lpl.qq.com/es/video_detail.shtml?nid=9682,2.0
2017.0,summer,LDL,1,DS,JDM,http://lpl.qq.com/es/video_detail.shtml?nid=9723,1.0
2017.0,summer,LDL,1,,,http://lpl.qq.com/es/video_detail.shtml?nid=9724,2.0
2017.0,summer,LDL,1,GT,OMD,http://lpl.qq.com/es/video_detail.shtml?nid=9732,1.0
2017.0,summer,LDL,1,,,http://lpl.qq.com/es/video_detail.shtml?nid=9741,2.0
2017.0,summer,LDL,1,MSC,TH,http://lpl.qq.com/es/video_detail.shtml?nid=9743,1.0
2017.0,summer,LDL,1,,,http://lpl.qq.com/es/video_detail.shtml?nid=9746,2.0
2017.0,summer,LDL,1,,,http://lpl.qq.com/es/video_detail.shtml?nid=9767,3.0
2017.0,summer,LDL,2,GT,YG,http://lpl.qq.com/es/video_detail.shtml?nid=9947,1.0
2017.0,summer,LDL,2,,,http://lpl.qq.com/es/video_detail.shtml?nid=9954,2.0
2017.0,summer,LDL,2,,,http://lpl.qq.com/es/video_detail.shtml?nid=9962,3.0
2017.0,summer,LDL,2,MSC,LD,http://lpl.qq.com/es/video_detail.shtml?nid=9965,1.0
2017.0,summer,LDL,2,,,http://lpl.qq.com/es/video_detail.shtml?nid=9965,2.0
2017.0,summer,LDL,2,DS,YM,http://lpl.qq.com/es/video_detail.shtml?nid=9967,1.0
2017.0,summer,LDL,2,,,http://lpl.qq.com/es/video_detail.shtml?nid=9968,2.0
2017.0,summer,LDL,2,JDM,TF,http://lpl.qq.com/es/video_detail.shtml?nid=9991,1.0
2017.0,summer,LDL,2,,,http://lpl.qq.com/es/video_detail.shtml?nid=9992,2.0
2017.0,summer,LDL,2,,,http://lpl.qq.com/es/video_detail.shtml?nid=10001,3.0
2017.0,summer,LDL,2,OMD,RYL,http://lpl.qq.com/es/video_detail.shtml?nid=10002,1.0
2017.0,summer,LDL,2,,,http://lpl.qq.com/es/video_detail.shtml?nid=10003,2.0
2017.0,summer,LDL,2,,,,3.0
2017.0,summer,LDL,2,TH,VG,http://lpl.qq.com/es/video_detail.shtml?nid=10005,1.0
2017.0,summer,LDL,2,,,http://lpl.qq.com/es/video_detail.shtml?nid=10006,2.0
2017.0,summer,LDL,2,,,http://lpl.qq.com/es/video_detail.shtml?nid=10029,3.0
2017.0,summer,LDL,2,YM,MSC,http://lpl.qq.com/es/video_detail.shtml?nid=10032,1.0
2017.0,summer,LDL,2,,,http://lpl.qq.com/es/video_detail.shtml?nid=10034,2.0
2017.0,summer,LDL,2,YG,DS,http://lpl.qq.com/es/video_detail.shtml?nid=10035,1.0
2017.0,summer,LDL,2,,,http://lpl.qq.com/es/video_detail.shtml?nid=10057,2.0
2017.0,summer,LDL,2,LD,GT,http://lpl.qq.com/es/video_detail.shtml?nid=10063,1.0
2017.0,summer,LDL,2,,,,2.0
2017.0,summer,LDL,2,,,,3.0
2017.0,summer,LDL,2,RYL,TH,http://lpl.qq.com/es/video_detail.shtml?nid=10094,1.0
2017.0,summer,LDL,2,,,http://lpl.qq.com/es/video_detail.shtml?nid=10096,2.0
2017.0,summer,LDL,2,VG,JDM,,1.0
2017.0,summer,LDL,2,,,http://lpl.qq.com/es/video_detail.shtml?nid=10119,2.0
2017.0,summer,LDL,2,TF,OMD,http://lpl.qq.com/es/video_detail.shtml?nid=10121,1.0
2017.0,summer,LDL,2,,,http://lpl.qq.com/es/video_detail.shtml?nid=10130,2.0
2017.0,summer,LDL,3,OMD,JDM,http://lpl.qq.com/es/video_detail.shtml?nid=10333,1.0
2017.0,summer,LDL,3,,,http://lpl.qq.com/es/video_detail.shtml?nid=10334,2.0
2017.0,summer,LDL,3,MSC,YG,http://lpl.qq.com/es/video_detail.shtml?nid=10335,1.0
2017.0,summer,LDL,3,,,http://lpl.qq.com/es/video_detail.shtml?nid=10336,2.0
2017.0,summer,LDL,3,RYL,VG,http://lpl.qq.com/es/video_detail.shtml?nid=10340,1.0
2017.0,summer,LDL,3,,,http://lpl.qq.com/es/video_detail.shtml?nid=10341,2.0
2017.0,summer,LDL,3,DS,TF,http://lpl.qq.com/es/video_detail.shtml?nid=10361,1.0
2017.0,summer,LDL,3,,,http://lpl.qq.com/es/video_detail.shtml?nid=10376,2.0
2017.0,summer,LDL,3,,,http://lpl.qq.com/es/video_detail.shtml?nid=10377,3.0
2017.0,summer,LDL,3,YM,LD,http://lpl.qq.com/es/video_detail.shtml?nid=10378,1.0
2017.0,summer,LDL,3,,,http://lpl.qq.com/es/video_detail.shtml?nid=10379,2.0
2017.0,summer,LDL,3,,,http://lpl.qq.com/es/video_detail.shtml?nid=10380,3.0
2017.0,summer,LDL,3,TH,GT,http://lpl.qq.com/es/video_detail.shtml?nid=10384,1.0
2017.0,summer,LDL,3,,,http://lpl.qq.com/es/video_detail.shtml?nid=10385,2.0
2017.0,summer,LDL,3,VG,OMD,http://lpl.qq.com/es/video_detail.shtml?nid=10415,1.0
2017.0,summer,LDL,3,,,http://lpl.qq.com/es/video_detail.shtml?nid=10416,2.0
2017.0,summer,LDL,3,YG,RYL,http://lpl.qq.com/es/video_detail.shtml?nid=10417,1.0
2017.0,summer,LDL,3,,,http://lpl.qq.com/es/video_detail.shtml?nid=10418,2.0
2017.0,summer,LDL,3,,,http://lpl.qq.com/es/video_detail.shtml?nid=10426,3.0
2017.0,summer,LDL,3,JDM,MSC,http://lpl.qq.com/es/video_detail.shtml?nid=10433,1.0
2017.0,summer,LDL,3,,,http://lpl.qq.com/es/video_detail.shtml?nid=10450,2.0
2017.0,summer,LDL,3,TF,TH,http://lpl.qq.com/es/video_detail.shtml?nid=10474,1.0
2017.0,summer,LDL,3,,,http://lpl.qq.com/es/video_detail.shtml?nid=10477,2.0
2017.0,summer,LDL,3,GT,YM,http://lpl.qq.com/es/video_detail.shtml?nid=10484,1.0
2017.0,summer,LDL,3,,,http://lpl.qq.com/es/video_detail.shtml?nid=10485,2.0
2017.0,summer,LDL,3,,,http://lpl.qq.com/es/video_detail.shtml?nid=10498,3.0
2017.0,summer,LDL,3,LD,DS,http://lpl.qq.com/es/video_detail.shtml?nid=10511,1.0
2017.0,summer,LDL,3,,,http://lpl.qq.com/es/video_detail.shtml?nid=10512,2.0
2017.0,summer,LDL,4,YG,TF,http://lpl.qq.com/es/video_detail.shtml?nid=10745,1.0
2017.0,summer,LDL,4,,,http://lpl.qq.com/es/video_detail.shtml?nid=10746,2.0
2017.0,summer,LDL,4,LD,RYL,http://lpl.qq.com/es/video_detail.shtml?nid=10747,1.0
2017.0,summer,LDL,4,,,http://lpl.qq.com/es/video_detail.shtml?nid=10771,2.0
2017.0,summer,LDL,4,,,http://lpl.qq.com/es/video_detail.shtml?nid=10772,3.0
2017.0,summer,LDL,4,YM,VG,http://lpl.qq.com/es/video_detail.shtml?nid=10773,1.0
2017.0,summer,LDL,4,,,http://lpl.qq.com/es/video_detail.shtml?nid=10774,2.0
2017.0,summer,LDL,4,DS,TH,http://lpl.qq.com/es/video_detail.shtml?nid=10802,1.0
2017.0,summer,LDL,4,,,http://lpl.qq.com/es/video_detail.shtml?nid=10803,2.0
2017.0,summer,LDL,4,MSC,OMD,http://lpl.qq.com/es/video_detail.shtml?nid=10804,1.0
2017.0,summer,LDL,4,,,http://lpl.qq.com/es/video_detail.shtml?nid=10810,2.0
2017.0,summer,LDL,4,GT,JDM,http://lpl.qq.com/es/video_detail.shtml?nid=10811,1.0
2017.0,summer,LDL,4,,,http://lpl.qq.com/es/video_detail.shtml?nid=10812,2.0
2017.0,summer,LDL,4,RYL,YM,http://lpl.qq.com/es/video_detail.shtml?nid=10841,1.0
2017.0,summer,LDL,4,,,http://lpl.qq.com/es/video_detail.shtml?nid=10842,2.0
2017.0,summer,LDL,4,VG,YG,http://lpl.qq.com/es/video_detail.shtml?nid=10871,1.0
2017.0,summer,LDL,4,,,http://lpl.qq.com/es/video_detail.shtml?nid=10872,2.0
2017.0,summer,LDL,4,TF,LD,http://lpl.qq.com/es/video_detail.shtml?nid=10874,1.0
2017.0,summer,LDL,4,,,http://lpl.qq.com/es/video_detail.shtml?nid=10899,2.0
2017.0,summer,LDL,4,TH,MSC,http://lpl.qq.com/es/video_detail.shtml?nid=10910,1.0
2017.0,summer,LDL,4,,,http://lpl.qq.com/es/video_detail.shtml?nid=10911,2.0
2017.0,summer,LDL,4,JDM,DS,http://lpl.qq.com/es/video_detail.shtml?nid=10923,1.0
