year,season,league_name,week,team_1,team_2,Blue,Red,MH,PB,Start,MVP,set_number
2019.0,spring,LDL,1,SNS,FPB,FPB,SNS,https://lpl.qq.com/es/stats.shtml?bmid=4484,https://v.qq.com/x/page/r0842qismm1.html,https://v.qq.com/x/page/r0842qismm1.html?start=360,Cepted,1.0
2019.0,spring,LDL,1,,,SNS,FPB,https://lpl.qq.com/es/stats.shtml?bmid=4484,https://v.qq.com/x/page/g0842iy22kx.html,https://v.qq.com/x/page/g0842iy22kx.html?start=422,View,2.0
2019.0,spring,LDL,1,,,FPB,SNS,https://lpl.qq.com/es/stats.shtml?bmid=4484,https://v.qq.com/x/page/a0842lhmxus.html,https://v.qq.com/x/page/a0842lhmxus.html?start=416,April,3.0
2019.0,spring,LDL,1,BLGJ,87,87,BLGJ,https://lpl.qq.com/es/stats.shtml?bmid=4485,https://v.qq.com/x/page/j0842vk7kxq.html,https://v.qq.com/x/page/j0842vk7kxq.html?start=502,Moonlight,1.0
2019.0,spring,LDL,1,,,BLGJ,87,https://lpl.qq.com/es/stats.shtml?bmid=4485,https://v.qq.com/x/page/n0842e99kg5.html,https://v.qq.com/x/page/n0842e99kg5.html?start=404,M1anhua,2.0
2019.0,spring,LDL,1,KOF,LGE,KOF,LGE,https://lpl.qq.com/es/stats.shtml?bmid=4486,https://v.qq.com/x/page/q08421j3uhb.html,https://v.qq.com/x/page/q08421j3uhb.html?start=448,Captain,1.0
2019.0,spring,LDL,1,,,LGE,KOF,https://lpl.qq.com/es/stats.shtml?bmid=4486,https://v.qq.com/x/page/q0842zk9ll1.html,https://v.qq.com/x/page/q0842zk9ll1.html?start=434,AK,2.0
2019.0,spring,LDL,1,,,KOF,LGE,https://lpl.qq.com/es/stats.shtml?bmid=4486,https://v.qq.com/x/page/v0842ba7gc5.html,https://v.qq.com/x/page/v0842ba7gc5.html?start=316,,3.0
2019.0,spring,LDL,1,EDGY,TSG,TSG,EDGY,https://lpl.qq.com/es/stats.shtml?bmid=4487,https://v.qq.com/x/page/o08420o6i8x.html,https://v.qq.com/x/page/o08420o6i8x.html?start=362,,1.0
2019.0,spring,LDL,1,,,EDGY,TSG,https://lpl.qq.com/es/stats.shtml?bmid=4487,https://v.qq.com/x/page/k08422608ic.html,https://v.qq.com/x/page/k08422608ic.html?start=466,,2.0
2019.0,spring,LDL,1,RWS,UP,RWS,UP,https://lpl.qq.com/es/stats.shtml?bmid=4488,https://v.qq.com/x/page/e0842jjs6b7.html,https://v.qq.com/x/page/e0842jjs6b7.html?start=384,Zhanzhao,1.0
2019.0,spring,LDL,1,,,UP,RWS,https://lpl.qq.com/es/stats.shtml?bmid=4488,https://v.qq.com/x/page/j0842thpexm.html,https://v.qq.com/x/page/j0842thpexm.html?start=410,Roysen,2.0
2019.0,spring,LDL,1,,,RWS,UP,https://lpl.qq.com/es/stats.shtml?bmid=4488,https://v.qq.com/x/page/w0842rg2443.html,https://v.qq.com/x/page/w0842rg2443.html?start=812,,3.0
2019.0,spring,LDL,1,SDP,LEG,SDP,LEG,https://lpl.qq.com/es/stats.shtml?bmid=4489,https://v.qq.com/x/page/z0842s5flvs.html,https://v.qq.com/x/page/z0842s5flvs.html?start=458,,1.0
2019.0,spring,LDL,1,,,SDP,LEG,https://lpl.qq.com/es/stats.shtml?bmid=4489,https://v.qq.com/x/page/j0842lgpsu2.html,https://v.qq.com/x/page/j0842lgpsu2.html?start=354,,2.0
2019.0,spring,LDL,1,IGY,OMD,OMD,IGY,https://lpl.qq.com/es/stats.shtml?bmid=4490,https://v.qq.com/x/page/l0842fina10.html,https://v.qq.com/x/page/l0842fina10.html?start=394,Curse,1.0
2019.0,spring,LDL,1,,,IGY,OMD,https://lpl.qq.com/es/stats.shtml?bmid=4490,https://v.qq.com/x/page/h084212i28g.html,https://v.qq.com/x/page/h084212i28g.html?start=764,xin,2.0
2019.0,spring,LDL,1,,,IGY,OMD,https://lpl.qq.com/es/stats.shtml?bmid=4490,https://v.qq.com/x/page/d0842r22gvr.html,https://v.qq.com/x/page/d0842r22gvr.html?start=441,xin,3.0
2019.0,spring,LDL,1,SNS,SDX,SDX,SNS,https://lpl.qq.com/es/stats.shtml?bmid=4491,https://v.qq.com/x/page/z0842bu4rgg.html,https://v.qq.com/x/page/z0842bu4rgg.html?start=565,ShaDow,1.0
2019.0,spring,LDL,1,,,SNS,SDX,https://lpl.qq.com/es/stats.shtml?bmid=4491,https://v.qq.com/x/page/c0842k0xvk0.html,https://v.qq.com/x/page/c0842k0xvk0.html?start=402,L1n,2.0
2019.0,spring,LDL,1,FPB,YM,FPB,YM,https://lpl.qq.com/es/stats.shtml?bmid=4492,https://v.qq.com/x/page/o0842w9fwad.html,https://v.qq.com/x/page/o0842w9fwad.html?start=385,Cepted,1.0
2019.0,spring,LDL,1,,,FPB,YM,https://lpl.qq.com/es/stats.shtml?bmid=4492,https://v.qq.com/x/page/l08423ccv69.html,https://v.qq.com/x/page/l08423ccv69.html?start=408,Cepted,2.0
2019.0,spring,LDL,1,WEA,SG,WEA,SG,https://lpl.qq.com/es/stats.shtml?bmid=4493,https://v.qq.com/x/page/f0842eshms2.html,https://v.qq.com/x/page/f0842eshms2.html?start=164,CH1rry,1.0
2019.0,spring,LDL,1,,,SG,WEA,https://lpl.qq.com/es/stats.shtml?bmid=4493,https://v.qq.com/x/page/x0842gxj9fl.html,https://v.qq.com/x/page/x0842gxj9fl.html?start=309,CH1rry,2.0
2019.0,spring,LDL,1,SWD,VTG,SWD,VTG,https://lpl.qq.com/es/stats.shtml?bmid=4494,https://v.qq.com/x/page/d0842ozdzcq.html,https://v.qq.com/x/page/d0842ozdzcq.html?start=235,Light,1.0
2019.0,spring,LDL,1,,,VTG,SWD,https://lpl.qq.com/es/stats.shtml?bmid=4494,https://v.qq.com/x/page/b0842p3ht6x.html,https://v.qq.com/x/page/b0842p3ht6x.html?start=501,chenlun17,2.0
2019.0,spring,LDL,1,VP,GD,GD,VP,https://lpl.qq.com/es/stats.shtml?bmid=4495,https://v.qq.com/x/page/u08425sy4gc.html,https://v.qq.com/x/page/u08425sy4gc.html?start=413,,1.0
2019.0,spring,LDL,1,,,VP,GD,https://lpl.qq.com/es/stats.shtml?bmid=4495,https://v.qq.com/x/page/j0842ahkkg4.html,https://v.qq.com/x/page/j0842ahkkg4.html?start=458,Enjoy,2.0
2019.0,spring,LDL,1,,,VP,GD,https://lpl.qq.com/es/stats.shtml?bmid=4495,https://v.qq.com/x/page/f0842qlumhi.html,https://v.qq.com/x/page/f0842qlumhi.html?start=464,,3.0
2019.0,spring,LDL,1,BLGJ,SWD,BLGJ,SWD,https://lpl.qq.com/es/stats.shtml?bmid=4496,https://v.qq.com/x/page/h0843wgd4pj.html,https://v.qq.com/x/page/h0843wgd4pj.html?start=895,dzs,1.0
2019.0,spring,LDL,1,,,SWD,BLGJ,https://lpl.qq.com/es/stats.shtml?bmid=4496,https://v.qq.com/x/page/t0843c0mnws.html,https://v.qq.com/x/page/t0843c0mnws.html?start=369,keke,2.0
2019.0,spring,LDL,1,JDM,LGE,LGE,JDM,https://lpl.qq.com/es/stats.shtml?bmid=4497,https://v.qq.com/x/page/f0843l7loi9.html,https://v.qq.com/x/page/f0843l7loi9.html?start=468,clx,1.0
2019.0,spring,LDL,1,,,JDM,LGE,https://lpl.qq.com/es/stats.shtml?bmid=4497,https://v.qq.com/x/page/r0843ah6m04.html,https://v.qq.com/x/page/r0843ah6m04.html?start=405,ZBB,2.0
2019.0,spring,LDL,1,,,LGE,JDM,https://lpl.qq.com/es/stats.shtml?bmid=4497,https://v.qq.com/x/page/h0843r9ld7t.html,https://v.qq.com/x/page/h0843r9ld7t.html?start=425,A02,3.0
2019.0,spring,LDL,1,VGP,TSG,VGP,TSG,https://lpl.qq.com/es/stats.shtml?bmid=4499,https://v.qq.com/x/page/n08430trbjf.html,https://v.qq.com/x/page/n08430trbjf.html?start=334,,1.0
2019.0,spring,LDL,1,,,VGP,TSG,https://lpl.qq.com/es/stats.shtml?bmid=4499,https://v.qq.com/x/page/j08436hjle8.html,https://v.qq.com/x/page/j08436hjle8.html?start=96,,2.0
2019.0,spring,LDL,1,OMD,LEG,LEG,OMD,https://lpl.qq.com/es/stats.shtml?bmid=4498,https://v.qq.com/x/page/f0843euvbhh.html,https://v.qq.com/x/page/f0843euvbhh.html?start=431,Viod,1.0
2019.0,spring,LDL,1,,,LEG,OMD,https://lpl.qq.com/es/stats.shtml?bmid=4498,https://v.qq.com/x/page/x0843w7gm1a.html,https://v.qq.com/x/page/x0843w7gm1a.html?start=402,Assqssin,2.0
2019.0,spring,LDL,1,RYL,UP,RYL,UP,https://lpl.qq.com/es/stats.shtml?bmid=4500,https://v.qq.com/x/page/p08431d7d4v.html,https://v.qq.com/x/page/p08431d7d4v.html?start=389,Cube,1.0
2019.0,spring,LDL,1,,,UP,RYL,https://lpl.qq.com/es/stats.shtml?bmid=4500,https://v.qq.com/x/page/h0843n02urk.html,https://v.qq.com/x/page/h0843n02urk.html?start=438,,2.0
2019.0,spring,LDL,1,,,UP,RYL,https://lpl.qq.com/es/stats.shtml?bmid=4500,https://v.qq.com/x/page/v08438i3bl5.html,,Roysen,3.0
2019.0,spring,LDL,1,IGY,87,IGY,87,https://lpl.qq.com/es/stats.shtml?bmid=4501,https://v.qq.com/x/page/u0843f9yfnm.html,,,1.0
2019.0,spring,LDL,1,,,IGY,87,https://lpl.qq.com/es/stats.shtml?bmid=4501,https://v.qq.com/x/page/o0843lb7k7k.html,,,2.0
2019.0,spring,LDL,1,SNS,VGP,SNS,VGP,https://lpl.qq.com/es/stats.shtml?bmid=4502,https://v.qq.com/x/page/e08431rscfx.html,,Lilac,1.0
2019.0,spring,LDL,1,,,VGP,SNS,https://lpl.qq.com/es/stats.shtml?bmid=4502,https://v.qq.com/x/page/x08435680wd.html,,Zdz,2.0
2019.0,spring,LDL,1,,,SNS,VGP,https://lpl.qq.com/es/stats.shtml?bmid=4502,https://v.qq.com/x/page/g0843689v5b.html,,bin,3.0
2019.0,spring,LDL,1,RWS,GD,GD,RWS,https://lpl.qq.com/es/stats.shtml?bmid=4503,https://v.qq.com/x/page/k084331vzpm.html,,Zhanzhao,1.0
2019.0,spring,LDL,1,,,RWS,GD,https://lpl.qq.com/es/stats.shtml?bmid=4503,https://v.qq.com/x/page/v08433qfypm.html,,Caocao,2.0
2019.0,spring,LDL,1,EDGY,SG,EDGY,SG,https://lpl.qq.com/es/stats.shtml?bmid=4504,https://v.qq.com/x/page/v0843w9xcqh.html,,CH1rry,1.0
2019.0,spring,LDL,1,,,SG,EDGY,https://lpl.qq.com/es/stats.shtml?bmid=4504,https://v.qq.com/x/page/g0843jokm0t.html,,Wuyou,2.0
2019.0,spring,LDL,1,SDP,YM,SDP,YM,https://lpl.qq.com/es/stats.shtml?bmid=4505,https://v.qq.com/x/page/m08435ahjft.html,,,1.0
2019.0,spring,LDL,1,,,YM,SDP,https://lpl.qq.com/es/stats.shtml?bmid=4505,https://v.qq.com/x/page/f0843l6trca.html,,,2.0
2019.0,spring,LDL,1,KOF,VTG,KOF,VTG,https://lpl.qq.com/es/stats.shtml?bmid=4506,https://v.qq.com/x/page/t0843j9z163.html,,AK,1.0
2019.0,spring,LDL,1,,,VTG,KOF,https://lpl.qq.com/es/stats.shtml?bmid=4506,https://v.qq.com/x/page/s0843ugxzp7.html,,Photic,2.0
2019.0,spring,LDL,1,BLGJ,SDX,BLGJ,SDX,https://lpl.qq.com/es/stats.shtml?bmid=4507,https://v.qq.com/x/page/s0843t9t1be.html,,,1.0
2019.0,spring,LDL,1,,,BLGJ,SDX,https://lpl.qq.com/es/stats.shtml?bmid=4507,https://v.qq.com/x/page/j084323xmhm.html,,Avenger0,2.0
2019.0,spring,LDL,1,,,SDX,BLGJ,https://lpl.qq.com/es/stats.shtml?bmid=4507,https://v.qq.com/x/page/y08439ayrtc.html,,,3.0
2019.0,spring,LDL,1,RWS,JDM,RWS,JDM,https://lpl.qq.com/es/stats.shtml?bmid=4508,https://v.qq.com/x/page/n0843ju9z72.html,,Caocao,1.0
