year,season,league_name,week,team_1,team_2,Blue,Red,MH,PB,Start,MVP,set_number
2019.0,summer,LDL,1,LEG,OMD,LEG,OMD,https://lpl.qq.com/es/stats.shtml?bmid=4933,https://v.qq.com/x/page/r0886izo2fu.html,https://v.qq.com/x/page/r0886izo2fu.html?start=557,Eric,1.0
2019.0,summer,LDL,1,,,OMD,LEG,https://lpl.qq.com/es/stats.shtml?bmid=4933,https://v.qq.com/x/page/e0886orjzn2.html,https://v.qq.com/x/page/e0886orjzn2.html?start=488,Bafang,2.0
2019.0,summer,LDL,1,VP,YM,YM,VP,https://lpl.qq.com/es/stats.shtml?bmid=4934,https://v.qq.com/x/page/r08874lfphj.html,https://v.qq.com/x/page/r08874lfphj.html?start=424,Xzz,1.0
2019.0,summer,LDL,1,,,VP,YM,https://lpl.qq.com/es/stats.shtml?bmid=4934,https://v.qq.com/x/page/t0887vaz0sj.html,https://v.qq.com/x/page/t0887vaz0sj.html?start=600,rat,2.0
2019.0,summer,LDL,1,,,YM,VP,https://lpl.qq.com/es/stats.shtml?bmid=4934,https://v.qq.com/x/page/l0887yyo2sc.html,https://v.qq.com/x/page/l0887yyo2sc.html?start=379,xiaolongbao,3.0
2019.0,summer,LDL,1,87,WEA,87,WEA,https://lpl.qq.com/es/stats.shtml?bmid=4935,https://v.qq.com/x/page/f0886hgfxms.html,https://v.qq.com/x/page/f0886hgfxms.html?start=703,LuMang,1.0
2019.0,summer,LDL,1,,,WEA,87,https://lpl.qq.com/es/stats.shtml?bmid=4935,https://v.qq.com/x/page/m08868kujms.html,https://v.qq.com/x/page/m08868kujms.html?start=501,Sun,2.0
2019.0,summer,LDL,1,,,WEA,87,https://lpl.qq.com/es/stats.shtml?bmid=4935,https://v.qq.com/x/page/u0886fjzw2r.html,https://v.qq.com/x/page/u0886fjzw2r.html?start=449,Yang,3.0
2019.0,summer,LDL,1,FPB,D7G,FPB,D7G,https://lpl.qq.com/es/stats.shtml?bmid=4936,https://v.qq.com/x/page/t0887w1qb4m.html,https://v.qq.com/x/page/t0887w1qb4m.html?start=430,,1.0
2019.0,summer,LDL,1,,,D7G,FPB,https://lpl.qq.com/es/stats.shtml?bmid=4936,https://v.qq.com/x/page/x0887bz1q6c.html,https://v.qq.com/x/page/x0887bz1q6c.html?start=421,,2.0
