year,season,league_name,week,team_1,team_2,Vod,set_number
2017.0,summer,LEC,1,H2K,SPY,http://www.youtube.com/watch?v=Ikg-4R5A_w8#t=807,1.0
2017.0,summer,LEC,1,,,http://www.youtube.com/watch?v=hsdXzj7kBWA#t=53,2.0
2017.0,summer,LEC,1,FNC,MSF,http://www.youtube.com/watch?v=_CbxKAybIUQ#t=443,1.0
2017.0,summer,LEC,1,,,http://www.youtube.com/watch?v=eXvLMclH1cA#t=176,2.0
2017.0,summer,LEC,1,ROC,G2,http://www.youtube.com/watch?v=JnxvqRK1XcA&t=14m48s,1.0
2017.0,summer,LEC,1,,,http://www.youtube.com/watch?v=vwaa_aE1d5U&t=1m25s,2.0
2017.0,summer,LEC,1,,,http://www.youtube.com/watch?v=RaI_AaYQpRc&t=1m12s,3.0
2017.0,summer,LEC,1,VIT,UOL,http://www.youtube.com/watch?v=AVZ4YPJUzBY&t=10m40s,1.0
2017.0,summer,LEC,1,,,http://www.youtube.com/watch?v=fJeyt1zaxH8&t=57s,2.0
2017.0,summer,LEC,1,H2K,MM,http://www.youtube.com/watch?v=7cpgz_Wq2XA&t=9m06s,1.0
2017.0,summer,LEC,1,,,http://www.youtube.com/watch?v=_GkWH4AtO3E&t=2m26s,2.0
2017.0,summer,LEC,1,FNC,NiP,http://www.youtube.com/watch?v=e_GgHMKz6v4&t=6m47s,1.0
2017.0,summer,LEC,1,,,http://www.youtube.com/watch?v=BcqfEmUjmDI&t=3m55s,2.0
2017.0,summer,LEC,2,MSF,NiP,http://www.youtube.com/watch?v=NczwCdByCKU&t=8m35s,1.0
2017.0,summer,LEC,2,,,http://www.youtube.com/watch?v=19Dic8Yi5F0&t=2m10s,2.0
2017.0,summer,LEC,2,G2,FNC,http://www.youtube.com/watch?v=-W0WU5eT51k&t=7m06s,1.0
2017.0,summer,LEC,2,,,http://www.youtube.com/watch?v=tIb1BKQHdJM&t=1m47s,2.0
2017.0,summer,LEC,2,,,http://www.youtube.com/watch?v=6ME82H3sSHI&t=5m27s,3.0
2017.0,summer,LEC,2,SPY,VIT,http://www.youtube.com/watch?v=vOGPghYmeZ8#t=616,1.0
2017.0,summer,LEC,2,,,http://www.youtube.com/watch?v=qdi8CYLkeGU#t=195,2.0
2017.0,summer,LEC,2,MM,UOL,http://www.youtube.com/watch?v=M6IXzsCqkEU#t=381,1.0
2017.0,summer,LEC,2,,,http://www.youtube.com/watch?v=S2TjkwKDoiw#t=109,2.0
2017.0,summer,LEC,2,MSF,ROC,http://www.youtube.com/watch?v=jSrTMAl4XeY#t=599,1.0
2017.0,summer,LEC,2,,,http://www.youtube.com/watch?v=YGlSMa38404#t=125,2.0
2017.0,summer,LEC,2,,,http://www.youtube.com/watch?v=s_VAAJONww8#t=112,3.0
2017.0,summer,LEC,2,NiP,G2,http://www.youtube.com/watch?v=Qw-jCAPGFTk#t=569,1.0
2017.0,summer,LEC,2,,,http://www.youtube.com/watch?v=tFzZ-VmcNW0#t=207,2.0
2017.0,summer,LEC,2,SPY,MM,http://www.youtube.com/watch?v=Rl_0H5biOtY#t=571,1.0
2017.0,summer,LEC,2,,,http://www.youtube.com/watch?v=6qef6HxCXDw#t=121,2.0
2017.0,summer,LEC,2,UOL,H2K,http://www.youtube.com/watch?v=7cytHL8vlTo#t=407,1.0
2017.0,summer,LEC,2,,,http://www.youtube.com/watch?v=zqIWEMCkDTM#t=72,2.0
