year,season,league_name,week,team_1,team_2,Blue,Red,MH,PB,Start,HL,MVP,set_number
2018.0,spring,LEC,1,G2,MSF,G2,MSF,https://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH3/1002360040?gameHash=6e24bcbfb775efcf,https://www.youtube.com/watch?v=JJk2lESNQew#t=14m30s,https://www.youtube.com/watch?v=JJk2lESNQew#t=22m6s,https://www.youtube.com/watch?v=zyfaLaiKNXI&t=10s,Perkz,1.0
2018.0,spring,LEC,1,H2K,VIT,H2K,VIT,https://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH3/1002360057?gameHash=d3cd5577578bc05b,https://www.youtube.com/watch?v=rqqk5vQM6OQ#t=11m38s,https://www.youtube.com/watch?v=rqqk5vQM6OQ#t=27m57s,https://www.youtube.com/watch?v=TAv0iFvITys&t=10s,,1.0
2018.0,spring,LEC,1,UOL,GIA,UOL,GIA,https://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH3/1002360065?gameHash=df65452a61034101,https://www.youtube.com/watch?v=PQ5xkdEhg_o#t=20m10s,https://www.youtube.com/watch?v=PQ5xkdEhg_o#t=29m9s,https://www.youtube.com/watch?v=zuIIy3mBtVs&t=10s,Ruin,1.0
2018.0,spring,LEC,1,ROC,S04,ROC,S04,https://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH3/1002360080?gameHash=e55d2d38fc9eaf08,https://www.youtube.com/watch?v=RG3BkKPfgdk#t=9m30s,https://www.youtube.com/watch?v=RG3BkKPfgdk#t=17m11s,https://www.youtube.com/watch?v=rOSZZLXUeQE&t=10s,,1.0
2018.0,spring,LEC,1,FNC,SPY,FNC,SPY,https://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH3/1002360087?gameHash=d97c1166642d8c62,https://www.youtube.com/watch?v=uY-Tg7rVoVk#t=10m8s,https://www.youtube.com/watch?v=uY-Tg7rVoVk#t=17m7s,https://www.youtube.com/watch?v=SoqT35LEiBA&t=10s,Caps,1.0
2018.0,spring,LEC,1,GIA,VIT,GIA,VIT,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH3/1002350143?gameHash=e20724378f71f2d6,https://www.youtube.com/watch?v=bZdMG66U1pM#t=11m2s,https://www.youtube.com/watch?v=bZdMG66U1pM#t=18m7s,https://www.youtube.com/watch?v=6sJIf3DPt70&t=10s,Minitroupax,1.0
2018.0,spring,LEC,1,SPY,UOL,UOL,SPY,https://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH3/1002350155?gameHash=149be68a94fccaf0,https://www.youtube.com/watch?v=aV8hIVOBVkA#t=8m17s,https://www.youtube.com/watch?v=aV8hIVOBVkA#t=16m20s,https://www.youtube.com/watch?v=IwmKC5fxs4g&t=10s,Kobbe,1.0
2018.0,spring,LEC,1,H2K,FNC,FNC,H2K,https://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH3/1002350164?gameHash=b3527eb1009af5e9,https://www.youtube.com/watch?v=5XVMD3z9_GA#t=7m7s,https://www.youtube.com/watch?v=5XVMD3z9_GA#t=14m6s,https://www.youtube.com/watch?v=Q14uRqpsfXI&t=10s,,1.0
2018.0,spring,LEC,1,G2,ROC,G2,ROC,https://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH3/1002350171?gameHash=41265ec7f4199730,https://www.youtube.com/watch?v=6OVFWon-ZU4#t=7m2s,https://www.youtube.com/watch?v=6OVFWon-ZU4#t=13m16s,https://www.youtube.com/watch?v=AoiQ8QAd3bM&t=10s,,1.0
2018.0,spring,LEC,1,MSF,S04,MSF,S04,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH3/1002350179?gameHash=fe464f4e99a1d286,https://www.youtube.com/watch?v=FOy2xF3gXaM#t=9m46s,https://www.youtube.com/watch?v=FOy2xF3gXaM#t=16m20s,https://www.youtube.com/watch?v=KBqMxYh7tZw&t=10s,Hans Sama,1.0
