year,season,league_name,week,team_1,team_2,Blue,Red,MH,PB,Start,Post,HL,MVP,set_number
2018.0,summer,LEC,1,SPY,VIT,SPY,VIT,https://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH3/1002530085?gameHash=4a78ac5ab5587377&tab=overview,https://youtu.be/XH8oXukB9pU?t=52,https://youtu.be/XH8oXukB9pU?t=474,https://www.youtube.com/watch?v=XH8oXukB9pU#t=31m57s,https://www.youtube.com/watch?v=P6N0pX4ppaU,Cabochard,1.0
2018.0,summer,LEC,1,H2K,GIA,H2K,GIA,https://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH3/1002530088?gameHash=d00bb73146c02376&tab=overview,https://youtu.be/lyr_DynEKUA?t=510,https://youtu.be/lyr_DynEKUA?t=991,https://www.youtube.com/watch?v=lyr_DynEKUA#t=1h6m47s,https://www.youtube.com/watch?v=_r1RN7pRR3c,Betsy,1.0
2018.0,summer,LEC,1,S04,UOL,S04,UOL,https://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH3/1002530090?gameHash=aa9e5b04d6542be9&tab=overview,https://youtu.be/i3pQij_7pFc?t=583,https://youtu.be/i3pQij_7pFc?t=989,https://www.youtube.com/watch?v=i3pQij_7pFc#t=50m7s,https://www.youtube.com/watch?v=7kwSc9U0ncU,Nukeduck,1.0
2018.0,summer,LEC,1,G2,ROC,G2,ROC,https://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH3/1002530092?gameHash=3e43913f6022372f&tab=overview,https://youtu.be/C_ebgYFd8zk?t=575,https://youtu.be/C_ebgYFd8zk?t=1027,https://www.youtube.com/watch?v=C_ebgYFd8zk#t=40m11s,https://www.youtube.com/watch?v=oV4kP-b1Ow0,Hjarnan,1.0
2018.0,summer,LEC,1,FNC,MSF,FNC,MSF,https://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH3/1002530095?gameHash=39f93199a34ec18b&tab=overview,https://youtu.be/7hmP7XUHwb8?t=423,https://youtu.be/7hmP7XUHwb8?t=798,https://www.youtube.com/watch?v=7hmP7XUHwb8#t=39m36s,https://www.youtube.com/watch?v=O9gElNi2E8M,Hans Sama,1.0
2018.0,summer,LEC,1,ROC,H2K,ROC,H2K,https://matchhistory.euw.leagueoflegends.com/en/#match-details/TRLH3/1002530107?gameHash=20586260eef806f9&tab=overview,https://www.youtube.com/watch?v=2nEKsS65MwU#t=46s,https://www.youtube.com/watch?v=2nEKsS65MwU#t=9m7s,https://www.youtube.com/watch?v=2nEKsS65MwU#t=36m33s,https://www.youtube.com/watch?v=EV-zU9m2geE,Norskeren,1.0
2018.0,summer,LEC,1,MSF,UOL,MSF,UOL,https://matchhistory.euw.leagueoflegends.com/en/#match-details/TRLH3/1002540168?gameHash=b3473be4260ba8ab&tab=overview,https://www.youtube.com/watch?v=0Ixvp0TT5wc#t=8m32s,https://www.youtube.com/watch?v=0Ixvp0TT5wc#t=16m11s,https://www.youtube.com/watch?v=0Ixvp0TT5wc#t=38m37s,https://www.youtube.com/watch?v=k3HBDfBIjJA,Hans Sama,1.0
2018.0,summer,LEC,1,VIT,GIA,VIT,GIA,https://matchhistory.euw.leagueoflegends.com/en/#match-details/TRLH3/1002530128?gameHash=a4c8f4ca7f1372f3&tab=overview,https://www.youtube.com/watch?v=UFfcZnc4AjI#t=9m30s,https://www.youtube.com/watch?v=UFfcZnc4AjI#t=16m31s,https://www.youtube.com/watch?v=UFfcZnc4AjI#t=43m56s,https://www.youtube.com/watch?v=EnC-oVekxq0,Attila,1.0
2018.0,summer,LEC,1,FNC,S04,FNC,S04,https://matchhistory.euw.leagueoflegends.com/en/#match-details/TRLH3/1002540191?gameHash=dec1c750bc17a516&tab=overview,https://www.youtube.com/watch?v=t3D4j2pOYco#t=8m31s,https://www.youtube.com/watch?v=t3D4j2pOYco#t=15m54s,https://www.youtube.com/watch?v=t3D4j2pOYco#t=40m5s,https://www.youtube.com/watch?v=FS4BWZeGx_w,Caps,1.0
2018.0,summer,LEC,1,G2,SPY,G2,SPY,https://matchhistory.euw.leagueoflegends.com/en/#match-details/TRLH3/1002540201?gameHash=1efec224380fdee4&tab=overview,https://www.youtube.com/watch?v=0hMvnCs41mQ#t=3m2s,https://www.youtube.com/watch?v=0hMvnCs41mQ#t=10m20s,https://www.youtube.com/watch?v=0hMvnCs41mQ#t=51m35s,https://www.youtube.com/watch?v=f7WB32Zy38M,Perkz,1.0
