year,season,league_name,week,team_1,team_2,Blue,Red,MH,PB,Start,Post,HL,MVP,set_number
2019.0,spring,LEC,1,FNC,SK,FNC,SK,https://matchhistory.euw.leagueoflegends.com/en/#match-details/ESPORTSTMNT02/980560?gameHash=d56172de0aebcb5c&tab=overview,https://www.youtube.com/watch?v=nOE2sTMKLRw#t=1h30m50s,https://www.youtube.com/watch?v=nOE2sTMKLRw#t=1h38m45s,https://www.youtube.com/watch?v=nOE2sTMKLRw#t=2h9m28s,https://www.youtube.com/watch?v=TtT5EkxLinQ,Selfmade,1.0
2019.0,spring,LEC,1,SPY,XL,SPY,XL,https://matchhistory.euw.leagueoflegends.com/en/#match-details/ESPORTSTMNT02/980572?gameHash=1c62c682c9b961ea&tab=overview,https://www.youtube.com/watch?v=ypNOoZAt_zo#t=33m27s,https://www.youtube.com/watch?v=ypNOoZAt_zo#t=37m49s,https://www.youtube.com/watch?v=ypNOoZAt_zo#t=1h17m18s,https://www.youtube.com/watch?v=WoLE9YOUaB8,Kobbe,1.0
2019.0,spring,LEC,1,VIT,S04,VIT,S04,https://matchhistory.euw.leagueoflegends.com/en/#match-details/ESPORTSTMNT02/980590?gameHash=3693617638d986c7&tab=overview,https://www.youtube.com/watch?v=mH3pS13ajw0#t=13m9s,https://www.youtube.com/watch?v=mH3pS13ajw0#t=21m47s,https://www.youtube.com/watch?v=mH3pS13ajw0#t=52m50s,https://www.youtube.com/watch?v=6gFCV7rf9_c,Upset,1.0
2019.0,spring,LEC,1,RGE,MSF,RGE,MSF,https://matchhistory.euw.leagueoflegends.com/de/#match-details/ESPORTSTMNT02/990708?gameHash=590131306fb4ed14,https://www.youtube.com/watch?v=rXdtLahktZw#t=14m51s,https://www.youtube.com/watch?v=rXdtLahktZw#t=25m38s,https://www.youtube.com/watch?v=rXdtLahktZw#t=49m46s,https://www.youtube.com/watch?v=bDh3J6irS4c,Hans Sama,1.0
2019.0,spring,LEC,1,OG,G2,OG,G2,https://matchhistory.euw.leagueoflegends.com/de/#match-details/ESPORTSTMNT02/990721?gameHash=ed28aaf6a009b70f,https://www.youtube.com/watch?v=BBCKczUthSo#t=9m15s,https://www.youtube.com/watch?v=BBCKczUthSo#t=15m56s,https://www.youtube.com/watch?v=BBCKczUthSo#t=42m30s,https://www.youtube.com/watch?v=Fa1gIcUMJtg,Jankos,1.0
2019.0,spring,LEC,1,G2,S04,G2,S04,https://matchhistory.euw.leagueoflegends.com/de/#match-details/ESPORTSTMNT02/980683?gameHash=b768958d08a63e93&tab=overview,https://www.youtube.com/watch?v=bWCVH_rjue0#t=6m54s,https://www.youtube.com/watch?v=bWCVH_rjue0#t=11m06s,https://www.youtube.com/watch?v=bWCVH_rjue0#t=38m01s,https://www.youtube.com/watch?v=IGOYdAZ_8tI,Perkz,1.0
2019.0,spring,LEC,1,XL,RGE,XL,RGE,https://matchhistory.euw.leagueoflegends.com/de/#match-details/ESPORTSTMNT02/980693?gameHash=9ae7b7fa0ca02595&tab=overview,https://www.youtube.com/watch?v=vkpYCXRAdFI#t=2m24s,https://www.youtube.com/watch?v=vkpYCXRAdFI#t=9m07s,https://www.youtube.com/watch?v=vkpYCXRAdFI#t=36m09s,https://www.youtube.com/watch?v=4xFs-2reoTM,kaSing,1.0
2019.0,spring,LEC,1,SPY,VIT,SPY,VIT,https://matchhistory.euw.leagueoflegends.com/de/#match-details/ESPORTSTMNT02/980700?gameHash=6bc2237cc07dc853&tab=overview,https://www.youtube.com/watch?v=ehBQ5rk5VWg#t=7m42s,https://www.youtube.com/watch?v=ehBQ5rk5VWg#t=15m10s,https://www.youtube.com/watch?v=ehBQ5rk5VWg#t=1h3m8s,https://www.youtube.com/watch?v=J4LUGIGOSdg,Attila,1.0
2019.0,spring,LEC,1,MSF,SK,MSF,SK,https://matchhistory.euw.leagueoflegends.com/de/#match-details/ESPORTSTMNT02/980715?gameHash=789db76e3dd33dd2&tab=overview,https://www.youtube.com/watch?v=Sc9g2whZoCo#t=11m29s,https://www.youtube.com/watch?v=Sc9g2whZoCo#t=21m58s,https://www.youtube.com/watch?v=Sc9g2whZoCo#t=44m23s,https://www.youtube.com/watch?v=HPTjIMOjn98,Hans Sama,1.0
2019.0,spring,LEC,1,FNC,OG,FNC,OG,https://matchhistory.euw.leagueoflegends.com/de/#match-details/ESPORTSTMNT02/980728?gameHash=0bdfc40412913772&tab=overview,https://www.youtube.com/watch?v=2_SralxGSwY#t=5m,https://www.youtube.com/watch?v=2_SralxGSwY#t=18m,https://www.youtube.com/watch?v=2_SralxGSwY#t=46m38s,https://www.youtube.com/watch?v=LITHMOMzoIs,Nukeduck,1.0
