year,season,league_name,week,team_1,team_2,MH,Vod,PB,Start,set_number
2017.0,spring,LJL,1,RPG,DFM,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT06/20587?gameHash=79e9e771f038579e&tab=overview,http://www.youtube.com/watch?v=k5RadcfvGGk,,,1.0
2017.0,spring,LJL,1,,,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT06/20594?gameHash=0acbe73637330cb9&tab=overview,http://www.youtube.com/watch?v=C3TSPC07izE,,,2.0
2017.0,spring,LJL,1,SCARZ,RJ,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT06/20662?gameHash=398ba3c08ad9dadb&tab=overview,http://www.youtube.com/watch?v=BuOPVARWAHA,,,1.0
2017.0,spring,LJL,1,,,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT06/20679?gameHash=f0f50b707c01bd47&tab=overview,http://www.youtube.com/watch?v=x3TTsMa4j3k,,,2.0
2017.0,spring,LJL,1,,,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT06/20690?gameHash=1b717e5013f8882c&tab=overview,http://www.youtube.com/watch?v=-km7fzCImss,,,3.0
2017.0,spring,LJL,1,7h,USG,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT06/20709?gameHash=4339211cf75813a0&tab=overview,http://www.youtube.com/watch?v=xrUNOfT6LQQ,,,1.0
2017.0,spring,LJL,1,,,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT06/20715?gameHash=ed754ef1c0560a32&tab=overview,http://www.youtube.com/watch?v=_AJnzZiGNkg,,,2.0
2017.0,spring,LJL,2,SCARZ,7h,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT06/21005?gameHash=93dcd1a933ae0449&tab=overview,https://www.youtube.com/watch?v=1tUMH7S7emQ,https://youtu.be/1tUMH7S7emQ?t=475,https://youtu.be/1tUMH7S7emQ?t=923,1.0
2017.0,spring,LJL,2,,,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT06/21009?gameHash=5dec77c92f0b5278&tab=overview,http://www.youtube.com/watch?v=NXpbQ884DwY,,,2.0
2017.0,spring,LJL,2,,,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT06/21010?gameHash=87a9e852d7afa23d&tab=overview,http://www.youtube.com/watch?v=bmKkLSRMToA,,,3.0
2017.0,spring,LJL,2,RJ,RPG,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT06/21023?gameHash=db329761810ce7cc&tab=overview,http://www.youtube.com/watch?v=C5kiQDkOXPk,,,1.0
2017.0,spring,LJL,2,,,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT06/21024?gameHash=896fb9dbd4d72659&tab=overview,http://www.youtube.com/watch?v=qKK09ZnAPW8,,,2.0
2017.0,spring,LJL,2,USG,DFM,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT06/21025?gameHash=7126176dd9b9a50a&tab=overview,http://www.youtube.com/watch?v=VXwVy5COMN4,,,1.0
2017.0,spring,LJL,2,,,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT06/21035?gameHash=6de46f42f0294326&tab=overview,http://www.youtube.com/watch?v=IgyYag3r4VM,,,2.0
2017.0,spring,LJL,3,USG,RJ,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT06/21258?gameHash=0d3b49827a2920f9&tab=overview,http://www.youtube.com/watch?v=8jflcPzEpNE,,,1.0
2017.0,spring,LJL,3,,,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT06/21271?gameHash=ba8643a8cd75022c&tab=overview,http://www.youtube.com/watch?v=3ObZRQ6AdEg,,,2.0
2017.0,spring,LJL,3,DFM,7h,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT06/21327?gameHash=754235a213b69969&tab=overview,http://www.youtube.com/watch?v=pKFK-TZ0Keo,,,1.0
2017.0,spring,LJL,3,,,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT06/21332?gameHash=a88ceee6875d7683&tab=overview,http://www.youtube.com/watch?v=ERQJg1HXinQ,,,2.0
2017.0,spring,LJL,3,,,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT06/21338?gameHash=37d7f90dbd6c8b11&tab=overview,http://www.youtube.com/watch?v=w8vohK2Pq-c,,,3.0
2017.0,spring,LJL,3,RPG,SCARZ,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT06/21354?gameHash=ada5d9ccafbd54d8&tab=overview,http://www.youtube.com/watch?v=0v8OZqBroQE,,,1.0
2017.0,spring,LJL,3,,,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT06/21369?gameHash=ef306c89ed5a4171&tab=overview,http://www.youtube.com/watch?v=yfwUxsaYCcY,,,2.0
2017.0,spring,LJL,4,DFM,SCARZ,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT06/40310?gameHash=6c57907d48912d21&tab=overview,http://www.youtube.com/watch?v=nLXOuvQsE7I,,,1.0
2017.0,spring,LJL,4,,,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT06/40318?gameHash=4e19fc5cc7dde364&tab=overview,http://www.youtube.com/watch?v=XSvX8xQwJ0s,,,2.0
2017.0,spring,LJL,4,RPG,USG,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT06/40368?gameHash=c6633a1a3b10d6c5&tab=overview,http://www.youtube.com/watch?v=Ni8zDNRP0hY,,,1.0
2017.0,spring,LJL,4,,,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT06/40382?gameHash=8ce5e0b8c6a3c5bc&tab=overview,http://www.youtube.com/watch?v=TqVbOTodXyI,,,2.0
2017.0,spring,LJL,4,7h,RJ,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT06/40400?gameHash=334c69d498b83c01&tab=overview,http://www.youtube.com/watch?v=FPDyFexhNkU,,,1.0
2017.0,spring,LJL,4,,,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT06/40425?gameHash=6590fb59be66bb06&tab=overview,http://www.youtube.com/watch?v=Q1Wvt4htDLw,,,2.0
2017.0,spring,LJL,5,7h,RPG,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT06/40878?gameHash=eb867cff3e1fcde1&tab=overview,http://www.youtube.com/watch?v=16tZywwCIHQ,,,1.0
2017.0,spring,LJL,5,,,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT06/40888?gameHash=a535d2bfc73751d5&tab=overview,http://www.youtube.com/watch?v=mdHIS9h77-0,,,2.0
2017.0,spring,LJL,5,USG,SCARZ,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT06/40922?gameHash=489774f91fe22ebc&tab=overview,http://www.youtube.com/watch?v=x5i2MhSugdw,,,1.0
2017.0,spring,LJL,5,,,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT06/40923?gameHash=00b2492ce66406e9&tab=overview,http://www.youtube.com/watch?v=QcjeKsMKyFg,,,2.0
2017.0,spring,LJL,5,RJ,DFM,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT06/40930?gameHash=deb9f663290384a1&tab=overview,http://www.youtube.com/watch?v=ej5eBZDytm8,,,1.0
2017.0,spring,LJL,5,,,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT06/40955?gameHash=c4fbe0c407689cde&tab=overview,http://www.youtube.com/watch?v=hQgggN7zp4U,,,2.0
2017.0,spring,LJL,6,USG,7h,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT06/70696?gameHash=62d5ecb7c0ed5c96&tab=overview,http://www.youtube.com/watch?v=Jvsay2NXLMk&t=6m42s,,,1.0
2017.0,spring,LJL,6,,,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT06/70701?gameHash=87769f38422bc31b&tab=overview,http://www.youtube.com/watch?v=Fg-xap3jfTs&t=3m07s,,,2.0
2017.0,spring,LJL,6,RJ,SCARZ,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT06/70711?gameHash=648ac6b2d553d214&tab=overview,http://www.youtube.com/watch?v=qk1VN2rWbZc&t=5m43s,,,1.0
2017.0,spring,LJL,6,,,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT06/70729?gameHash=3b96d7215e80b179&tab=overview,http://www.youtube.com/watch?v=d_SgJ8WodWA&t=2m29s,,,2.0
2017.0,spring,LJL,6,DFM,RPG,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT06/70738?gameHash=6bc3e607eddbed08&tab=overview,http://www.youtube.com/watch?v=iPcCzwD1Z0U&t=5m44s,,,1.0
2017.0,spring,LJL,6,,,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT06/70772?gameHash=d16d47afb1ee4094&tab=overview,http://www.youtube.com/watch?v=hWKPgi2SYcA&t=2m54s,,,2.0
2017.0,spring,LJL,6,,,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT06/70777?gameHash=f2c5d6168507daf8&tab=overview,http://www.youtube.com/watch?v=7NWutcF6nb0&t=2m06s,,,3.0
2017.0,spring,LJL,7,RPG,RJ,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT06/60836?gameHash=840699ee206c4bcc&tab=overview,http://www.youtube.com/watch?v=PKBz8cGzZqM&t=5m39s,,,1.0
2017.0,spring,LJL,7,,,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT06/60846?gameHash=5e47a28c967643be&tab=overview,http://www.youtube.com/watch?v=m0UBY2WK_k8&t=1m45s,,,2.0
2017.0,spring,LJL,7,DFM,USG,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT06/60857?gameHash=5a8724cc3c31d8cd&tab=overview,http://www.youtube.com/watch?v=YZwSySSb4zE&t=20m29s,,,1.0
2017.0,spring,LJL,7,,,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT06/60896?gameHash=2ca9fe97e32afb38&tab=overview,http://www.youtube.com/watch?v=zYI5FVnMyWg&t=1m32s,,,2.0
2017.0,spring,LJL,7,,,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT06/60898?gameHash=e85e184b47461a68&tab=overview,http://www.youtube.com/watch?v=C6WtAv366uo&t=2m52s,,,3.0
2017.0,spring,LJL,7,7h,SCARZ,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT06/60905?gameHash=b124e8127cd1f87a&tab=overview,http://www.youtube.com/watch?v=3XnYTMp6Zdg&t=7m09s,,,1.0
2017.0,spring,LJL,7,,,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT06/60929?gameHash=c7d64d89e6968dd0&tab=overview,http://www.youtube.com/watch?v=nPVLrx2_zro&t=1m26s,,,2.0
2017.0,spring,LJL,8,SCARZ,DFM,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT06/90416?gameHash=4edd6d9e79affcd9&tab=overview,http://www.youtube.com/watch?v=WIJYy-Tn738&t=8m23s,,,1.0
2017.0,spring,LJL,8,,,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT06/90427?gameHash=5f3151e251d21286&tab=overview,http://www.youtube.com/watch?v=X-WJ-pCan6s&t=3m03s,,,2.0
