year,season,league_name,week,team_1,team_2,Vod,set_number
2017.0,summer,LJL,1,RPG,BC,https://www.youtube.com/watch?v=exwYpDYCKQs,1.0
2017.0,summer,LJL,1,,,https://www.youtube.com/watch?v=ulaEaPFHudk,2.0
2017.0,summer,LJL,1,DFM,7h,https://www.youtube.com/watch?v=KURM2IxXfKk,1.0
2017.0,summer,LJL,1,,,https://www.youtube.com/watch?v=x6OTl6cLFvo,2.0
2017.0,summer,LJL,1,USG,RJ,https://www.youtube.com/watch?v=bGL9uMaFcF4,1.0
2017.0,summer,LJL,1,,,https://www.youtube.com/watch?v=nJaiq4G99kk,2.0
2017.0,summer,LJL,1,,,https://www.youtube.com/watch?v=lb2WTXvg4dQ,3.0
2017.0,summer,LJL,2,BC,7h,https://www.youtube.com/watch?v=UhL2JQ-FmnA,1.0
2017.0,summer,LJL,2,,,https://www.youtube.com/watch?v=OxVDCK-2WNY,2.0
2017.0,summer,LJL,2,,,https://www.youtube.com/watch?v=IO9T5php6QY,3.0
2017.0,summer,LJL,2,RJ,RPG,https://www.youtube.com/watch?v=BPJqJRY098s,1.0
2017.0,summer,LJL,2,,,https://www.youtube.com/watch?v=IbdeeXKpYRw,2.0
2017.0,summer,LJL,2,USG,DFM,https://www.youtube.com/watch?v=7EkNQLc-ZZs,1.0
2017.0,summer,LJL,2,,,https://www.youtube.com/watch?v=cSeRa681UKs,2.0
2017.0,summer,LJL,2,,,https://www.youtube.com/watch?v=gZ6k7iNb6pg,3.0
2017.0,summer,LJL,3,7h,RPG,https://www.youtube.com/watch?v=w_vFnzX-ceQ,1.0
2017.0,summer,LJL,3,,,https://www.youtube.com/watch?v=4YIeM7ecBds,2.0
2017.0,summer,LJL,3,USG,BC,https://www.youtube.com/watch?v=6-9YaYqebW0,1.0
2017.0,summer,LJL,3,,,https://www.youtube.com/watch?v=f6aRXMSB8Hc,2.0
2017.0,summer,LJL,3,RJ,DFM,https://www.youtube.com/watch?v=JMtNix4IiX0,1.0
2017.0,summer,LJL,3,,,https://www.youtube.com/watch?v=5OzZEIo1KWg,2.0
2017.0,summer,LJL,4,DFM,BC,https://www.youtube.com/watch?v=39fhphMmm0A,1.0
2017.0,summer,LJL,4,,,https://www.youtube.com/watch?v=SiU3x6vsePU,2.0
2017.0,summer,LJL,4,,,https://www.youtube.com/watch?v=NbQBOZYJDYI,3.0
2017.0,summer,LJL,4,RPG,USG,https://www.youtube.com/watch?v=b4zytn8Ya1c,1.0
2017.0,summer,LJL,4,,,https://www.youtube.com/watch?v=zF3jXEzkmy0,2.0
2017.0,summer,LJL,4,7h,RJ,https://www.youtube.com/watch?v=41CvWSd18dk,1.0
2017.0,summer,LJL,4,,,https://www.youtube.com/watch?v=lj41UHqou3E,2.0
2017.0,summer,LJL,4,,,https://www.youtube.com/watch?v=dL2x2FIlwbw,3.0
2017.0,summer,LJL,5,BC,RJ,https://www.youtube.com/watch?v=hhvPQK4pCOE,1.0
2017.0,summer,LJL,5,,,https://www.youtube.com/watch?v=n51qaXG2DKM,2.0
2017.0,summer,LJL,5,,,https://www.youtube.com/watch?v=wNOZpnYeo9o,3.0
2017.0,summer,LJL,5,7h,USG,https://www.youtube.com/watch?v=QiPlNlBeuio,1.0
2017.0,summer,LJL,5,,,https://www.youtube.com/watch?v=ZKkY_xlzUfk,2.0
2017.0,summer,LJL,5,,,https://www.youtube.com/watch?v=1citX8FlObY,3.0
2017.0,summer,LJL,5,RPG,DFM,https://www.youtube.com/watch?v=3ha6E74e_40,1.0
2017.0,summer,LJL,5,,,https://www.youtube.com/watch?v=eAFdo8b78Ck,2.0
2017.0,summer,LJL,5,,,https://www.youtube.com/watch?v=g85mVSYKXJU,3.0
2017.0,summer,LJL,6,RJ,USG,https://www.youtube.com/watch?v=8XPIXKbG87U,1.0
2017.0,summer,LJL,6,,,https://www.youtube.com/watch?v=8n_MVRVdx3g,2.0
2017.0,summer,LJL,6,,,https://www.youtube.com/watch?v=mVo4TiAbaNo,3.0
2017.0,summer,LJL,6,7h,DFM,https://www.youtube.com/watch?v=72kVjQfA6zs,1.0
2017.0,summer,LJL,6,,,https://www.youtube.com/watch?v=uArqOJCROZM,2.0
2017.0,summer,LJL,6,,,https://www.youtube.com/watch?v=qw70VgLafwI,3.0
2017.0,summer,LJL,6,BC,RPG,https://www.youtube.com/watch?v=0JyIUROkVOA,1.0
2017.0,summer,LJL,6,,,https://www.youtube.com/watch?v=CFA_HwRby10,2.0
2017.0,summer,LJL,7,RPG,RJ,https://www.youtube.com/watch?v=UpWxl7BkdOI,1.0
2017.0,summer,LJL,7,,,https://www.youtube.com/watch?v=I3X-t0jlOVo,2.0
2017.0,summer,LJL,7,DFM,USG,https://www.youtube.com/watch?v=gliJQtrQr6k,1.0
2017.0,summer,LJL,7,,,https://www.youtube.com/watch?v=QiPxmIbT680,2.0
2017.0,summer,LJL,7,7h,BC,https://www.youtube.com/watch?v=gN3T2oxP700,1.0
2017.0,summer,LJL,7,,,https://www.youtube.com/watch?v=T-zI05eINLc,2.0
2017.0,summer,LJL,8,DFM,RJ,https://www.youtube.com/watch?v=65Bsb9zshKo,1.0
2017.0,summer,LJL,8,,,https://www.youtube.com/watch?v=RXXnthZxvs8,2.0
2017.0,summer,LJL,8,RPG,7h,https://www.youtube.com/watch?v=GAMwFv8dv5o,1.0
2017.0,summer,LJL,8,,,https://www.youtube.com/watch?v=crrnFd1XgIE,2.0
2017.0,summer,LJL,8,BC,USG,https://www.youtube.com/watch?v=fADFz23FpPk,1.0
2017.0,summer,LJL,8,,,https://www.youtube.com/watch?v=MJycx_UbIGA,2.0
2017.0,summer,LJL,9,BC,DFM,https://www.youtube.com/watch?v=63ClElmFLXc,1.0
2017.0,summer,LJL,9,,,https://www.youtube.com/watch?v=WVbrEGIZHgc,2.0
2017.0,summer,LJL,9,USG,RPG,https://www.youtube.com/watch?v=GYOISm27nCo,1.0
2017.0,summer,LJL,9,,,https://www.youtube.com/watch?v=5TbyKv5Ng3E,2.0
2017.0,summer,LJL,9,RJ,7h,https://www.youtube.com/watch?v=5qBz5xvhC4M,1.0
2017.0,summer,LJL,9,,,https://www.youtube.com/watch?v=6lRuWuOhCBw,2.0
2017.0,summer,LJL,9,,,https://www.youtube.com/watch?v=Z5D8mVA5MEE,3.0
2017.0,summer,LJL,10,USG,7h,https://www.youtube.com/watch?v=YGSb-F-Gqj0,1.0
2017.0,summer,LJL,10,,,https://www.youtube.com/watch?v=A6c2it-p8Pg,2.0
2017.0,summer,LJL,10,RJ,BC,https://www.youtube.com/watch?v=H3WiThAPDnw,1.0
2017.0,summer,LJL,10,,,https://www.youtube.com/watch?v=_aOXC6W10pw,2.0
2017.0,summer,LJL,10,DFM,RPG,https://www.youtube.com/watch?v=ANFw1Xpenk8,1.0
2017.0,summer,LJL,10,,,https://www.youtube.com/watch?v=nf7Hn4D1A6U,2.0
2017.0,summer,LJL,Tiebreakers,USG,RJ,http://www.youtube.com/watch?v=ukrEyUQpJnk,1.0
2017.0,summer,LJL,Tiebreakers,,,http://www.youtube.com/watch?v=AfgKsgb7WT0,2.0
