year,season,league_name,week,team_1,team_2,Vod,set_number
2018.0,spring,LJL,1,PGM,V3,,1.0
2018.0,spring,LJL,1,,,http://www.youtube.com/watch?v=p6cWRkR-xVY,2.0
2018.0,spring,LJL,1,,,http://www.youtube.com/watch?v=KqPePdao82c,3.0
2018.0,spring,LJL,1,USG,RJ,http://www.youtube.com/watch?v=wjMbMdQGpU4,1.0
2018.0,spring,LJL,1,,,http://www.youtube.com/watch?v=xuR8B-3lWbM,2.0
2018.0,spring,LJL,1,DFM,7h,http://www.youtube.com/watch?v=0alAibwBMuU,1.0
2018.0,spring,LJL,1,,,http://www.youtube.com/watch?v=1RebSiF-cDk,2.0
2018.0,spring,LJL,1,,,http://www.youtube.com/watch?v=uYcrBEOmMyo,3.0
2018.0,spring,LJL,2,V3,RJ,http://www.youtube.com/watch?v=vv2_oHb0aps,1.0
2018.0,spring,LJL,2,,,http://www.youtube.com/watch?v=3eN-vESlUYw,2.0
2018.0,spring,LJL,2,,,http://www.youtube.com/watch?v=3KYVjZlJoDM,3.0
2018.0,spring,LJL,2,7h,USG,http://www.youtube.com/watch?v=DrUa26A6UGY,1.0
2018.0,spring,LJL,2,,,http://www.youtube.com/watch?v=UtdCcPSCMhg,2.0
2018.0,spring,LJL,2,PGM,DFM,,1.0
2018.0,spring,LJL,2,,,http://www.youtube.com/watch?v=5KVuPkMTzAs,2.0
2018.0,spring,LJL,3,7h,PGM,,1.0
2018.0,spring,LJL,3,,,http://www.youtube.com/watch?v=UM1txZKg0KI,2.0
2018.0,spring,LJL,3,USG,V3,http://www.youtube.com/watch?v=x5OKH4nLsdA,1.0
2018.0,spring,LJL,3,,,http://www.youtube.com/watch?v=__6wmL6riHg,2.0
2018.0,spring,LJL,3,,,http://www.youtube.com/watch?v=A3dB5-F1Z6c,3.0
2018.0,spring,LJL,3,RJ,DFM,http://www.youtube.com/watch?v=3U8tw27Q9GQ,1.0
2018.0,spring,LJL,3,,,http://www.youtube.com/watch?v=v6cOtDIX7sE,2.0
2018.0,spring,LJL,4,DFM,V3,http://www.youtube.com/watch?v=opgzn01M8Ps,1.0
2018.0,spring,LJL,4,,,http://www.youtube.com/watch?v=jnDvHEHQb3E,2.0
2018.0,spring,LJL,4,PGM,USG,,1.0
2018.0,spring,LJL,4,,,http://www.youtube.com/watch?v=nA7vlzp7OBM,2.0
2018.0,spring,LJL,4,,,http://www.youtube.com/watch?v=w7ltFNJAaWk,3.0
2018.0,spring,LJL,4,7h,RJ,http://www.youtube.com/watch?v=l6v4GbjZZ08,1.0
2018.0,spring,LJL,4,,,http://www.youtube.com/watch?v=NCmsFfU8m-E,2.0
2018.0,spring,LJL,4,,,http://www.youtube.com/watch?v=Ls_q77nKqRY,3.0
2018.0,spring,LJL,5,V3,7h,http://www.youtube.com/watch?v=9OgnT2X8lww,1.0
2018.0,spring,LJL,5,,,http://www.youtube.com/watch?v=0ep7a2ZqRyI,2.0
2018.0,spring,LJL,5,RJ,PGM,,1.0
2018.0,spring,LJL,5,,,http://www.youtube.com/watch?v=bD8jVMEKH90,2.0
2018.0,spring,LJL,5,,,http://www.youtube.com/watch?v=ARQgPM4kRtk,3.0
2018.0,spring,LJL,5,USG,DFM,http://youtube.com/watch?v=jaT-gTZdWU8,1.0
2018.0,spring,LJL,5,,,http://www.youtube.com/watch?v=oflqmtS1XQ8,2.0
2018.0,spring,LJL,6,RJ,USG,http://youtube.com/watch?v=X_YeNu3M2eI,1.0
2018.0,spring,LJL,6,,,http://youtube.com/watch?v=b24h1Zo4VVc,2.0
2018.0,spring,LJL,6,7h,DFM,http://youtube.com/watch?v=wvvvZLNG6RU,1.0
2018.0,spring,LJL,6,,,http://youtube.com/watch?v=en65gLHcCkg,2.0
2018.0,spring,LJL,6,V3,PGM,http://youtube.com/watch?v=HPhUy3DId4w,1.0
2018.0,spring,LJL,6,,,http://youtube.com/watch?v=ZCcUbuOXkMA,2.0
