year,season,league_name,week,team_1,team_2,Blue,Red,MH,PB,Start,set_number
2018.0,summer,LJL,1,V3,BC,V3,BC,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT06/731340?gameHash=f8e26ba91cc7e29b,https://www.youtube.com/watch?v=MTptOsb7w0o&t=8m1s,https://www.youtube.com/watch?v=MTptOsb7w0o&t=14m39s,1.0
2018.0,summer,LJL,1,,,BC,V3,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT06/731357?gameHash=a60fe3f1ccc2dd76&tab=overview,https://www.youtube.com/watch?v=LIGIafGfTbA&t=4m9s,https://www.youtube.com/watch?v=LIGIafGfTbA&t=19m10s,2.0
2018.0,summer,LJL,1,,,V3,BC,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT06/731372?gameHash=73a3bfc63124d746&tab=overview,https://www.youtube.com/watch?v=7C3CtytTwIA&t=3m23s,https://www.youtube.com/watch?v=7C3CtytTwIA&t=10m56s,3.0
2018.0,summer,LJL,1,CGA,USG,CGA,USG,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT06/721591?gameHash=e6a800fbfd194f54&tab=overview,https://www.youtube.com/watch?v=xV5BQoe8JjY&t=5m55s,https://www.youtube.com/watch?v=xV5BQoe8JjY&t=13m8s,1.0
2018.0,summer,LJL,1,,,USG,CGA,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT06/721599?gameHash=08871d121c1fc5f9,https://www.youtube.com/watch?v=p1pDr6oLyaw&t=4m50s,https://www.youtube.com/watch?v=p1pDr6oLyaw&t=11m34s,2.0
2018.0,summer,LJL,1,,,CGA,USG,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT06/721612?gameHash=059c986735fc6db5&tab=overview,https://www.youtube.com/watch?v=aLf5vdZr1uk&t=4m15s,https://www.youtube.com/watch?v=aLf5vdZr1uk&t=10m23s,3.0
2018.0,summer,LJL,1,PGM,DFM,DFM,PGM,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT06/721627?gameHash=1d4d559e3d45a15b&tab=overview,https://www.youtube.com/watch?v=Twtlo-Wc_Lg&t=7m40s,https://www.youtube.com/watch?v=Twtlo-Wc_Lg&t=15m52s,1.0
2018.0,summer,LJL,1,,,DFM,PGM,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT06/721634?gameHash=36495c6e7f7a7e68&tab=overview,https://www.youtube.com/watch?v=lECtBKgujG8&t=5m34s,https://www.youtube.com/watch?v=lECtBKgujG8&t=12m48s,2.0
2018.0,summer,LJL,2,USG,BC,BC,USG,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT06/731537?gameHash=9a369981f26df70e&tab=overview,https://www.youtube.com/watch?v=tYBxAB3n2sw&t=6m30s,https://www.youtube.com/watch?v=tYBxAB3n2sw&t=13m15s,1.0
2018.0,summer,LJL,2,,,BC,USG,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT06/731559?gameHash=3daffc7398f4234c&tab=overview,https://www.youtube.com/watch?v=yRQYzgHhHw4&t=4m45s,https://www.youtube.com/watch?v=yRQYzgHhHw4&t=10m36s,2.0
2018.0,summer,LJL,2,,,BC,USG,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT06/731598?gameHash=2518c65456e7ac21&tab=overview,https://www.youtube.com/watch?v=QytzLoeSI6E&t=3m4s,https://www.youtube.com/watch?v=QytzLoeSI6E&t=9m16s,3.0
2018.0,summer,LJL,2,PGM,V3,V3,PGM,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT06/731608?gameHash=c9ff2e0c3ad5015a&tab=overview,https://www.youtube.com/watch?v=y5MY0IXniC4&t=5m15s,https://www.youtube.com/watch?v=y5MY0IXniC4&t=12m45s,1.0
2018.0,summer,LJL,2,,,V3,PGM,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT06/731641?gameHash=204cf4b92a379184&tab=overview,https://www.youtube.com/watch?v=a5Hn9DGKHjA&t=4m54s,https://www.youtube.com/watch?v=a5Hn9DGKHjA&t=13m16s,2.0
2018.0,summer,LJL,2,,,V3,PGM,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT06/731659?gameHash=b64458e915fbbd8f&tab=overview,https://www.youtube.com/watch?v=c64l8O-NIyc&t=4m46s,https://www.youtube.com/watch?v=c64l8O-NIyc&t=12m9s,3.0
2018.0,summer,LJL,2,DFM,CGA,DFM,CGA,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT06/721757?gameHash=a70a4fc853c8571f&tab=overview,https://www.youtube.com/watch?v=oKroRl3SBg0&t=8m1s,https://www.youtube.com/watch?v=oKroRl3SBg0&t=14m59s,1.0
2018.0,summer,LJL,2,,,CGA,DFM,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT06/721767?gameHash=ba4960a40290c6f9&tab=overview,https://www.youtube.com/watch?v=OX0AzIcyyus&t=4m44s,https://www.youtube.com/watch?v=OX0AzIcyyus&t=12m23s,2.0
2018.0,summer,LJL,3,CGA,PGM,CGA,PGM,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT06/770775?gameHash=a1c9acebf6124dcf&tab=overview,https://youtu.be/ksXyNPJAfVU?t=453,https://youtu.be/ksXyNPJAfVU?t=902,1.0
2018.0,summer,LJL,3,,,CGA,PGM,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT06/770797?gameHash=a276ee05a5f1fcf3&tab=overview,https://youtu.be/e3igDdBi04Y?t=226,https://youtu.be/e3igDdBi04Y?t=675,2.0
