year,season,league_name,week,team_1,team_2,Blue,Red,MH,PB,Start,MVP,set_number
2020.0,summer,LLA,1,ISG,AK,AK,ISG,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT02/1391954?gameHash=6176eab92d185447&tab=overview,https://youtu.be/FnS8ZIQ92kI?t=1,https://youtu.be/FnS8ZIQ92kI?t=433,Grell,1.0
2020.0,summer,LLA,1,XTN,FG,XTN,FG,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT02/1391974?gameHash=b458e3247b4b583f&tab=overview,https://youtu.be/9DPLsPZITuI?t=1,https://youtu.be/9DPLsPZITuI?t=396,Unforgiven,1.0
2020.0,summer,LLA,1,PIX,INF,INF,PIX,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT02/1391996?gameHash=46791e90167df6f3&tab=overview,https://youtu.be/KeyqBaSXLn8?t=1,https://youtu.be/KeyqBaSXLn8?t=454,Straight,1.0
2020.0,summer,LLA,1,R7,UCH,R7,UCH,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT02/1392006?gameHash=722ed94d596c25fa&tab=overview,https://youtu.be/3tqtG0HQfAE?t=1,https://youtu.be/3tqtG0HQfAE?t=526,Cody,1.0
2020.0,summer,LLA,1,PIX,ISG,ISG,PIX,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT02/1392268?gameHash=02abc0f162f116a3&tab=overview,https://youtu.be/C8AQ4VpYH6A?t=2,https://youtu.be/C8AQ4VpYH6A?t=415,Slow,1.0
2020.0,summer,LLA,1,XTN,UCH,XTN,UCH,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT02/1392292?gameHash=7e152d7a7e91300d&tab=overview,https://youtu.be/jZ9sZFWqkug?t=1,https://youtu.be/jZ9sZFWqkug?t=412,Tyr,1.0
2020.0,summer,LLA,1,INF,FG,INF,FG,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT02/1392327?gameHash=355b2e187fe3ad77&tab=overview,https://youtu.be/6iJmy7Dv_bM?t=1,https://youtu.be/6iJmy7Dv_bM?t=501,SolidSnake,1.0
2020.0,summer,LLA,1,R7,AK,AK,R7,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT02/1392355?gameHash=11c0f5699910e0f4&tab=overview,https://youtu.be/45tZ6-s_fKo?t=3474,https://youtu.be/45tZ6-s_fKo?t=3890,Pancake,1.0
2020.0,summer,LLA,2,INF,UCH,UCH,INF,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT02/1394883?gameHash=373c0cabce419f9b&tab=overview,https://youtu.be/JzR04wtOaaM?t=1,https://youtu.be/JzR04wtOaaM?t=357,Cody,1.0
2020.0,summer,LLA,2,ISG,FG,FG,ISG,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT02/1394891?gameHash=fac1f2ec63f1bb25&tab=overview,https://youtu.be/-BSpDpb9fZI?t=1,https://youtu.be/-BSpDpb9fZI?t=450,Baula,1.0
2020.0,summer,LLA,2,XTN,R7,R7,XTN,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT02/1394913?gameHash=93bbed8aee3af36c&tab=overview,https://youtu.be/skuqKtqrIX4?t=1,https://youtu.be/skuqKtqrIX4?t=487,Leza,1.0
2020.0,summer,LLA,2,PIX,AK,PIX,AK,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT02/1394933?gameHash=ecde64d0a157c7cb&tab=overview,https://youtu.be/17MklPKHKuI?t=1,https://youtu.be/17MklPKHKuI?t=356,Grell,1.0
2020.0,summer,LLA,2,FG,AK,FG,AK,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT02/1385363?gameHash=4ce259e9d0599def&tab=overview,https://youtu.be/GUSIuYO9ouo?t=1,https://youtu.be/GUSIuYO9ouo?t=429,Zerito,1.0
2020.0,summer,LLA,2,R7,PIX,PIX,R7,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT02/1385372?gameHash=471ddb6502ec5866,https://youtu.be/Ej1BX9db6aI?t=1,https://youtu.be/Ej1BX9db6aI?t=440,Josedeodo,1.0
2020.0,summer,LLA,2,XTN,INF,INF,XTN,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT02/1385388?gameHash=eb865dd3be792706,https://youtu.be/tB6IvGkIWZY?t=1,https://youtu.be/tB6IvGkIWZY?t=455,Whitelotus,1.0
2020.0,summer,LLA,2,ISG,UCH,ISG,UCH,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT02/1385401?gameHash=a936ce8d4c1a9b3c&tab=overview,https://youtu.be/Sa7inPjP2Pk?t=1,https://youtu.be/Sa7inPjP2Pk?t=385,Jirall,1.0
2020.0,summer,LLA,3,UCH,AK,AK,UCH,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/1411762?gameHash=f76455c8c6b06b4e&tab=overview,https://youtu.be/vLBlJimJ4oc?t=1,https://youtu.be/vLBlJimJ4oc?t=355,Newbie,1.0
2020.0,summer,LLA,3,XTN,ISG,XTN,ISG,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/1411777?gameHash=f058c5062f4c1496&tab=overview,https://www.youtube.com/watch?v=Ac5ur0XbuZ4,https://youtu.be/Ac5ur0XbuZ4?t=382,Seiya,1.0
2020.0,summer,LLA,3,PIX,FG,PIX,FG,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/1411785?gameHash=c28d80f00d5adbc4&tab=overview,https://www.youtube.com/watch?v=r5I_bjTbEAQ,https://youtu.be/r5I_bjTbEAQ?t=427,Nobody,1.0
2020.0,summer,LLA,3,R7,INF,R7,INF,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/1411806?gameHash=4fd77a73799ecc46&tab=overview,https://www.youtube.com/watch?v=dUAGgLYBMeo,https://youtu.be/dUAGgLYBMeo?t=488,Acce,1.0
