year,season,league_name,week,team_1,team_2,Vod,set_number
2017.0,summer,LMS,1,JT,WS,http://www.youtube.com/watch?v=lnfK6tH7BSA#t=1010,1.0
2017.0,summer,LMS,1,,,http://www.youtube.com/watch?v=ocUisKXsbsQ#t=127,2.0
2017.0,summer,LMS,1,MCX,Raise,http://www.youtube.com/watch?v=IsgflFbRMfQ#t=620,1.0
2017.0,summer,LMS,1,,,http://www.youtube.com/watch?v=8XpOVruIPSU#t=58,2.0
2017.0,summer,LMS,1,,,http://www.youtube.com/watch?v=lJpQrs_N9Xo#t=97,3.0
2017.0,summer,LMS,1,JT,HKA,http://www.youtube.com/watch?v=hxp-hSFQQrw#t=1036,1.0
2017.0,summer,LMS,1,,,http://www.youtube.com/watch?v=grpk0tdgacQ#t=99,2.0
2017.0,summer,LMS,1,ahq,WS,http://www.youtube.com/watch?v=vFDYaKU6aRQ#t=588,1.0
2017.0,summer,LMS,1,,,http://www.youtube.com/watch?v=66In0Qjwmv8#t=116,2.0
2017.0,summer,LMS,1,ahq,HKA,http://www.youtube.com/watch?v=NydLlsHFvx4&t=15m41s,1.0
2017.0,summer,LMS,1,,,http://www.youtube.com/watch?v=ETcvSbF9-oc&t=1m13s,2.0
2017.0,summer,LMS,1,,,http://www.youtube.com/watch?v=O3QvPY7y7sk&t=2h21m25s,3.0
2017.0,summer,LMS,1,FBL,Raise,http://www.youtube.com/watch?v=3MXURN3yyx4&t=9m35s,1.0
2017.0,summer,LMS,1,,,http://www.youtube.com/watch?v=KmZpnQBYcbE&t=1m9s,2.0
2017.0,summer,LMS,2,WS,FBL,http://www.youtube.com/watch?v=y4BgCkw7BPI#t=1009,1.0
2017.0,summer,LMS,2,,,http://www.youtube.com/watch?v=fFh_65juyiE#t=132,2.0
2017.0,summer,LMS,2,JT,MCX,http://www.youtube.com/watch?v=5I4Wp8N9aFE#t=933,1.0
2017.0,summer,LMS,2,,,http://www.youtube.com/watch?v=ADXn3WBsXwU#t=109,2.0
2017.0,summer,LMS,2,HKA,Raise,http://www.youtube.com/watch?v=vu-dXAS7nhY#t=790,1.0
2017.0,summer,LMS,2,,,http://www.youtube.com/watch?v=CYPtv0Ju62E#t=156,2.0
2017.0,summer,LMS,2,WS,FW,http://www.youtube.com/watch?v=0mE0M_3Pdm8#t=616,1.0
2017.0,summer,LMS,2,,,http://www.youtube.com/watch?v=AHie8-8Ik6E#t=214,2.0
2017.0,summer,LMS,2,Raise,FW,http://www.youtube.com/watch?v=nt1O24I5GJA#t=909,1.0
2017.0,summer,LMS,2,,,http://www.youtube.com/watch?v=5YSlD4WcKOI#t=96,2.0
