year,season,league_name,week,team_1,team_2,Blue,Red,MH,PB,Start,MVP,set_number
2018.0,summer,LMS,1,MCX,MAD,MCX,MAD,https://matchhistory.na.leagueoflegends.com/en/#match-details/TRTW/1670271?gameHash=0cfd7bf89c526bff&tab=overview,https://youtube.com/watch?v=mtM7X_yLk-w&t=2159,https://youtube.com/watch?v=mtM7X_yLk-w&t=2618,Apex,1.0
2018.0,summer,LMS,1,,,MAD,MCX,https://matchhistory.na.leagueoflegends.com/en/#match-details/TRTW/1670310?gameHash=afea2c02ac8a7813&tab=overview,https://youtube.com/watch?v=mtM7X_yLk-w&t=5794,https://youtube.com/watch?v=mtM7X_yLk-w&t=6304,Uniboy,2.0
2018.0,summer,LMS,1,,,MCX,MAD,https://matchhistory.na.leagueoflegends.com/en/#match-details/TRTW/1670342?gameHash=982775005036cefd&tab=overview,https://youtube.com/watch?v=mtM7X_yLk-w&t=8977,https://youtube.com/watch?v=mtM7X_yLk-w&t=9330,Kongyue,3.0
2018.0,summer,LMS,1,ahq,FW,ahq,FW,https://matchhistory.na.leagueoflegends.com/en/#match-details/TRTW/1670372?gameHash=8c50af5900e7b492&tab=overview,https://youtube.com/watch?v=mtM7X_yLk-w&t=13772,https://youtube.com/watch?v=mtM7X_yLk-w&t=14453,Moojin,1.0
2018.0,summer,LMS,1,,,ahq,FW,https://matchhistory.na.leagueoflegends.com/en/#match-details/TRTW/1670387?gameHash=c868e5b1311965af&tab=overview,https://youtube.com/watch?v=mtM7X_yLk-w&t=17661,https://youtube.com/watch?v=mtM7X_yLk-w&t=18062,SwordArT,2.0
2018.0,summer,LMS,1,Afro,JT,Afro,JT,https://matchhistory.na.leagueoflegends.com/en/#match-details/TRTW/1660361?gameHash=029b7f69f06a3ff3&tab=overview,https://youtube.com/watch?v=liJf9lZ31Vg&t=2242,https://youtube.com/watch?v=liJf9lZ31Vg&t=2763,FoFo,1.0
2018.0,summer,LMS,1,,,JT,Afro,https://matchhistory.na.leagueoflegends.com/en/#match-details/TRTW/1660411?gameHash=4d604df9148ce052&tab=overview,https://youtube.com/watch?v=liJf9lZ31Vg&t=6610,https://youtube.com/watch?v=liJf9lZ31Vg&t=7074,Rest,2.0
2018.0,summer,LMS,1,HKA,GRX,HKA,GRX,https://matchhistory.na.leagueoflegends.com/en/#match-details/TRTW/1660433?gameHash=1dfcbcbb3f8d0587&tab=overview,https://youtube.com/watch?v=liJf9lZ31Vg&t=11798,https://youtube.com/watch?v=liJf9lZ31Vg&t=12223,erssu,1.0
2018.0,summer,LMS,1,,,HKA,GRX,https://matchhistory.na.leagueoflegends.com/en/#match-details/TRTW/1660451?gameHash=627b299dc3e0cc9b&tab=overview,https://youtube.com/watch?v=liJf9lZ31Vg&t=15142,https://youtube.com/watch?v=liJf9lZ31Vg&t=15591,Gemini,2.0
2018.0,summer,LMS,2,FW,MCX,FW,MCX,https://matchhistory.na.leagueoflegends.com/en/#match-details/TRTW/1680022?gameHash=acdcdfe8890d2457&tab=overview,https://youtube.com/watch?v=msyi80blfdo&t=2472,https://youtube.com/watch?v=msyi80blfdo&t=2955,SwordArT,1.0
2018.0,summer,LMS,2,,,MCX,FW,https://matchhistory.na.leagueoflegends.com/en/#match-details/TRTW/1680031?gameHash=27584dba2ae411a3&tab=overview,https://youtube.com/watch?v=msyi80blfdo&t=6198,https://youtube.com/watch?v=msyi80blfdo&t=6681,Maple,2.0
2018.0,summer,LMS,2,ahq,HKA,HKA,ahq,https://matchhistory.na.leagueoflegends.com/en/#match-details/TRTW/1680032?gameHash=ed7ee4c59ae373a1&tab=overview,https://youtube.com/watch?v=msyi80blfdo&t=10510,https://youtube.com/watch?v=msyi80blfdo&t=10973,cyeol,1.0
