year,season,league_name,week,team_1,team_2,Blue,Red,MH,PB,Start,Post,MVP,set_number
2019.0,spring,LMS,1,GRX,JT,GRX,JT,https://matchhistory.euw.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/1010119?gameHash=1aa6b00cb6f2c9e8&tab=overview,https://youtu.be/N2dJ-3Z8r7c?t=1729,https://youtu.be/N2dJ-3Z8r7c?t=2254,https://youtu.be/N2dJ-3Z8r7c?t=5300,FoFo,1.0
2019.0,spring,LMS,1,,,JT,GRX,https://matchhistory.euw.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1031514?gameHash=18ce67afa5171333&tab=overview,https://youtu.be/N2dJ-3Z8r7c?t=6672,https://youtu.be/N2dJ-3Z8r7c?t=7288,https://youtu.be/N2dJ-3Z8r7c?t=9576,Rest,2.0
2019.0,spring,LMS,1,ahq,MAD,ahq,MAD,https://matchhistory.euw.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1031533?gameHash=a496d0b80668809c&tab=overview,https://youtu.be/VjiKfrLzyqg?t=1217,https://youtu.be/VjiKfrLzyqg?t=1814,https://youtu.be/VjiKfrLzyqg?t=4247,Kongyue,1.0
2019.0,spring,LMS,1,,,MAD,ahq,https://matchhistory.euw.leagueoflegends.com/en/#match-details/ESPORTSTMNT02/990401?gameHash=9da9fca931a2c547&tab=overview,https://youtu.be/VjiKfrLzyqg?t=5631,https://youtu.be/VjiKfrLzyqg?t=6219,https://youtu.be/VjiKfrLzyqg?t=7924,Liang,2.0
2019.0,spring,LMS,1,ALF,DG,ALF,DG,https://matchhistory.euw.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1031732?gameHash=20e3faff3e2becf8&tab=overview,https://youtu.be/hrjOkat_EGE?t=1682,https://youtu.be/hrjOkat_EGE?t=2265,https://youtu.be/hrjOkat_EGE?t=3636,JGY,1.0
2019.0,spring,LMS,1,,,ALF,DG,https://matchhistory.euw.leagueoflegends.com/en/#match-details/ESPORTSTMNT02/980537?gameHash=f73412c4b7c6c1da&tab=overview,https://youtu.be/hrjOkat_EGE?t=5072,https://youtu.be/hrjOkat_EGE?t=5760,https://youtu.be/hrjOkat_EGE?t=8338,CaiPi,2.0
2019.0,spring,LMS,1,,,ALF,DG,https://matchhistory.euw.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1031772?gameHash=8a1f5a9a6d15f9b6&tab=overview,https://youtu.be/hrjOkat_EGE?t=9540,https://youtu.be/hrjOkat_EGE?t=10046,https://youtu.be/hrjOkat_EGE?t=11276,JGY,3.0
2019.0,spring,LMS,1,HKA,FW,HKA,FW,https://matchhistory.euw.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1031777?gameHash=40a8eb8f21e1ebf9&tab=overview,https://youtu.be/bMehDH-ZT-U?t=996,https://youtu.be/bMehDH-ZT-U?t=1670,https://youtu.be/bMehDH-ZT-U?t=3335,Bugi,1.0
2019.0,spring,LMS,1,,,HKA,FW,https://matchhistory.euw.leagueoflegends.com/en/#match-details/ESPORTSTMNT02/990635?gameHash=e00afde641621ee7&tab=overview,https://youtu.be/bMehDH-ZT-U?t=4884,https://youtu.be/bMehDH-ZT-U?t=5547,https://youtu.be/bMehDH-ZT-U?t=7450,Unified,2.0
2019.0,spring,LMS,1,,,FW,HKA,https://matchhistory.euw.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1031795?gameHash=399c27d3ee1bebe5&tab=overview,https://youtu.be/bMehDH-ZT-U?t=8695,https://youtu.be/bMehDH-ZT-U?t=9316,https://youtu.be/bMehDH-ZT-U?t=10915,Rather,3.0
