year,season,league_name,week,team_1,team_2,Vod,set_number
2017.0,spring,LPL,1,RNG,IM,http://www.youtube.com/watch?v=PqRmgWtEY5M,1.0
2017.0,spring,LPL,1,,,http://www.youtube.com/watch?v=50utF94rXIU,2.0
2017.0,spring,LPL,1,iG,OMG,http://www.youtube.com/watch?v=NGI0hnVW5YM,1.0
2017.0,spring,LPL,1,,,http://www.youtube.com/watch?v=XQoNXsnnxk0,2.0
2017.0,spring,LPL,1,WE,NB,http://www.youtube.com/watch?v=LLnmdteneY8,1.0
2017.0,spring,LPL,1,,,http://www.youtube.com/watch?v=Z8sFsfimC4c,2.0
2017.0,spring,LPL,1,,,http://www.youtube.com/watch?v=7x07pTUTvRY,3.0
2017.0,spring,LPL,1,EDG,VG,http://www.youtube.com/watch?v=iVoV39Gw-Ig,1.0
2017.0,spring,LPL,1,,,http://www.youtube.com/watch?v=HfOSCfGRhVM,2.0
2017.0,spring,LPL,1,IM,LGD,http://www.youtube.com/watch?v=TAv5I7DY0Mk,1.0
2017.0,spring,LPL,1,,,http://www.youtube.com/watch?v=6ldzpxd6KY4,2.0
2017.0,spring,LPL,1,,,http://www.youtube.com/watch?v=cCqcDSO5_mI,3.0
2017.0,spring,LPL,1,SS,iG,http://www.youtube.com/watch?v=iHhPEyZ2wCw,1.0
2017.0,spring,LPL,1,,,http://www.youtube.com/watch?v=DnkcEdVSc1s,2.0
2017.0,spring,LPL,1,,,http://www.youtube.com/watch?v=HvY_MU5KILE,3.0
2017.0,spring,LPL,1,RNG,OMG,http://www.youtube.com/watch?v=EE7KQ588tYQ,1.0
2017.0,spring,LPL,1,,,http://www.youtube.com/watch?v=1KvGWezcO1g,2.0
2017.0,spring,LPL,1,,,http://www.youtube.com/watch?v=as7UWj9_irM,3.0
2017.0,spring,LPL,1,GT,QGR,http://www.youtube.com/watch?v=kO0UaT6vBmc,1.0
2017.0,spring,LPL,1,,,http://www.youtube.com/watch?v=a8nsHjRqopQ,2.0
2017.0,spring,LPL,1,VG,NB,http://www.youtube.com/watch?v=ShbNT0WW8G0,1.0
2017.0,spring,LPL,1,,,http://www.youtube.com/watch?v=jvEuK1JjQpY,2.0
2017.0,spring,LPL,1,,,http://www.youtube.com/watch?v=pUaltjUh4Ck,3.0
2017.0,spring,LPL,1,EDG,WE,http://www.youtube.com/watch?v=1tYIYtsVxzo,1.0
2017.0,spring,LPL,1,,,http://www.youtube.com/watch?v=rn-YKysRjZU,2.0
2017.0,spring,LPL,2,IM,SS,http://www.youtube.com/watch?v=Ka3nrJWV1nM,1.0
2017.0,spring,LPL,2,,,http://www.youtube.com/watch?v=kObcuXn3gRQ,2.0
2017.0,spring,LPL,2,LGD,OMG,http://www.youtube.com/watch?v=UuWjHgv6KvA,1.0
2017.0,spring,LPL,2,,,http://www.youtube.com/watch?v=qvrn8xJvCY4,2.0
2017.0,spring,LPL,2,EDG,GT,http://www.youtube.com/watch?v=aurXxtnhZ_c,1.0
