year,season,league_name,week,team_1,team_2,Vod,set_number
2017.0,summer,LPL,1,RNG,OMG,http://www.youtube.com/watch?v=C_Triq3sLWg,1.0
2017.0,summer,LPL,1,,,http://www.youtube.com/watch?v=I1iz7nAcCn0,2.0
2017.0,summer,LPL,1,LGD,JDG,http://www.youtube.com/watch?v=dnNDNPslCJY,1.0
2017.0,summer,LPL,1,,,http://www.youtube.com/watch?v=fardBq4nUtI,2.0
2017.0,summer,LPL,1,EDG,DAN,http://www.youtube.com/watch?v=Bs9TiHnah_Q,1.0
2017.0,summer,LPL,1,,,http://www.youtube.com/watch?v=LmbUOiumy90,2.0
2017.0,summer,LPL,1,WE,iG,http://www.youtube.com/watch?v=LcSbcL3UQ0k,1.0
2017.0,summer,LPL,1,,,http://www.youtube.com/watch?v=2siieW7clWQ,2.0
2017.0,summer,LPL,1,,,http://www.youtube.com/watch?v=BFR1sdGyIeE,3.0
2017.0,summer,LPL,1,SN,NB,http://www.youtube.com/watch?v=GixLeWFJ22Q,1.0
2017.0,summer,LPL,1,,,http://www.youtube.com/watch?v=Fw2COSYOTCs,2.0
2017.0,summer,LPL,1,,,http://www.youtube.com/watch?v=6cVTJtX4gvs,3.0
2017.0,summer,LPL,1,OMG,JDG,http://www.youtube.com/watch?v=RlubfZrq4fc,1.0
2017.0,summer,LPL,1,,,http://www.youtube.com/watch?v=QLEcO6anOHw,2.0
2017.0,summer,LPL,1,,,http://www.youtube.com/watch?v=qyCDsSGlYy8,3.0
2017.0,summer,LPL,1,RNG,LGD,http://www.youtube.com/watch?v=cyr3Ek-xKAw,1.0
2017.0,summer,LPL,1,,,http://www.youtube.com/edit?o=U&video_id=LiFLwKRQFIg,2.0
2017.0,summer,LPL,1,,,http://www.youtube.com/watch?v=ElHCzfsV1nE,3.0
2017.0,summer,LPL,1,EDG,SS,http://www.youtube.com/watch?v=rQOQxEL3gBM,1.0
2017.0,summer,LPL,1,,,http://www.youtube.com/watch?v=lfXEClbtn0k,2.0
2017.0,summer,LPL,1,WE,DAN,http://www.youtube.com/watch?v=1fRamNPj7r0,1.0
2017.0,summer,LPL,1,,,http://www.youtube.com/watch?v=lZZk_2S7R3o,2.0
2017.0,summer,LPL,1,IM,iG,http://www.youtube.com/watch?v=rT8pcaR2WgY,1.0
2017.0,summer,LPL,1,,,http://www.youtube.com/watch?v=LIM83vTu7jI,2.0
2017.0,summer,LPL,1,,,http://www.youtube.com/watch?v=HnzTekv9JjQ,3.0
2017.0,summer,LPL,2,SS,DAN,http://www.youtube.com/watch?v=ez9WomNUrhU#t=2834,1.0
2017.0,summer,LPL,2,,,http://www.youtube.com/watch?v=ez9WomNUrhU#t=7115,2.0
2017.0,summer,LPL,2,EDG,IM,http://www.youtube.com/watch?v=ez9WomNUrhU#t=11220,1.0
2017.0,summer,LPL,2,,,http://www.youtube.com/watch?v=ez9WomNUrhU#t=14014,2.0
2017.0,summer,LPL,2,OMG,SN,http://www.youtube.com/watch?v=fGq7-lsl8_s#t=2974,1.0
2017.0,summer,LPL,2,,,http://www.youtube.com/watch?v=fGq7-lsl8_s#t=6918,2.0
2017.0,summer,LPL,2,,,http://www.youtube.com/watch?v=fGq7-lsl8_s#t=10028,3.0
2017.0,summer,LPL,2,NB,JDG,http://www.youtube.com/watch?v=fGq7-lsl8_s#t=14863,1.0
2017.0,summer,LPL,2,,,http://www.youtube.com/watch?v=fGq7-lsl8_s#t=18412,2.0
2017.0,summer,LPL,2,,,,3.0
2017.0,summer,LPL,2,IM,DAN,http://www.youtube.com/watch?v=RRl3hdHd7nI#t=2113,1.0
2017.0,summer,LPL,2,,,http://www.youtube.com/watch?v=RRl3hdHd7nI#t=4932,2.0
2017.0,summer,LPL,2,EDG,iG,http://www.youtube.com/watch?v=RRl3hdHd7nI#t=9077,1.0
2017.0,summer,LPL,2,,,http://www.youtube.com/watch?v=RRl3hdHd7nI#t=12203,2.0
2017.0,summer,LPL,2,WE,SS,http://www.youtube.com/watch?v=RRl3hdHd7nI,1.0
2017.0,summer,LPL,2,,,http://www.youtube.com/watch?v=RRl3hdHd7nI#t=19845,2.0
2017.0,summer,LPL,2,,,http://www.youtube.com/watch?v=RRl3hdHd7nI#t=22765,3.0
2017.0,summer,LPL,2,OMG,LGD,http://www.youtube.com/watch?v=-PvaAHbYGZ4#t=3812,1.0
2017.0,summer,LPL,2,,,http://www.youtube.com/watch?v=-PvaAHbYGZ4#t=6980,2.0
2017.0,summer,LPL,2,RNG,NB,http://www.youtube.com/watch?v=-PvaAHbYGZ4#t=10669,1.0
2017.0,summer,LPL,2,,,http://www.youtube.com/watch?v=-PvaAHbYGZ4#t=14611,2.0
2017.0,summer,LPL,2,,,http://www.youtube.com/watch?v=-PvaAHbYGZ4#t=17744,3.0
2017.0,summer,LPL,2,SN,JDG,http://www.youtube.com/watch?v=-PvaAHbYGZ4#t=21570,1.0
2017.0,summer,LPL,2,,,http://www.youtube.com/watch?v=-PvaAHbYGZ4#t=25012,2.0
2017.0,summer,LPL,2,,,http://www.youtube.com/watch?v=-PvaAHbYGZ4#t=28511,3.0
2017.0,summer,LPL,3,WE,IM,http://www.youtube.com/watch?v=NY3m1Y9vJO8#t=3764,1.0
2017.0,summer,LPL,3,,,http://www.youtube.com/watch?v=NY3m1Y9vJO8#t=7075,2.0
2017.0,summer,LPL,3,iG,SS,http://www.youtube.com/watch?v=NY3m1Y9vJO8#t=10959,1.0
2017.0,summer,LPL,3,,,http://www.youtube.com/watch?v=NY3m1Y9vJO8#t=14422,2.0
2017.0,summer,LPL,3,LGD,NB,http://www.youtube.com/watch?v=lGpqoLjoL7g&t=1h8m1s,1.0
2017.0,summer,LPL,3,,,http://www.youtube.com/watch?v=lGpqoLjoL7g&t=1h56m9s,2.0
2017.0,summer,LPL,3,,,http://www.youtube.com/watch?v=lGpqoLjoL7g&t=2h45m17s,3.0
2017.0,summer,LPL,3,RNG,SN,http://www.youtube.com/watch?v=lGpqoLjoL7g&t=3h42m22s,1.0
2017.0,summer,LPL,3,,,http://www.youtube.com/watch?v=lGpqoLjoL7g&t=4h35m44s,2.0
2017.0,summer,LPL,3,,,http://www.youtube.com/watch?v=lGpqoLjoL7g&t=5h38m12s,3.0
2017.0,summer,LPL,3,iG,DAN,http://www.youtube.com/watch?v=1qzmdTz8Vu4&t=1h10m36s,1.0
2017.0,summer,LPL,3,,,http://www.youtube.com/watch?v=1qzmdTz8Vu4&t=2h1m1s,2.0
2017.0,summer,LPL,3,IM,SS,http://www.youtube.com/watch?v=1qzmdTz8Vu4&t=3h8m29s,1.0
2017.0,summer,LPL,3,,,http://www.youtube.com/watch?v=1qzmdTz8Vu4&t=4h3m6s,2.0
2017.0,summer,LPL,3,,,http://www.youtube.com/watch?v=1qzmdTz8Vu4&t=4h49m55s,3.0
2017.0,summer,LPL,3,WE,EDG,http://www.youtube.com/watch?v=1qzmdTz8Vu4&t=5h55m2s,1.0
2017.0,summer,LPL,3,,,http://www.youtube.com/watch?v=1qzmdTz8Vu4&t=6h42m6s,2.0
2017.0,summer,LPL,3,,,http://www.youtube.com/watch?v=1qzmdTz8Vu4&t=7h39m7s,3.0
2017.0,summer,LPL,3,OMG,NB,http://www.youtube.com/watch?v=jc9sjZH9fvI&t=1h5m53s,1.0
2017.0,summer,LPL,3,,,http://www.youtube.com/watch?v=jc9sjZH9fvI&t=2h10m46s,2.0
2017.0,summer,LPL,3,LGD,SN,http://www.youtube.com/watch?v=jc9sjZH9fvI&t=3h22m22s,1.0
2017.0,summer,LPL,3,,,http://www.youtube.com/watch?v=jc9sjZH9fvI&t=4h35m2s,2.0
2017.0,summer,LPL,3,,,http://www.youtube.com/watch?v=jc9sjZH9fvI&t=5h28m57s,3.0
2017.0,summer,LPL,3,RNG,JDG,http://www.youtube.com/watch?v=jc9sjZH9fvI&t=6h43m24s,1.0
2017.0,summer,LPL,3,,,http://www.youtube.com/watch?v=jc9sjZH9fvI&t=7h37m8s,2.0
2017.0,summer,LPL,4,DAN,RNG,http://www.youtube.com/watch?v=28dn3p-lEUI&t=58m58s,1.0
2017.0,summer,LPL,4,,,http://www.youtube.com/watch?v=28dn3p-lEUI&t=2h6m22s,2.0
2017.0,summer,LPL,4,iG,JDG,http://www.youtube.com/watch?v=28dn3p-lEUI&t=2h55m57s,1.0
2017.0,summer,LPL,4,,,http://www.youtube.com/watch?v=28dn3p-lEUI&t=4h5m39s,2.0
2017.0,summer,LPL,4,,,http://www.youtube.com/watch?v=28dn3p-lEUI&t=4h54m22s,3.0
2017.0,summer,LPL,4,NB,IM,http://www.youtube.com/watch?v=Y5A6wXT4zEA&t=1h0m40s,1.0
2017.0,summer,LPL,4,,,http://www.youtube.com/watch?v=Y5A6wXT4zEA&t=1h59m45s,2.0
2017.0,summer,LPL,4,WE,LGD,http://www.youtube.com/watch?v=Y5A6wXT4zEA&t=3h24m47s,1.0
2017.0,summer,LPL,4,,,http://www.youtube.com/watch?v=Y5A6wXT4zEA&t=4h27m51s,2.0
2017.0,summer,LPL,4,,,http://www.youtube.com/watch?v=Y5A6wXT4zEA&t=5h22m1s,3.0
2017.0,summer,LPL,4,JDG,SS,http://www.youtube.com/watch?v=0Kj2Nl49plY&t=59m52s,1.0
2017.0,summer,LPL,4,,,http://www.youtube.com/watch?v=0Kj2Nl49plY&t=1h56m57s,2.0
2017.0,summer,LPL,4,SN,iG,http://www.youtube.com/watch?v=0Kj2Nl49plY&t=3h6m46s,1.0
2017.0,summer,LPL,4,,,http://www.youtube.com/watch?v=0Kj2Nl49plY&t=3h54m8s,2.0
2017.0,summer,LPL,4,,,http://www.youtube.com/watch?v=0Kj2Nl49plY&t=4h48m37s,3.0
2017.0,summer,LPL,4,OMG,DAN,http://www.youtube.com/watch?v=0Kj2Nl49plY&t=5h49m4s,1.0
2017.0,summer,LPL,4,,,http://www.youtube.com/watch?v=0Kj2Nl49plY&t=6h40m48s,2.0
2017.0,summer,LPL,4,,,http://www.youtube.com/watch?v=0Kj2Nl49plY&t=7h27m50s,3.0
2017.0,summer,LPL,4,NB,WE,http://www.youtube.com/watch?v=qwBUmxpzPKM&t=9m41s,1.0
2017.0,summer,LPL,4,,,http://www.youtube.com/watch?v=qwBUmxpzPKM&t=1h5m22s,2.0
2017.0,summer,LPL,4,,,http://www.youtube.com/watch?v=qwBUmxpzPKM&t=1h53m3s,3.0
2017.0,summer,LPL,4,RNG,EDG,http://www.youtube.com/watch?v=qwBUmxpzPKM&t=3h2m5s,1.0
2017.0,summer,LPL,4,,,http://www.youtube.com/watch?v=qwBUmxpzPKM&t=4h3m43s,2.0
2017.0,summer,LPL,5,JDG,IM,http://www.youtube.com/watch?v=fsbWDdwVekw&t=55m59s,1.0
2017.0,summer,LPL,5,,,http://www.youtube.com/watch?v=fsbWDdwVekw&t=1h45m49s,2.0
2017.0,summer,LPL,5,,,http://www.youtube.com/watch?v=fsbWDdwVekw&t=2h39m23s,3.0
2017.0,summer,LPL,5,LGD,DAN,http://www.youtube.com/watch?v=fsbWDdwVekw&t=3h46m12s,1.0
2017.0,summer,LPL,5,,,http://www.youtube.com/watch?v=fsbWDdwVekw&t=4h35m14s,2.0
2017.0,summer,LPL,5,,,http://www.youtube.com/watch?v=fsbWDdwVekw&t=5h51m21s,3.0
2017.0,summer,LPL,5,EDG,NB,http://www.youtube.com/watch?v=Zk6q1mwBm5w&t=6m27s,1.0
2017.0,summer,LPL,5,,,http://www.youtube.com/watch?v=Zk6q1mwBm5w&t=1h4m49s,2.0
2017.0,summer,LPL,5,RNG,iG,http://www.youtube.com/watch?v=Zk6q1mwBm5w&t=2h11m54s,1.0
2017.0,summer,LPL,5,,,http://www.youtube.com/watch?v=Zk6q1mwBm5w&t=3h11m13s,2.0
2017.0,summer,LPL,5,,,http://www.youtube.com/watch?v=Zk6q1mwBm5w&t=4h7m34s,3.0
2017.0,summer,LPL,5,IM,LGD,http://www.youtube.com/watch?v=_pGwgtS1Pl8&t=1h1m37s,1.0
2017.0,summer,LPL,5,,,http://www.youtube.com/watch?v=_pGwgtS1Pl8&t=2h1m34s,2.0
2017.0,summer,LPL,5,DAN,SN,http://www.youtube.com/watch?v=_pGwgtS1Pl8&t=2h59m29s,1.0
2017.0,summer,LPL,5,,,http://www.youtube.com/watch?v=_pGwgtS1Pl8&t=3h49m7s,2.0
2017.0,summer,LPL,5,,,http://www.youtube.com/watch?v=_pGwgtS1Pl8&t=4h39m35s,3.0
2017.0,summer,LPL,5,WE,JDG,http://www.youtube.com/watch?v=_pGwgtS1Pl8&t=5h54m47s,1.0
2017.0,summer,LPL,5,,,http://www.youtube.com/watch?v=_pGwgtS1Pl8&t=7h7m1s,2.0
2017.0,summer,LPL,5,SS,NB,http://www.youtube.com/watch?v=oVhejOuJXnA&t=1h7m26s,1.0
2017.0,summer,LPL,5,,,http://www.youtube.com/watch?v=oVhejOuJXnA&t=2h14m13s,2.0
2017.0,summer,LPL,5,,,http://www.youtube.com/watch?v=oVhejOuJXnA&t=3h11m2s,3.0
2017.0,summer,LPL,5,EDG,OMG,http://www.youtube.com/watch?v=oVhejOuJXnA&t=4h21m34s,1.0
2017.0,summer,LPL,5,,,http://www.youtube.com/watch?v=oVhejOuJXnA&t=5h10m44s,2.0
2017.0,summer,LPL,6,EDG,JDG,http://ev.wtf/bbo,1.0
2017.0,summer,LPL,6,,,http://ev.wtf/bbp,2.0
2017.0,summer,LPL,6,OMG,SS,http://ev.wtf/bbq,1.0
2017.0,summer,LPL,6,,,http://ev.wtf/bbr,2.0
2017.0,summer,LPL,6,IM,SN,http://ev.wtf/bbu,1.0
2017.0,summer,LPL,6,,,http://ev.wtf/bbv,2.0
2017.0,summer,LPL,6,NB,iG,http://ev.wtf/bby,1.0
