year,season,league_name,week,team_1,team_2,Blue,Red,MH,PB,Start,HL,MVP,set_number
2018.0,spring,LPL,1,iG,RNG,iG,RNG,https://lpl.qq.com/es/stats.shtml?bmid=2899,https://www.youtube.com/watch?v=3G2YHK44YqM&t=1h35m43s,https://www.youtube.com/watch?v=3G2YHK44YqM&t=1h42m14s,https://www.youtube.com/watch?v=hq1OPqd81-Y&t=10s,RooKie,1.0
2018.0,spring,LPL,1,,,RNG,iG,https://lpl.qq.com/es/stats.shtml?bmid=2899,https://www.youtube.com/watch?v=3G2YHK44YqM&t=2h24m5s,https://www.youtube.com/watch?v=3G2YHK44YqM&t=2h32m2s,https://www.youtube.com/watch?v=RnNtsUqZmWc&t=10s,Ming,2.0
2018.0,spring,LPL,1,,,iG,RNG,https://lpl.qq.com/es/stats.shtml?bmid=2899,https://www.youtube.com/watch?v=3G2YHK44YqM&t=3h13m22s,https://www.youtube.com/watch?v=3G2YHK44YqM&t=3h20m12s,https://www.youtube.com/watch?v=UKRJTCw6Xy4&t=10s,Xiaohu,3.0
2018.0,spring,LPL,1,TOP,SN,TOP,SN,https://lpl.qq.com/es/stats.shtml?bmid=2900,https://www.youtube.com/watch?v=3G2YHK44YqM&t=4h15m51s,https://www.youtube.com/watch?v=3G2YHK44YqM&t=4h22m12s,https://www.youtube.com/watch?v=FWbMfUTCsUE&t=10s,Fury,1.0
2018.0,spring,LPL,1,,,TOP,SN,https://lpl.qq.com/es/stats.shtml?bmid=2900,https://www.youtube.com/watch?v=3G2YHK44YqM&t=5h12m44s,https://www.youtube.com/watch?v=3G2YHK44YqM&t=5h19m16s,https://www.youtube.com/watch?v=4pcXXUIFe5w&t=10s,XiaoAL,2.0
2018.0,spring,LPL,1,VG,BLG,BLG,VG,https://lpl.qq.com/es/stats.shtml?bmid=2901,https://youtube.com/watch?v=GILb4rLmFD0&t=422,https://youtube.com/watch?v=GILb4rLmFD0&t=738,https://www.youtube.com/watch?v=aOc69GBRemw&t=10s,AmazingJ,1.0
2018.0,spring,LPL,1,,,BLG,VG,https://lpl.qq.com/es/stats.shtml?bmid=2901,https://youtube.com/watch?v=z2kEvUUMJ6Y&t=339,https://youtube.com/watch?v=z2kEvUUMJ6Y&t=750,https://www.youtube.com/watch?v=wDq5UyMJRZI&t=10s,AmazingJ,2.0
2018.0,spring,LPL,1,FPX,EDG,FPX,EDG,https://lpl.qq.com/es/stats.shtml?bmid=2902,https://youtube.com/watch?v=SMAGWHpJFEE&t=635,https://youtube.com/watch?v=SMAGWHpJFEE&t=1031,https://www.youtube.com/watch?v=eWOTP5HgoQE&t=10s,Scout,1.0
2018.0,spring,LPL,1,,,FPX,EDG,https://lpl.qq.com/es/stats.shtml?bmid=2902,https://youtube.com/watch?v=eJWc70HLG0U&t=298,https://youtube.com/watch?v=eJWc70HLG0U&t=658,https://www.youtube.com/watch?v=NrSFcBW-wFc&t=10s,Scout,2.0
2018.0,spring,LPL,1,RW,TOP,RW,TOP,https://lpl.qq.com/es/stats.shtml?bmid=2903,https://www.youtube.com/watch?v=9t8k3YlcU74&t=203s,https://www.youtube.com/watch?v=9t8k3YlcU74&t=621,https://www.youtube.com/watch?v=hF9BbIadF0Q&t=10,doinb,1.0
2018.0,spring,LPL,1,,,RW,TOP,https://lpl.qq.com/es/stats.shtml?bmid=2903,https://www.youtube.com/watch?v=CNfoPWr8FUo&t=277,https://www.youtube.com/watch?v=CNfoPWr8FUo&t=735,https://www.youtube.com/watch?v=vrB6cYZg5DU&t=10,Flawless,2.0
2018.0,spring,LPL,1,JDG,LGD,JDG,LGD,https://lpl.qq.com/es/stats.shtml?bmid=2904,https://www.youtube.com/watch?v=NWPhkJF57vA&t=220,https://www.youtube.com/watch?v=NWPhkJF57vA&t=631,https://www.youtube.com/watch?v=lDSLYIast-s&t=10,YaGao,1.0
2018.0,spring,LPL,1,,,LGD,JDG,https://lpl.qq.com/es/stats.shtml?bmid=2904,https://www.youtube.com/watch?v=arA1ad532eo&t=370,https://www.youtube.com/watch?v=arA1ad532eo&t=829,https://www.youtube.com/watch?v=iKGhy2KYF3Y&t=10,Clid,2.0
2018.0,spring,LPL,1,OMG,WE,OMG,WE,https://lpl.qq.com/es/stats.shtml?bmid=2905,https://www.youtube.com/watch?v=02_CArLWPM8&t=1h11m54s,https://www.youtube.com/watch?v=02_CArLWPM8&t=1h19m36s,https://www.youtube.com/watch?v=SPVeHkgQzis&t=10s,Xiye,1.0
2018.0,spring,LPL,1,,,OMG,WE,https://lpl.qq.com/es/stats.shtml?bmid=2905,https://www.youtube.com/watch?v=02_CArLWPM8&t=2h6m38s,https://www.youtube.com/watch?v=02_CArLWPM8&t=2h13m42s,https://www.youtube.com/watch?v=hg-MRglJ7ac&t=10s,Xiye,2.0
2018.0,spring,LPL,1,FPX,SS,FPX,SS,https://lpl.qq.com/es/stats.shtml?bmid=2906,https://www.youtube.com/watch?v=02_CArLWPM8&t=3h3m16s,https://www.youtube.com/watch?v=02_CArLWPM8&t=3h11m28s,https://www.youtube.com/watch?v=KxPdoEadW8s&t=10s,Pepper,1.0
2018.0,spring,LPL,1,,,SS,FPX,https://lpl.qq.com/es/stats.shtml?bmid=2906,https://www.youtube.com/watch?v=02_CArLWPM8&t=4h8m6s,https://www.youtube.com/watch?v=02_CArLWPM8&t=4h15m30s,https://www.youtube.com/watch?v=2SUYlcg_i-0&t=10s,SofM,2.0
2018.0,spring,LPL,1,,,FPX,SS,https://lpl.qq.com/es/stats.shtml?bmid=2906,https://www.youtube.com/watch?v=02_CArLWPM8&t=5h10m19s,https://www.youtube.com/watch?v=02_CArLWPM8&t=5h17m21s,https://www.youtube.com/watch?v=2j8Yvpg4Xq4&t=10s,lwx,3.0
