year,season,league_name,week,team_1,team_2,Blue,Red,MH,PB,Start,HL,MVP,Post,set_number
2018.0,summer,LPL,1,JDG,iG,iG,JDG,https://lpl.qq.com/es/stats.shtml?bmid=3547,https://www.youtube.com/watch?v=DMXaJOyl62Y&t=23m3s,https://www.youtube.com/watch?v=DMXaJOyl62Y&t=30m58s,https://www.youtube.com/watch?v=Y0ToNUTe-VI&t=10s,Ning,,1.0
2018.0,summer,LPL,1,,,iG,JDG,https://lpl.qq.com/es/stats.shtml?bmid=3547,https://www.youtube.com/watch?v=Sd6hrs14DNQ&t=1m8s,https://www.youtube.com/watch?v=Sd6hrs14DNQ&t=9m9s,https://www.youtube.com/watch?v=qX0bC74TKsM&t=10s,YaGao,,2.0
2018.0,summer,LPL,1,,,JDG,iG,https://lpl.qq.com/es/stats.shtml?bmid=3547,https://www.youtube.com/watch?v=BaUUKiEp2RI&t=1m8s,https://www.youtube.com/watch?v=BaUUKiEp2RI&t=7m13s,https://www.youtube.com/watch?v=Ud6bAtUOaFY&t=10s,Rookie,,3.0
2018.0,summer,LPL,1,VG,BLG,VG,BLG,https://lpl.qq.com/es/stats.shtml?bmid=3548,https://www.youtube.com/watch?v=0yc0b4C6m34&t=8m5s,https://www.youtube.com/watch?v=0yc0b4C6m34&t=25m44s,https://www.youtube.com/watch?v=kuc6Bbis6to,Road,,1.0
2018.0,summer,LPL,1,,,BLG,VG,https://lpl.qq.com/es/stats.shtml?bmid=3548,https://www.youtube.com/watch?v=LlpH0h3wz8w&t=41s,https://www.youtube.com/watch?v=LlpH0h3wz8w&t=7m57s,https://www.youtube.com/watch?v=cwNkWbRT5ts,Caveman,,2.0
2018.0,summer,LPL,1,,,VG,BLG,https://lpl.qq.com/es/stats.shtml?bmid=3548,https://www.youtube.com/watch?v=cYcLAlqTDCw&t=6m34s,https://www.youtube.com/watch?v=cYcLAlqTDCw&t=14m40s,https://www.youtube.com/watch?v=pzyqOKzKfnY,Athena,,3.0
2018.0,summer,LPL,1,OMG,SS,SS,OMG,https://lpl.qq.com/es/stats.shtml?bmid=3549,https://www.youtube.com/watch?v=PAIVgkbBiNo,https://www.youtube.com/watch?v=PAIVgkbBiNo&t=8m55s,https://www.youtube.com/watch?v=SKvJvOUHDPA&t=10s,Five,,1.0
2018.0,summer,LPL,1,,,SS,OMG,https://lpl.qq.com/es/stats.shtml?bmid=3549,https://www.youtube.com/watch?v=YplG4ORHGAQ,https://www.youtube.com/watch?v=YplG4ORHGAQ&t=7m40s,https://www.youtube.com/watch?v=j3Gb2rSGyRo&t=10s,SofM,,2.0
2018.0,summer,LPL,1,,,SS,OMG,https://lpl.qq.com/es/stats.shtml?bmid=3549,https://www.youtube.com/watch?v=YplG4ORHGAQ&t=1h4m2s,https://www.youtube.com/watch?v=YplG4ORHGAQ&t=1h12m7s,https://www.youtube.com/watch?v=e8PJxezTaXk&t=10s,Icon,,3.0
2018.0,summer,LPL,1,TOP,RW,TOP,RW,https://lpl.qq.com/es/stats.shtml?bmid=3550,http://lpl.qq.com/es/video_detail.shtml?nid=22794,,,doinb,,1.0
