year,season,league_name,week,team_1,team_2,Blue,Red,MH,PB,Start,Post,HL,MVP,set_number
2020.0,spring,LPL,1,iG,FPX,iG,FPX,https://lpl.qq.com/es/stats.shtml?bmid=5655,https://www.youtube.com/watch?v=V0s6FQFvONc&t=01h12m27s,https://www.youtube.com/watch?v=V0s6FQFvONc&t=01h21m40s,https://www.youtube.com/watch?v=V0s6FQFvONc&t=02h04m47s,https://www.youtube.com/watch?v=oBkaJcSsfBQ&t=10s,TheShy,1.0
2020.0,spring,LPL,1,,,iG,FPX,https://lpl.qq.com/es/stats.shtml?bmid=5655,https://www.youtube.com/watch?v=V0s6FQFvONc&t=02h25m58s,https://www.youtube.com/watch?v=V0s6FQFvONc&t=02h34m00s,https://www.youtube.com/watch?v=V0s6FQFvONc&t=03h03m35s,https://www.youtube.com/watch?v=ywSbtybVD74&t=10s,Khan,2.0
2020.0,spring,LPL,1,,,iG,FPX,https://lpl.qq.com/es/stats.shtml?bmid=5655,https://www.youtube.com/watch?v=V0s6FQFvONc&t=03h20m18s,https://www.youtube.com/watch?v=V0s6FQFvONc&t=03h28m11s,https://www.youtube.com/watch?v=V0s6FQFvONc&t=03h59m41s,https://www.youtube.com/watch?v=YcR7ET6VqQ4&t=10s,TheShy,3.0
2020.0,spring,LPL,1,LGD,LNG,LGD,LNG,https://lpl.qq.com/es/stats.shtml?bmid=5656,https://www.youtube.com/watch?v=V0s6FQFvONc&t=04h09m16s,https://www.youtube.com/watch?v=V0s6FQFvONc&t=04h10m39s,https://www.youtube.com/watch?v=V0s6FQFvONc&t=04h47m50s,https://www.youtube.com/watch?v=c_Bz27x9tXc&t=10s,Kramer,1.0
2020.0,spring,LPL,1,,,LNG,LGD,https://lpl.qq.com/es/stats.shtml?bmid=5656,https://www.youtube.com/watch?v=V0s6FQFvONc&t=04h59m02s,https://www.youtube.com/watch?v=V0s6FQFvONc&t=04h59m49s,https://www.youtube.com/watch?v=V0s6FQFvONc&t=05h24m31s,https://www.youtube.com/watch?v=HjcndeL68XM&t=10s,Duan,2.0
2020.0,spring,LPL,1,,,LGD,LNG,https://lpl.qq.com/es/stats.shtml?bmid=5656,https://www.youtube.com/watch?v=V0s6FQFvONc&t=05h30m24s,https://www.youtube.com/watch?v=V0s6FQFvONc&t=05h31m20s,https://www.youtube.com/watch?v=V0s6FQFvONc&t=06h05m49s,https://www.youtube.com/watch?v=REkZj8fXpJA&t=10s,Flandre,3.0
2020.0,spring,LPL,1,ES,RW,ES,RW,https://lpl.qq.com/es/stats.shtml?bmid=5657,https://youtu.be/XSrTWh7EH10?t=4481,https://youtu.be/XSrTWh7EH10?t=4875,https://youtu.be/XSrTWh7EH10?t=6897,https://youtu.be/z1hxDPqP1hQ?t=10,Wink,1.0
2020.0,spring,LPL,1,,,RW,ES,https://lpl.qq.com/es/stats.shtml?bmid=5657,https://youtu.be/XSrTWh7EH10?t=8085,https://youtu.be/XSrTWh7EH10?t=8463,https://youtu.be/XSrTWh7EH10?t=10356,https://youtu.be/m-VJeaVWnhA?t=10,Cryin,2.0
2020.0,spring,LPL,1,OMG,JDG,OMG,JDG,https://lpl.qq.com/es/stats.shtml?bmid=5658,https://youtu.be/XSrTWh7EH10?t=11570,https://youtu.be/XSrTWh7EH10?t=12013,https://youtu.be/XSrTWh7EH10?t=13641,https://youtu.be/_4SJSJ-HTi0?t=10,Kanavi,1.0
2020.0,spring,LPL,1,,,OMG,JDG,https://lpl.qq.com/es/stats.shtml?bmid=5658,https://youtu.be/XSrTWh7EH10?t=14710,https://youtu.be/XSrTWh7EH10?t=15128,https://youtu.be/XSrTWh7EH10?t=16936,https://youtu.be/sm3OLq49jGU?t=10,Kanavi,2.0
