year,season,league_name,week,team_1,team_2,Blue,Red,MH,PB,Start,Post,HL,MVP,set_number
2020.0,summer,LPL,1,EDG,WE,EDG,WE,https://lpl.qq.com/es/stats.shtml?bmid=6200,https://youtu.be/cTPmPjDuwlc?t=4731,https://youtu.be/cTPmPjDuwlc?t=5134,https://youtu.be/cTPmPjDuwlc?t=7170,https://youtu.be/Kh9HYl4ziK8?t=7,Meiko,1.0
2020.0,summer,LPL,1,,,EDG,WE,https://lpl.qq.com/es/stats.shtml?bmid=6200,https://youtu.be/cTPmPjDuwlc?t=8071,https://youtu.be/cTPmPjDuwlc?t=8383,https://youtu.be/cTPmPjDuwlc?t=10342,https://youtu.be/jWh4rQMt88Y?t=7,Morgan,2.0
2020.0,summer,LPL,1,,,EDG,WE,https://lpl.qq.com/es/stats.shtml?bmid=6200,https://youtu.be/cTPmPjDuwlc?t=11158,https://youtu.be/cTPmPjDuwlc?t=11535,https://youtu.be/cTPmPjDuwlc?t=13300,https://youtu.be/BC3d7s9miQo?t=7,Missing,3.0
2020.0,summer,LPL,1,LNG,SN,LNG,SN,https://lpl.qq.com/es/stats.shtml?bmid=6201,https://youtu.be/cTPmPjDuwlc?t=14730,https://youtu.be/cTPmPjDuwlc?t=15166,https://youtu.be/cTPmPjDuwlc?t=17255,https://youtu.be/1Qzk3aFELGM?t=7,huanfeng,1.0
2020.0,summer,LPL,1,,,LNG,SN,https://lpl.qq.com/es/stats.shtml?bmid=6201,https://youtu.be/cTPmPjDuwlc?t=18069,https://youtu.be/cTPmPjDuwlc?t=18488,https://youtu.be/cTPmPjDuwlc?t=20235,https://youtu.be/Y-rRvouiM5o?t=7,Bin,2.0
2020.0,summer,LPL,1,V5,DMO,V5,DMO,https://lpl.qq.com/es/stats.shtml?bmid=6202,https://youtu.be/xmf5uCd9oFE?t=4222,https://youtu.be/xmf5uCd9oFE?t=4609,https://youtu.be/xmf5uCd9oFE?t=6603,https://youtu.be/PKQBLAubDrw?t=7,Mole,1.0
2020.0,summer,LPL,1,,,DMO,V5,https://lpl.qq.com/es/stats.shtml?bmid=6202,https://youtu.be/xmf5uCd9oFE?t=7418,https://youtu.be/xmf5uCd9oFE?t=7767,https://youtu.be/xmf5uCd9oFE?t=9649,https://youtu.be/AVZcZ5VogGU?t=7,Samd,2.0
2020.0,summer,LPL,1,OMG,RNG,OMG,RNG,https://lpl.qq.com/es/stats.shtml?bmid=6203,https://youtu.be/xmf5uCd9oFE?t=10952,https://youtu.be/xmf5uCd9oFE?t=11387,https://youtu.be/xmf5uCd9oFE?t=12838,https://youtu.be/Btijf-IF2cI?t=7,XLB,1.0
2020.0,summer,LPL,1,,,RNG,OMG,https://lpl.qq.com/es/stats.shtml?bmid=6203,https://youtu.be/xmf5uCd9oFE?t=13727,https://youtu.be/xmf5uCd9oFE?t=14070,https://youtu.be/xmf5uCd9oFE?t=15760,https://youtu.be/ube10sdWiOM?t=7,XLB,2.0
2020.0,summer,LPL,1,WE,SN,WE,SN,https://lpl.qq.com/es/stats.shtml?bmid=6204,https://youtu.be/WoCMfbnmVII?t=4712,https://youtu.be/WoCMfbnmVII?t=5119,https://youtu.be/WoCMfbnmVII?t=6992,https://youtu.be/MbE5loY6-UQ?t=7,Morgan,1.0
2020.0,summer,LPL,1,,,SN,WE,https://lpl.qq.com/es/stats.shtml?bmid=6204,https://youtu.be/WoCMfbnmVII?t=7772,https://youtu.be/WoCMfbnmVII?t=8178,https://youtu.be/WoCMfbnmVII?t=10005,https://youtu.be/scgQODKrTUc?t=7,Angel,2.0
2020.0,summer,LPL,1,,,WE,SN,https://lpl.qq.com/es/stats.shtml?bmid=6204,https://youtu.be/WoCMfbnmVII?t=10770,https://youtu.be/WoCMfbnmVII?t=11213,https://youtu.be/WoCMfbnmVII?t=13602,https://youtu.be/GsvuSJR_YFw?t=7,Sofm,3.0
2020.0,summer,LPL,1,BLG,VG,VG,BLG,https://lpl.qq.com/es/stats.shtml?bmid=6205,https://youtu.be/WoCMfbnmVII?t=14764,https://youtu.be/WoCMfbnmVII?t=15262,https://youtu.be/WoCMfbnmVII?t=17224,https://youtu.be/a2rYHLiN5Qw?t=7,Aix,1.0
2020.0,summer,LPL,1,,,VG,BLG,https://lpl.qq.com/es/stats.shtml?bmid=6205,https://youtu.be/WoCMfbnmVII?t=18213,https://youtu.be/WoCMfbnmVII?t=18601,https://youtu.be/WoCMfbnmVII?t=20355,https://youtu.be/0WNRW0uTfsE?t=7,Cube,2.0
2020.0,summer,LPL,2,OMG,V5,OMG,V5,https://lpl.qq.com/es/stats.shtml?bmid=6206,https://youtu.be/4Jnq7FlGRPQ?t=4818,https://youtu.be/4Jnq7FlGRPQ?t=5217,https://youtu.be/4Jnq7FlGRPQ?t=6796,https://youtu.be/FuwqK2uiOf8?t=7,Mole,1.0
2020.0,summer,LPL,2,,,V5,OMG,https://lpl.qq.com/es/stats.shtml?bmid=6206,https://youtu.be/4Jnq7FlGRPQ?t=7636,https://youtu.be/4Jnq7FlGRPQ?t=8060,https://youtu.be/4Jnq7FlGRPQ?t=9937,https://youtu.be/6PZzKFVEhsg?t=7,Smlz,2.0
2020.0,summer,LPL,2,,,OMG,V5,https://lpl.qq.com/es/stats.shtml?bmid=6206,https://youtu.be/4Jnq7FlGRPQ?t=10712,https://youtu.be/4Jnq7FlGRPQ?t=11148,https://youtu.be/4Jnq7FlGRPQ?t=12878,https://youtu.be/qrnAUnlt2vY?t=7,ppgod,3.0
2020.0,summer,LPL,2,LGD,ES,LGD,ES,https://lpl.qq.com/es/stats.shtml?bmid=6207,https://youtu.be/4Jnq7FlGRPQ?t=14259,https://youtu.be/4Jnq7FlGRPQ?t=14612,https://youtu.be/4Jnq7FlGRPQ?t=16546,https://youtu.be/B95cEFNFLOw?t=7,ShiauC,1.0
2020.0,summer,LPL,2,,,LGD,ES,https://lpl.qq.com/es/stats.shtml?bmid=6207,https://youtu.be/4Jnq7FlGRPQ?t=17437,https://youtu.be/4Jnq7FlGRPQ?t=17872,https://youtu.be/4Jnq7FlGRPQ?t=20006,https://youtu.be/nQayP4lOdVQ?t=7,Langx,2.0
2020.0,summer,LPL,2,,,LGD,ES,https://lpl.qq.com/es/stats.shtml?bmid=6207,https://youtu.be/4Jnq7FlGRPQ?t=20784,https://youtu.be/4Jnq7FlGRPQ?t=21165,https://youtu.be/4Jnq7FlGRPQ?t=22871,https://youtu.be/eDGQH73VE08?t=7,Kramer,3.0
2020.0,summer,LPL,2,FPX,LNG,FPX,LNG,https://lpl.qq.com/es/stats.shtml?bmid=6208,https://youtu.be/yASvwoLk-dg?t=4584,https://youtu.be/yASvwoLk-dg?t=4978,https://youtu.be/yASvwoLk-dg?t=7080,https://youtu.be/nLTw0-XyrXY?t=7,Doinb,1.0
2020.0,summer,LPL,2,,,LNG,FPX,https://lpl.qq.com/es/stats.shtml?bmid=6208,https://youtu.be/yASvwoLk-dg?t=7875,https://youtu.be/yASvwoLk-dg?t=8295,https://youtu.be/yASvwoLk-dg?t=10150,https://youtu.be/rX9P1_UKV4g?t=7,Maple,2.0
2020.0,summer,LPL,2,,,FPX,LNG,https://lpl.qq.com/es/stats.shtml?bmid=6208,https://youtu.be/yASvwoLk-dg?t=10924,https://youtu.be/yASvwoLk-dg?t=11351,https://youtu.be/yASvwoLk-dg?t=13181,https://youtu.be/xVn5GeH4bbQ?t=7,Chenlun17,3.0
2020.0,summer,LPL,2,RW,TES,RW,TES,https://lpl.qq.com/es/stats.shtml?bmid=6209,https://youtu.be/yASvwoLk-dg?t=14543,https://youtu.be/yASvwoLk-dg?t=14867,https://youtu.be/yASvwoLk-dg?t=17000,https://youtu.be/q0YeGSDF03M?t=7,knight,1.0
2020.0,summer,LPL,2,,,TES,RW,https://lpl.qq.com/es/stats.shtml?bmid=6209,https://youtu.be/yASvwoLk-dg?t=17831,https://youtu.be/yASvwoLk-dg?t=18185,https://youtu.be/yASvwoLk-dg?t=19791,https://youtu.be/wzP03IobbC8?t=7,knight,2.0
2020.0,summer,LPL,2,VG,RNG,VG,RNG,https://lpl.qq.com/es/stats.shtml?bmid=6210,https://youtu.be/8CQEt4UMu3Q?t=4520,https://youtu.be/8CQEt4UMu3Q?t=5055,https://youtu.be/8CQEt4UMu3Q?t=6553,https://youtu.be/wT6FdiOUQ8I?t=10,Ming,1.0
2020.0,summer,LPL,2,,,RNG,VG,https://lpl.qq.com/es/stats.shtml?bmid=6210,https://youtu.be/8CQEt4UMu3Q?t=7366,https://youtu.be/8CQEt4UMu3Q?t=7877,https://youtu.be/8CQEt4UMu3Q?t=9572,https://youtu.be/rOWfuhKl_WE?t=10,XLB,2.0
2020.0,summer,LPL,2,SN,JDG,SN,JDG,https://lpl.qq.com/es/stats.shtml?bmid=6211,https://youtu.be/8CQEt4UMu3Q?t=10806,https://youtu.be/8CQEt4UMu3Q?t=11218,https://youtu.be/8CQEt4UMu3Q?t=13149,https://youtu.be/duUXfrZEjko?t=10,Yagao,1.0
2020.0,summer,LPL,2,,,JDG,SN,https://lpl.qq.com/es/stats.shtml?bmid=6211,https://youtu.be/8CQEt4UMu3Q?t=13918,https://youtu.be/8CQEt4UMu3Q?t=14383,https://youtu.be/8CQEt4UMu3Q?t=16762,https://youtu.be/jsGWfUJz6qc?t=10,Loken,2.0
2020.0,summer,LPL,2,DMO,ES,ES,DMO,https://lpl.qq.com/es/stats.shtml?bmid=6212,https://youtu.be/GxbP2_yWPzI?t=4211,https://youtu.be/GxbP2_yWPzI?t=4636,https://youtu.be/GxbP2_yWPzI?t=6707,https://youtu.be/voPyxsI5f3c?t=7,Wink,1.0
2020.0,summer,LPL,2,,,ES,DMO,https://lpl.qq.com/es/stats.shtml?bmid=6212,https://youtu.be/GxbP2_yWPzI?t=7588,https://youtu.be/GxbP2_yWPzI?t=7959,https://youtu.be/GxbP2_yWPzI?t=9587,https://youtu.be/lDA4QjsFLjU?t=7,Fenfen,2.0
2020.0,summer,LPL,2,WE,iG,WE,iG,https://lpl.qq.com/es/stats.shtml?bmid=6213,https://youtu.be/GxbP2_yWPzI?t=10751,https://youtu.be/GxbP2_yWPzI?t=11154,https://youtu.be/GxbP2_yWPzI?t=13606,https://youtu.be/BveDhiVPva0?t=7,Jiumeng,1.0
2020.0,summer,LPL,2,,,iG,WE,https://lpl.qq.com/es/stats.shtml?bmid=6213,https://youtu.be/GxbP2_yWPzI?t=14380,https://youtu.be/GxbP2_yWPzI?t=14760,https://youtu.be/GxbP2_yWPzI?t=16678,https://youtu.be/ZyTCDuuTEPI?t=7,Teacherma,2.0
2020.0,summer,LPL,2,RNG,LNG,RNG,LNG,https://lpl.qq.com/es/stats.shtml?bmid=6214,https://youtu.be/ESEnCzHAo60?t=4187,https://youtu.be/ESEnCzHAo60?t=4626,https://youtu.be/ESEnCzHAo60?t=7587,https://youtu.be/dfqTyHBULLI?t=10,Light,1.0
2020.0,summer,LPL,2,,,LNG,RNG,https://lpl.qq.com/es/stats.shtml?bmid=6214,https://youtu.be/ESEnCzHAo60?t=8446,https://youtu.be/ESEnCzHAo60?t=8880,https://youtu.be/ESEnCzHAo60?t=10483,https://youtu.be/LfGHlTSVANg?t=10,Maple,2.0
2020.0,summer,LPL,2,FPX,BLG,FPX,BLG,https://lpl.qq.com/es/stats.shtml?bmid=6215,https://youtu.be/ESEnCzHAo60?t=11907,https://youtu.be/ESEnCzHAo60?t=12283,https://youtu.be/ESEnCzHAo60?t=13561,https://youtu.be/CzJ3i5XvoRU?t=7,Crisp,1.0
2020.0,summer,LPL,2,,,BLG,FPX,https://lpl.qq.com/es/stats.shtml?bmid=6215,https://youtu.be/ESEnCzHAo60?t=14362,https://youtu.be/ESEnCzHAo60?t=14814,https://youtu.be/ESEnCzHAo60?t=16889,https://youtu.be/T1vdwgLmEso?t=7,Khan,2.0
2020.0,summer,LPL,2,V5,LGD,V5,LGD,https://lpl.qq.com/es/stats.shtml?bmid=6216,https://youtu.be/PjHDuXsdL58?t=4341,https://youtu.be/PjHDuXsdL58?t=4695,https://youtu.be/PjHDuXsdL58?t=6517,https://youtu.be/i1EYEVBNlZ4?t=7,Kramer,1.0
2020.0,summer,LPL,2,,,LGD,V5,https://lpl.qq.com/es/stats.shtml?bmid=6216,https://youtu.be/PjHDuXsdL58?t=7661,https://youtu.be/PjHDuXsdL58?t=8044,https://youtu.be/PjHDuXsdL58?t=10342,https://youtu.be/lmkzmX6xlKs?t=7,Samd,2.0
2020.0,summer,LPL,2,,,LGD,V5,https://lpl.qq.com/es/stats.shtml?bmid=6216,https://youtu.be/PjHDuXsdL58?t=11074,https://youtu.be/PjHDuXsdL58?t=11412,https://youtu.be/PjHDuXsdL58?t=13058,https://youtu.be/eDLW_RcxL9o?t=7,Mark,3.0
