year,season,league_name,week,team_1,team_2,set_number,Blue,Red,MH,PB,Start,HL,Vod,MVP,Post
2020.0,spring,BL,3,Aethra,Timeout Esports,1.0,ATR,TO,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1292236?gameHash=f35897b606d3b833&tab=overview,https://www.twitch.tv/videos/548146993?filter=archives&t=3h16m0s,https://www.twitch.tv/videos/548146993?filter=archives&t=3h23m26s,,,,
2020.0,spring,BL,7,Aethra,Timeout Esports,1.0,TO,ATR,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/1321757?gameHash=c7330363cecedb45&tab=overview,https://www.twitch.tv/videos/562221124?filter=archives&t=0h15m5s,https://www.twitch.tv/videos/562221124?filter=archives&t=0h22m28s,,,,
2020.0,summer,BL,3,Aethra,RSCA,1.0,RSCA,ATR,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1404423?gameHash=cc17f8d7b4449d46&tab=overview,https://youtu.be/h7i-LTqpNlk?t=942,https://youtu.be/h7i-LTqpNlk?t=1565,https://youtu.be/KAY4-B9TWm4,,,
2020.0,summer,BL,7,Team 7AM,KV Mechelen,1.0,KVM,7AM,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/1405076?gameHash=6f31e7d8cc04927a&tab=overview,https://youtu.be/47ZlP2XxF5U?t=902,https://youtu.be/47ZlP2XxF5U?t=1373,https://www.youtube.com/watch?v=nAJk1SFMdm0,,,
2020.0,summer,BRCC,6,Havan Liberty Gaming,Rensga eSports,1.0,HL,RNS,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/1414873?gameHash=bf214985e4a3914b,https://www.youtube.com/watch?v=2cD5ae8o7Ww,https://youtu.be/2cD5ae8o7Ww?t=392,,,Zirigui,
2018.0,spring,CBLOL,3,Team oNe,Vivo Keyd,1.0,ONE,VK,https://matchhistory.br.leagueoflegends.com/pt/#match-details/ESPORTSTMNT03/550171?gameHash=9555ffe1f888ea19,https://www.youtube.com/watch?v=IjznrQfNLQc#t=53s,https://www.youtube.com/watch?v=IjznrQfNLQc#t=9m24s,,,Jockster,
2018.0,spring,CBLOL,3,Team oNe,Vivo Keyd,1.0,ONE,VK,https://matchhistory.br.leagueoflegends.com/pt/#match-details/ESPORTSTMNT03/550171?gameHash=9555ffe1f888ea19,https://www.youtube.com/watch?v=IjznrQfNLQc#t=53s,https://www.youtube.com/watch?v=IjznrQfNLQc#t=9m24s,,,Jockster,
2020.0,spring,CBLOL,9,Flamengo,Redemption POA,1.0,RDP,FLA,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1370161?gameHash=5ed20ec70712a033&tab=overview,https://youtu.be/IGTfkNjRC78?t=1,https://youtu.be/IGTfkNjRC78?t=348,https://youtu.be/LU1ZZce3kpc?t=4,,Absolut,
2020.0,spring,CBLOL,9,Flamengo,INTZ,1.0,ITZ,FLA,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1370353?gameHash=b9d4d4ff8d584607&tab=overview,https://youtu.be/EjRN0wIl5pc?t=1,https://youtu.be/EjRN0wIl5pc?t=437,https://www.youtube.com/watch?v=SRgCUQlYCBI,,Absolut,
2020.0,summer,CBLOL,8,Santos,PAIN,1.0,PNG,SAN,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1435288?gameHash=84edea80325cf85d,https://youtu.be/FpVtCcAMC4o?t=1,https://youtu.be/FpVtCcAMC4o?t=437,https://www.youtube.com/watch?v=TBXjYOWd3Bo,,Mewkyo,
2019.0,spring,Challengers Korea,2,VSG,hyFresh Blade,1.0,VSG,BRB,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1050782?gameHash=9dae350b18b89e70&tab=overview,https://youtu.be/Rs4NE2o-Myo?t=511,https://youtu.be/Rs4NE2o-Myo?t=930,,,BroCColi,
2019.0,spring,Challengers Korea,8,Asura,SeolHaeOne Prince,1.0,ASR,APK,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1073038?gameHash=3f500225020ecd03&tab=overview,https://youtu.be/VKY_WOOPIoM?t=611,https://youtu.be/VKY_WOOPIoM?t=1144,,,KaKAO,
2019.0,summer,Challengers Korea,2,Awesome Spear,bbq,2.0,bbq,SPG,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1143413?gameHash=8ead0b68eaaeff1d,,,,http://vod.afreecatv.com/PLAYER/STATION/45067593,,
2019.0,summer,Challengers Korea,6,Asura,VSG,1.0,ASR,VSG,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/1125545?gameHash=5373fff9c7a2661f,,,,http://vod.afreecatv.com/PLAYER/STATION/45994952,Pure,
2020.0,summer,Challengers Korea,3,ESC Shane,Jin Air,2.0,JAG,ESC,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT02/1386091?gameHash=c109fcb98f852d8d&tab=overview,,,,http://vod.afreecatv.com/PLAYER/STATION/58603492,Yaharong,
2020.0,summer,Challengers Korea,7,Jin Air,Griffin,3.0,JAG,GRF,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1436099?gameHash=fdefbae1c2fbbd8b&tab=overview,,,,http://vod.afreecatv.com/PLAYER/STATION/59753619,TaNa,
2020.0,spring,DL,4,Echo Zulu,PSV,1.0,EZ,PSV,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/1325253?gameHash=30e6563f8574725d&tab=overview,https://www.twitch.tv/videos/569005836?filter=archives&t=3h3m37s,https://www.twitch.tv/videos/569005836?filter=archives&t=3h11m31s,,,,
2020.0,spring,DL,8,Dynasty,Defusekids,1.0,DK,DYN,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/1325197?gameHash=1cb2a49f7a991f25,https://www.twitch.tv/videos/569005836?filter=archives&t=0h15m3s,https://www.twitch.tv/videos/569005836?filter=archives&t=0h22m40s,,,,
2019.0,spring,ECS,5,Fish Dive Team,SuperEsports,2.0,,,,,,,,,
