year,season,league_name,week,team_1,team_2,Blue,Red,MH,PB,Start,set_number
2017.0,spring,OCS,1,AS,RGC,AS,RGC,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT02/30150?gameHash=fdbf0c90143dda46&tab=overview,http://www.youtube.com/watch?v=eLzWrxy5LdA#t=1775,https://www.youtube.com/watch?v=eLzWrxy5LdA#t=2698,1.0
2017.0,spring,OCS,1,CVD,TM.B,,,,,,1.0
2017.0,spring,OCS,1,SNA,LGG,SNA,LGG,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT02/30161?gameHash=8e6692953a07456f&tab=overview,http://www.youtube.com/watch?v=eLzWrxy5LdA#t=7875,https://www.youtube.com/watch?v=eLzWrxy5LdA#t=8923,1.0
2017.0,spring,OCS,1,NX,OLW,NX,OLW,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT02/30162?gameHash=30665f3966355c61&tab=overview,http://www.youtube.com/watch?v=eLzWrxy5LdA#t=11612,https://www.youtube.com/watch?v=eLzWrxy5LdA#t=12287,1.0
2017.0,spring,OCS,2,TM.B,AS,TM.B,AS,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT02/30455?gameHash=fe9c5701ca055af6&tab=overview,http://www.youtube.com/watch?v=0dHyTjeTirc#t=1390,https://www.youtube.com/watch?v=0dHyTjeTirc#t=2037,1.0
2017.0,spring,OCS,2,SNA,RGC,SNA,RGC,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT02/30461?gameHash=7965c0b995d45ab3&tab=overview,http://www.youtube.com/watch?v=0dHyTjeTirc#t=4703,https://www.youtube.com/watch?v=0dHyTjeTirc#t=5696,1.0
2017.0,spring,OCS,2,OLW,CVD,OLW,CVD,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT02/30472?gameHash=e64d7fbe6d63563b&tab=overview,http://www.youtube.com/watch?v=0dHyTjeTirc#t=8293,https://www.youtube.com/watch?v=0dHyTjeTirc#t=9031,1.0
2017.0,spring,OCS,2,NX,LGG,NX,LGG,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT02/30473?gameHash=bcf49f3500687bea&tab=overview,http://www.youtube.com/watch?v=0dHyTjeTirc#t=11628,https://www.youtube.com/watch?v=0dHyTjeTirc#t=12309,1.0
2017.0,spring,OCS,3,AS,SNA,AS,SNA,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT02/40149?gameHash=ab584ed32f221383&tab=overview,http://www.youtube.com/watch?v=-IDHP2phZ8o#t=1873,https://www.youtube.com/watch?v=-IDHP2phZ8o#t=2598,1.0
2017.0,spring,OCS,3,TM.B,OLW,TM.B,OLW,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT02/50137?gameHash=53567f1b0edecffe&tab=overview,http://www.youtube.com/watch?v=-IDHP2phZ8o#t=5686,https://www.youtube.com/watch?v=-IDHP2phZ8o#t=6613,1.0
2017.0,spring,OCS,3,RGC,NX,RGC,NX,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT02/50139?gameHash=f473161a36738079&tab=overview,http://www.youtube.com/watch?v=-IDHP2phZ8o#t=10332,https://www.youtube.com/watch?v=-IDHP2phZ8o#t=11097,1.0
2017.0,spring,OCS,3,CVD,LGG,CVD,LGG,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT02/50142?gameHash=31e20cd00a71f721&tab=overview,http://www.youtube.com/watch?v=-IDHP2phZ8o#t=13662,https://www.youtube.com/watch?v=-IDHP2phZ8o#t=14401,1.0
2017.0,spring,OCS,4,CVD,RGC,CVD,RGC,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT02/80084?gameHash=9bc50a9141813e7e&tab=overview,http://www.youtube.com/watch?v=dSxsYd2L_JQ#t=1740,https://www.youtube.com/watch?v=dSxsYd2L_JQ#t=2567,1.0
2017.0,spring,OCS,4,NX,SNA,NX,SNA,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT02/80087?gameHash=27538f7cdc42dfe2&tab=overview,http://www.youtube.com/watch?v=dSxsYd2L_JQ#t=5496,https://www.youtube.com/watch?v=dSxsYd2L_JQ#t=6219,1.0
