year,season,league_name,week,team_1,team_2,Blue,Red,MH,Vod,PB,Start,set_number
2017.0,summer,OPL,1,DW,CHF,DW,CHF,http://matchhistory.oce.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/220017?gameHash=82625cbd45e7b269&tab=overview,http://youtube.com/watch?v=XM9AqjFpDQY?t=14m47s,https://youtube.com/watch?v=XM9AqjFpDQY&t=14m47s,https://youtube.com/watch?v=XM9AqjFpDQY&t=21m27s,1.0
2017.0,summer,OPL,1,,,CHF,DW,http://matchhistory.oce.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/220021?gameHash=8e64b9eff821b787&tab=overview,http://youtube.com/watch?v=BQlT4qKhdsQ?t=28s,https://youtube.com/watch?v=BQlT4qKhdsQ&t=28s,https://youtube.com/watch?v=BQlT4qKhdsQ&t=7m34s,2.0
2017.0,summer,OPL,1,,,DW,CHF,http://matchhistory.oce.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/220022?gameHash=affc0239c4a8625d&tab=overview,http://youtube.com/watch?v=FLv4Kr07aHU?t=1m17s,https://youtube.com/watch?v=FLv4Kr07aHU&t=1m17s,https://youtube.com/watch?v=FLv4Kr07aHU&t=7m09s,3.0
2017.0,summer,OPL,1,RGC,ABY,ABY,RGC,http://matchhistory.oce.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/220023?gameHash=1bc7aff552f37c03&tab=overview,http://youtube.com/watch?v=wCqFeiBsRLw?t=20m56s,https://youtube.com/watch?v=wCqFeiBsRLw&t=20m56s,https://youtube.com/watch?v=wCqFeiBsRLw&t=28m42s,1.0
2017.0,summer,OPL,1,,,RGC,ABY,http://matchhistory.oce.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/220034?gameHash=2d51126068b7640c&tab=overview,http://youtube.com/watch?v=8O2YeCrrck0?t=26s,https://youtube.com/watch?v=8O2YeCrrck0&t=26s,https://youtube.com/watch?v=8O2YeCrrck0&t=9m15s,2.0
2017.0,summer,OPL,1,,,ABY,RGC,http://matchhistory.oce.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/220037?gameHash=78a7e84173d5b2fe&tab=overview,http://youtube.com/watch?v=7SqFLJCYCIs?t=35s,https://youtube.com/watch?v=7SqFLJCYCIs&t=35s,https://youtube.com/watch?v=7SqFLJCYCIs&t=9m12s,3.0
2017.0,summer,OPL,1,LGC,SIN,LGC,SIN,http://matchhistory.oce.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/220092?gameHash=07da6006e4539312&tab=overview,http://youtube.com/watch?v=KO3C_-cZxNc?t=14m39s,https://youtube.com/watch?v=KO3C_-cZxNc&t=14m39s,https://youtube.com/watch?v=KO3C_-cZxNc&t=26m30s,1.0
2017.0,summer,OPL,1,,,SIN,LGC,http://matchhistory.oce.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/220096?gameHash=e6e06cdaefb8bc7e&tab=overview,http://youtube.com/watch?v=INIq3QHtVJo?t=39s,https://youtube.com/watch?v=INIq3QHtVJo&t=39s,https://youtube.com/watch?v=INIq3QHtVJo&t=6m36s,2.0
2017.0,summer,OPL,1,,,LGC,SIN,http://matchhistory.oce.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/220097?gameHash=6f6081370deb15dc&tab=overview,http://youtube.com/watch?v=SfFkJG6bc8U?t=19s,https://youtube.com/watch?v=SfFkJG6bc8U&t=19s,https://youtube.com/watch?v=SfFkJG6bc8U&t=6m40s,3.0
2017.0,summer,OPL,1,AV,tM,AV,tM,http://matchhistory.oce.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/220098?gameHash=c6b575c3e3853e9e&tab=overview,http://youtube.com/watch?v=zx5NdR4TrU8?t=38m37s,https://youtube.com/watch?v=zx5NdR4TrU8&t=38m37s,https://youtube.com/watch?v=zx5NdR4TrU8&t=45m15s,1.0
