year,season,league_name,week,team_1,team_2,Blue,Red,MH,PB,Start,Post,set_number
2019.0,spring,OPL,1,LGC,GRV,LGC,GRV,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1031658?gameHash=0051f615876eb0ca&tab=overview,https://youtu.be/QH7lmKrxHg0?t=1062,https://youtu.be/QH7lmKrxHg0?t=1558,https://youtu.be/QH7lmKrxHg0?t=3588,1.0
2019.0,spring,OPL,1,MMM,BMR,MMM,BMR,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1031663?gameHash=aab4e133e4b4d0cd&tab=overview,https://youtu.be/Cr_7c1-GMvU?t=2130,https://youtu.be/Cr_7c1-GMvU?t=2531,https://youtu.be/Cr_7c1-GMvU?t=4667,1.0
2019.0,spring,OPL,1,AV,ORD,AV,ORD,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1031706?gameHash=5d42d2e631911a5c&tab=overview,https://youtu.be/HFxhLewyNPo?t=955,https://youtu.be/HFxhLewyNPo?t=1383,https://youtu.be/HFxhLewyNPo?t=2955,1.0
2019.0,spring,OPL,1,DW,CHF,DW,CHF,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1031715?gameHash=0915167025929b77&tab=overview,https://youtu.be/tKRtyqXtEVM?t=898,https://youtu.be/tKRtyqXtEVM?t=1304,https://youtu.be/tKRtyqXtEVM?t=3091,1.0
2019.0,spring,OPL,1,ORD,BMR,ORD,BMR,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1031854?gameHash=1f1f73584b146052&tab=overview,https://youtu.be/8iNux-Gi5eU?t=566,https://youtu.be/8iNux-Gi5eU?t=1020,https://youtu.be/8iNux-Gi5eU?t=3094,1.0
2019.0,spring,OPL,1,LGC,DW,LGC,DW,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1031883?gameHash=e6d7fb747cbf4546&tab=overview,https://youtu.be/b14EjGN9Fl4?t=766,https://youtu.be/b14EjGN9Fl4?t=1175,https://youtu.be/b14EjGN9Fl4?t=2944,1.0
2019.0,spring,OPL,1,MMM,GRV,MMM,GRV,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1031900?gameHash=035dfd778e2e4adf&tab=overview,https://youtu.be/F6NsIeaV6ck?t=860,https://youtu.be/F6NsIeaV6ck?t=1328,https://youtu.be/F6NsIeaV6ck?t=3081,1.0
2019.0,spring,OPL,1,AV,CHF,AV,CHF,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1031918?gameHash=46333949822c17c9&tab=overview,https://youtu.be/oieVNa3PuAQ?t=727,https://youtu.be/oieVNa3PuAQ?t=1190,https://youtu.be/oieVNa3PuAQ?t=2923,1.0
2019.0,spring,OPL,2,GRV,DW,GRV,DW,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT02/991723?gameHash=f8f379b4d8e21f1e&tab=overview,https://youtu.be/mntL0xZRHx8?t=500,https://youtu.be/mntL0xZRHx8?t=920,https://youtu.be/mntL0xZRHx8?t=3207,1.0
2019.0,spring,OPL,2,BMR,LGC,BMR,LGC,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT02/991747?gameHash=edf5bea3ced11fc2&tab=overview,https://youtu.be/AWITwRVdJPk?t=776,https://youtu.be/AWITwRVdJPk?t=1222,https://youtu.be/AWITwRVdJPk?t=2765,1.0
2019.0,spring,OPL,2,MMM,AV,MMM,AV,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT02/991810?gameHash=ab0901180908887e&tab=overview,https://youtu.be/s0YJqZtHumQ?t=702,https://youtu.be/s0YJqZtHumQ?t=1107,https://youtu.be/s0YJqZtHumQ?t=3973,1.0
