year,season,league_name,week,team_1,team_2,Blue,Red,MH,PB,Start,Post,set_number
2019.0,summer,OPL,1,DW,LGC,DW,LGC,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1141454?gameHash=237ca70ee251c8fe&tab=overview,https://youtu.be/O2hkCFbOHBU?t=521,https://youtu.be/O2hkCFbOHBU?t=929,https://youtu.be/O2hkCFbOHBU?t=3209,1.0
2019.0,summer,OPL,1,ORD,BMR,ORD,BMR,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1141465?gameHash=fb049da5bab7a847&tab=overview,https://youtu.be/efaBWzoV7gM?t=1049,https://youtu.be/efaBWzoV7gM?t=1480,https://youtu.be/efaBWzoV7gM?t=3459,1.0
2019.0,summer,OPL,1,AV,GRV,AV,GRV,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1141504?gameHash=c34f7a58fb818b9a&tab=overview,https://youtu.be/EmBFue9ozdg?t=713,https://youtu.be/EmBFue9ozdg?t=1084,https://youtu.be/EmBFue9ozdg?t=4100,1.0
2019.0,summer,OPL,1,MMM,CHF,MMM,CHF,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1141515?gameHash=53ad170ac9274f7d&tab=overview,https://youtu.be/yUmO7vRikuk?t=23,https://youtu.be/yUmO7vRikuk?t=510,https://youtu.be/yUmO7vRikuk?t=2867,1.0
2019.0,summer,OPL,1,GRV,MMM,GRV,MMM,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1141707?gameHash=dcf78ab80f4a6ca0&tab=overview,https://youtu.be/evHisSUyWlE?t=506,https://youtu.be/evHisSUyWlE?t=971,https://youtu.be/evHisSUyWlE?t=2590,1.0
2019.0,summer,OPL,1,LGC,ORD,LGC,ORD,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1141731?gameHash=c48fb949b38f1778&tab=overview,https://youtu.be/hXmMP86WXMA?t=825,https://youtu.be/hXmMP86WXMA?t=1336,https://youtu.be/hXmMP86WXMA?t=3046,1.0
2019.0,summer,OPL,1,BMR,AV,BMR,AV,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1141759?gameHash=47cd153df9f1ac6b&tab=overview,https://youtu.be/3XNak7TiPsM?t=20,https://youtu.be/3XNak7TiPsM?t=94,https://youtu.be/3XNak7TiPsM?t=1979,1.0
2019.0,summer,OPL,1,CHF,DW,CHF,DW,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1141771?gameHash=58c4a13337292c25&tab=overview,https://youtu.be/Fec3wJC3Wm8?t=41,https://youtu.be/Fec3wJC3Wm8?t=465,https://youtu.be/Fec3wJC3Wm8?t=2305,1.0
2019.0,summer,OPL,2,CHF,GRV,CHF,GRV,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1143834?gameHash=35d1a87c76b10b5c&tab=overview,https://youtu.be/5F9ErNx2duw?t=431,https://youtu.be/5F9ErNx2duw?t=872,https://youtu.be/5F9ErNx2duw?t=2816,1.0
2019.0,summer,OPL,2,AV,LGC,AV,LGC,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1143862?gameHash=cde9ca5393423bbb&tab=overview,https://youtu.be/2NrppSQnlZE?t=935,https://youtu.be/2NrppSQnlZE?t=1394,https://youtu.be/2NrppSQnlZE?t=3066,1.0
