year,season,league_name,week,team_1,team_2,Blue,Red,MH,PB,Start,set_number
2020.0,summer,OPL,1,CHF,PGG,PGG,CHF,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1401186?gameHash=21dc9fe0fb2971ee,https://youtu.be/FV8W1VTtpUs?t=640,https://youtu.be/FV8W1VTtpUs?t=1068,1.0
2020.0,summer,OPL,1,AV,MMM,AV,MMM,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1401197?gameHash=bdf5eb96c78a20f7,https://youtu.be/Kbns1q34EG8?t=858,https://youtu.be/Kbns1q34EG8?t=1332,1.0
2020.0,summer,OPL,1,ORD,GRV,ORD,GRV,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1401212?gameHash=ff0fe540e94e8231,https://youtu.be/562Gn3hTszY?t=937,https://youtu.be/562Gn3hTszY?t=1343,1.0
2020.0,summer,OPL,1,LGC,DW,DW,LGC,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1401225?gameHash=4ed38b2483378ae0,https://youtu.be/r6He1jRbEOA?t=875,https://youtu.be/r6He1jRbEOA?t=1189,1.0
2020.0,summer,OPL,1,CHF,GRV,CHF,GRV,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1401435?gameHash=ed7f492381f3f792&tab=overview,https://youtu.be/PzkHh0fbFz0?t=670,https://youtu.be/PzkHh0fbFz0?t=1105,1.0
2020.0,summer,OPL,1,AV,DW,DW,AV,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1401441?gameHash=9bb82332fd342f5f,https://youtu.be/XiBBPpprgcM?t=937,https://youtu.be/XiBBPpprgcM?t=1266,1.0
2020.0,summer,OPL,1,PGG,MMM,PGG,MMM,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1401451?gameHash=acab025121d6f3a6,https://youtu.be/isxcKJJ4xOw?t=815,https://youtu.be/isxcKJJ4xOw?t=1663,1.0
2020.0,summer,OPL,1,ORD,LGC,LGC,ORD,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1401460?gameHash=ce10e3cb7fa97940&tab=overview,https://youtu.be/o2flxwHPVe4?t=914,https://youtu.be/o2flxwHPVe4?t=1301,1.0
2020.0,summer,OPL,2,CHF,AV,AV,CHF,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1413601?gameHash=58fa391db91f5913,https://youtu.be/8M_mHvzZOqM?t=657,https://youtu.be/8M_mHvzZOqM?t=1058,1.0
2020.0,summer,OPL,2,LGC,GRV,LGC,GRV,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1413609?gameHash=c1b182a8c26c243c,https://youtu.be/SEhtQYHElzI?t=856,https://youtu.be/SEhtQYHElzI?t=1279,1.0
2020.0,summer,OPL,2,DW,MMM,MMM,DW,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1413619?gameHash=fbaf9de6895ab9b7,https://youtu.be/BZ-0VRKvCh4?t=872,https://youtu.be/BZ-0VRKvCh4?t=1171,1.0
2020.0,summer,OPL,2,ORD,PGG,PGG,ORD,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1413629?gameHash=35af85a9f74ba265,https://youtu.be/Pm7cPYD2VrA?t=906,https://youtu.be/Pm7cPYD2VrA?t=1258,1.0
