year,season,league_name,week,team_1,team_2,Blue,Red,MH,Start,MVP,PB,set_number
2020.0,spring,PCS,1,JT,ahq,ahq,JT,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT02/1286996?gameHash=c679b7d08fa0d0dc,https://youtu.be/9r3diUSpOIc?t=1,Ziv,,1.0
2020.0,spring,PCS,1,RSG,BJD,BJD,RSG,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT02/1287017?gameHash=d67578b107a8a58f,https://youtu.be/p3x7qTX5kzY?t=348,Minji,https://youtu.be/p3x7qTX5kzY?t=7,1.0
2020.0,spring,PCS,1,LYB,HKA,LYB,HKA,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT02/1287051?gameHash=03de6144388b070e,https://youtu.be/Ait8bkfVvEk?t=460,Kurd,https://youtu.be/Ait8bkfVvEk?t=8,1.0
2020.0,spring,PCS,1,RSG,MCX,RSG,MCX,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT02/1287064?gameHash=a1ebba15edc33b98,https://youtu.be/6ydT_U7004I?t=450,PK,https://youtu.be/6ydT_U7004I?t=1,1.0
2020.0,spring,PCS,1,TLN,NOV,TLN,NOV,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT02/1287073?gameHash=ab1be478e0c38316,https://youtu.be/yd6lfrkojCI?t=353,Unified,https://youtu.be/yd6lfrkojCI?t=1,1.0
2020.0,spring,PCS,1,RSG,NOV,RSG,NOV,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT02/1297234?gameHash=828d7d2f3a8de247,https://youtu.be/CsbQjOXwelg?t=309,Rockky,https://youtu.be/CsbQjOXwelg?t=1,1.0
2020.0,spring,PCS,1,HKA,JT,JT,HKA,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT02/1297278?gameHash=60fcfde3aaeab62a,https://youtu.be/71e2hH_jLYo?t=334,Rest,https://youtu.be/71e2hH_jLYo?t=1,1.0
2020.0,spring,PCS,1,LYB,TLN,TLN,LYB,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT02/1297303?gameHash=378148aba1922c6f,https://youtu.be/sQEBf7i3fvQ?t=462,Candy,https://youtu.be/sQEBf7i3fvQ?t=1,1.0
2020.0,spring,PCS,1,ahq,BJD,BJD,ahq,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT02/1297316?gameHash=0d4fdcbb2a33e47d,https://youtu.be/hR-AGjvDn0k?t=675,Ziv,https://youtu.be/hR-AGjvDn0k?t=1,1.0
2020.0,spring,PCS,1,TLN,MCX,MCX,TLN,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT02/1297328?gameHash=8ecdae0d1a6e6175,https://youtu.be/4FmwRB318gk?t=520,River,https://youtu.be/4FmwRB318gk?t=8,1.0
2020.0,spring,PCS,2,NOV,JT,JT,NOV,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/1323550?gameHash=29327ff6009c85ce,https://www.youtube.com/watch?v=oQW0duEnRSo&t=39m56s,Ryan,https://www.youtube.com/watch?v=oQW0duEnRSo&t=32m08s,1.0
