year,season,league_name,week,team_1,team_2,Blue,Red,MH,PB,Start,set_number
2020.0,spring,PGN,1,YDN,OP,YDN,OP,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1280712?gameHash=f101d0945e4f6daa,https://youtu.be/v6skkAnr5J4?t=99,https://youtu.be/v6skkAnr5J4?t=595,1.0
2020.0,spring,PGN,1,SMS,Q4G,SMS,Q4G,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1280694?gameHash=a9b488e87249fb03,https://youtu.be/xxoDUc8NvXQ?t=123,https://youtu.be/xxoDUc8NvXQ?t=712,1.0
2020.0,spring,PGN,1,MOR,RCN,MOR,RCN,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1280737?gameHash=cfd9282aca61abff,https://youtu.be/GORAwPcWlNk?t=520,https://youtu.be/GORAwPcWlNk?t=1043,1.0
2020.0,spring,PGN,1,CGG,SPK,CGG,SPK,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1280800?gameHash=cbfaade5c38cb5c4,https://youtu.be/1AHkklbDKzA?t=107,https://youtu.be/1AHkklbDKzA?t=1141,1.0
2020.0,spring,PGN,1,Q4G,RCN,Q4G,RCN,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT02/1260284?gameHash=f50a063c79b15e04,https://youtu.be/TXeBdy8dms8?t=527,https://youtu.be/TXeBdy8dms8?t=1238,1.0
2020.0,spring,PGN,1,OP,SMS,OP,SMS,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT02/1260312?gameHash=38900290472c2991,https://youtu.be/Es2nSl5dPyI?t=522,https://youtu.be/Es2nSl5dPyI?t=1204,1.0
2020.0,spring,PGN,1,SPK,YDN,SPK,YDN,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT02/1260333?gameHash=35158ee783afe546,https://youtu.be/G0DMBLqgkXs?t=197,https://youtu.be/G0DMBLqgkXs?t=1002,1.0
2020.0,spring,PGN,1,CGG,MOR,CGG,MOR,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT02/1260352?gameHash=bdcd573cacd05c40,https://youtu.be/SLd6OrjKN5c?t=286,https://youtu.be/SLd6OrjKN5c?t=866,1.0
2020.0,spring,PGN,2,OP,SPK,OP,SPK,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1290382?gameHash=4bf6139f150b83e4&tab=overview,https://youtu.be/TfMW2tppHYE?t=844,https://youtu.be/TfMW2tppHYE?t=1568,1.0
2020.0,spring,PGN,2,Q4G,CGG,Q4G,CGG,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1290403?gameHash=60c8d7ce4a5725c3,https://youtu.be/YX7n2Vd9VyU?t=259,https://youtu.be/YX7n2Vd9VyU?t=746,1.0
2020.0,spring,PGN,2,SMS,RCN,SMS,RCN,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1290427?gameHash=600e4e09e81ce7c8,https://youtu.be/WSr33hCgNoc?t=237,https://youtu.be/WSr33hCgNoc?t=823,1.0
2020.0,spring,PGN,2,YDN,MOR,YDN,MOR,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1290442?gameHash=2a75d9996ccaff8c,https://youtu.be/gVBRL9zlYtY?t=296,https://youtu.be/gVBRL9zlYtY?t=851,1.0
2020.0,spring,PGN,2,RCN,CGG,RCN,CGG,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1290604?gameHash=fe814459fa438609,https://youtu.be/TWiNYSmhH0I?t=438,https://youtu.be/TWiNYSmhH0I?t=975,1.0
2020.0,spring,PGN,2,MOR,OP,MOR,OP,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1290625?gameHash=9064949223341439,https://youtu.be/XbHjw6_cAQI?t=117,https://youtu.be/XbHjw6_cAQI?t=1017,1.0
2020.0,spring,PGN,2,Q4G,YDN,Q4G,YDN,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1290641?gameHash=b2671403dd5d459c,https://youtu.be/nBKD27fT7z0?t=189,https://youtu.be/nBKD27fT7z0?t=698,1.0
2020.0,spring,PGN,2,SPK,SMS,SPK,SMS,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1290647?gameHash=a493b03990d625b5,https://www.twitch.tv/videos/543655442?t=3h32m37s,https://www.twitch.tv/videos/543655442?t=3h41m10s,1.0
2020.0,spring,PGN,2,MOR,SPK,MOR,SPK,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1290866?gameHash=2b3ffb07b4b662bf&tab=overview,https://youtu.be/ONEPCCdmfHU?t=317,https://youtu.be/ONEPCCdmfHU?t=954,1.0
2020.0,spring,PGN,2,SMS,CGG,SMS,CGG,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1290876?gameHash=7677c14e5b4c1385&tab=overview,https://youtu.be/U1gLgy4rKD8?t=256,https://youtu.be/U1gLgy4rKD8?t=834,1.0
2020.0,spring,PGN,2,YDN,RCN,YDN,RCN,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1290887?gameHash=b92f338a5bfd37b8&tab=overview,https://youtu.be/aHbH9PFK9iM?t=246,https://youtu.be/aHbH9PFK9iM?t=660,1.0
2020.0,spring,PGN,2,OP,Q4G,OP,Q4G,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1290907?gameHash=6d186c6575acd313&tab=overview,https://youtu.be/GTt4FJTzncg?t=273,https://youtu.be/GTt4FJTzncg?t=953,1.0
2020.0,spring,PGN,3,CGG,YDN,CGG,YDN,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1302777?gameHash=35b4d1b9c4843d63&tab=overview,https://youtu.be/3hpOsPXFB98?t=471,https://youtu.be/3hpOsPXFB98?t=959,1.0
2020.0,spring,PGN,3,SPK,Q4G,SPK,Q4G,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1293078?gameHash=31841d4f95540ba2&tab=overview,https://youtu.be/gaa8zRY9fow?t=210,https://youtu.be/gaa8zRY9fow?t=760,1.0
2020.0,spring,PGN,3,MOR,SMS,MOR,SMS,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1293108?gameHash=413915f9295a26a5&tab=overview,https://youtu.be/lFj2RWQJ21M?t=227,https://youtu.be/lFj2RWQJ21M?t=711,1.0
2020.0,spring,PGN,3,RCN,OP,RCN,OP,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1293142?gameHash=bea0c94d1a402b2e&tab=overview,https://youtu.be/jLC2J3M0gVs?t=387,https://youtu.be/jLC2J3M0gVs?t=850,1.0
