year,season,league_name,week,team_1,team_2,Vod,set_number
2017.0,summer,TCL,1,SUP,CEC,http://www.youtube.com/watch?v=STkcCj1WGXU,1.0
2017.0,summer,TCL,1,,,http://www.youtube.com/watch?v=TJd0gy15VQc,2.0
2017.0,summer,TCL,1,P3P,CLK,http://www.youtube.com/watch?v=LP5H3wEZbaI,1.0
2017.0,summer,TCL,1,,,http://www.youtube.com/watch?v=usrVj4p6ReI,2.0
2017.0,summer,TCL,1,AUR,FB,http://www.youtube.com/watch?v=__WeWaiNgj8,1.0
2017.0,summer,TCL,1,,,http://www.youtube.com/watch?v=LCzmBqeuQns,2.0
2017.0,summer,TCL,1,GAL,DP,http://www.youtube.com/watch?v=xAR_9A1wnAQ&t=298s,1.0
2017.0,summer,TCL,1,,,http://www.youtube.com/watch?v=CFdzMALp7rU&t=4s,2.0
2017.0,summer,TCL,1,FB,SUP,http://www.youtube.com/watch?v=NQuH9tfQIm0&t=646s,1.0
2017.0,summer,TCL,1,,,http://www.youtube.com/watch?v=0dUAILw_eT8,2.0
2017.0,summer,TCL,1,CLK,AUR,http://www.youtube.com/watch?v=GJVDMLBcN9M,1.0
2017.0,summer,TCL,1,,,http://www.youtube.com/watch?v=w2yjBIwJNOE,2.0
2017.0,summer,TCL,1,DP,CEC,http://www.youtube.com/watch?v=NoLCHeYrfus,1.0
2017.0,summer,TCL,1,,,http://www.youtube.com/watch?v=NAksC20gQ6w,2.0
2017.0,summer,TCL,1,P3P,GAL,http://www.youtube.com/watch?v=S3UZJMioHJs,1.0
2017.0,summer,TCL,1,,,http://www.youtube.com/watch?v=uhd31O6hLWo,2.0
2017.0,summer,TCL,2,GAL,AUR,http://www.youtube.com/watch?v=X3kOq4PV6Z0,1.0
2017.0,summer,TCL,2,,,http://www.youtube.com/watch?v=-btsxUAHA7E,2.0
2017.0,summer,TCL,2,CEC,P3P,http://www.youtube.com/watch?v=1NvmSoggzUI,1.0
2017.0,summer,TCL,2,,,http://www.youtube.com/watch?v=Vb_h3qDCzGM,2.0
2017.0,summer,TCL,2,SUP,DP,http://www.youtube.com/watch?v=cg1oYovLtAo,1.0
2017.0,summer,TCL,2,,,http://www.youtube.com/watch?v=Wb0A4a7vKkY,2.0
2017.0,summer,TCL,2,FB,CLK,http://www.youtube.com/watch?v=uBSXiI34jk0,1.0
2017.0,summer,TCL,2,,,http://www.youtube.com/watch?v=xcCbJ1RTlRc,2.0
2017.0,summer,TCL,2,SUP,P3P,http://www.youtube.com/watch?v=PBQxAU0NOzw,1.0
2017.0,summer,TCL,2,,,http://www.youtube.com/watch?v=oPOxC1hvUSU,2.0
2017.0,summer,TCL,2,AUR,CEC,http://www.youtube.com/watch?v=eBQLEpg6DYQ,1.0
2017.0,summer,TCL,2,,,http://www.youtube.com/watch?v=q2jiDa96vto,2.0
2017.0,summer,TCL,2,DP,FB,http://www.youtube.com/watch?v=aqc8Rwf8u3I,1.0
2017.0,summer,TCL,2,,,http://www.youtube.com/watch?v=XJmtSsCbwfE,2.0
2017.0,summer,TCL,2,CLK,GAL,http://www.youtube.com/watch?v=jeNv_d-VCy0,1.0
2017.0,summer,TCL,2,,,http://www.youtube.com/watch?v=1wuZ1Y--pj8,2.0
2017.0,summer,TCL,3,AUR,SUP,http://www.youtube.com/watch?v=ADjLeAINtjg,1.0
2017.0,summer,TCL,3,,,http://www.youtube.com/watch?v=XjxvH7uFKvY,2.0
2017.0,summer,TCL,3,CLK,CEC,http://www.youtube.com/watch?v=h9y9TXikqdE,1.0
2017.0,summer,TCL,3,,,http://www.youtube.com/watch?v=ANI04KqBewM,2.0
2017.0,summer,TCL,3,GAL,FB,http://www.youtube.com/watch?v=zBOQdz-XoqQ,1.0
2017.0,summer,TCL,3,,,http://www.youtube.com/watch?v=vSxOnJz5Tso,2.0
2017.0,summer,TCL,3,P3P,DP,http://www.youtube.com/watch?v=ZA9e6qHPqTc,1.0
2017.0,summer,TCL,3,,,http://www.youtube.com/watch?v=hvqwsYL4Sn4,2.0
2017.0,summer,TCL,3,GAL,CEC,http://www.youtube.com/watch?v=v88lDaO2Vvo,1.0
2017.0,summer,TCL,3,,,http://www.youtube.com/watch?v=ecMCGaAqI6Q,2.0
2017.0,summer,TCL,3,CLK,SUP,http://www.youtube.com/watch?v=geejVdCCXes,1.0
2017.0,summer,TCL,3,,,http://www.youtube.com/watch?v=M3KOiuFJHNY,2.0
2017.0,summer,TCL,3,FB,P3P,http://www.youtube.com/watch?v=ii1egbiysYQ,1.0
2017.0,summer,TCL,3,,,http://www.youtube.com/watch?v=nvrstijy8qE,2.0
2017.0,summer,TCL,3,AUR,DP,http://www.youtube.com/watch?v=RmPLh70h2UE,1.0
2017.0,summer,TCL,3,,,http://www.youtube.com/watch?v=9I8yjp2c8y0,2.0
2017.0,summer,TCL,4,SUP,GAL,http://www.youtube.com/watch?v=HWj6EkLyJxY,1.0
2017.0,summer,TCL,4,,,http://www.youtube.com/watch?v=RpKE1BkrZBI,2.0
2017.0,summer,TCL,4,DP,CLK,http://www.youtube.com/watch?v=XfD8EnyS9h8,1.0
2017.0,summer,TCL,4,,,http://www.youtube.com/watch?v=ozK8rLkbsFU,2.0
2017.0,summer,TCL,4,FB,CEC,http://www.youtube.com/watch?v=ViMfBilhlMk,1.0
2017.0,summer,TCL,4,,,http://www.youtube.com/watch?v=R2M2C7h3yj8,2.0
2017.0,summer,TCL,4,P3P,AUR,http://www.youtube.com/watch?v=_KwZy5wZSZ8,1.0
2017.0,summer,TCL,4,,,http://www.youtube.com/watch?v=OZ1ZJIWIob8,2.0
2017.0,summer,TCL,4,CEC,SUP,http://www.youtube.com/watch?v=Gen6bC_4icU,1.0
2017.0,summer,TCL,4,,,http://www.youtube.com/watch?v=hCg_ZnB7Q-4,2.0
2017.0,summer,TCL,4,DP,GAL,http://www.youtube.com/watch?v=_rRHZpl6VRE,1.0
2017.0,summer,TCL,4,,,http://www.youtube.com/watch?v=rXsgJHOYlOw,2.0
2017.0,summer,TCL,4,AUR,FB,http://www.youtube.com/watch?v=SL0WzDTxWUg&t=17s,1.0
2017.0,summer,TCL,4,,,http://www.youtube.com/watch?v=akFBNMN4onU,2.0
2017.0,summer,TCL,4,CLK,P3P,http://www.youtube.com/watch?v=Z9LwNhPCUPM,1.0
2017.0,summer,TCL,4,,,http://www.youtube.com/watch?v=uuUREetrV0c,2.0
2017.0,summer,TCL,5,AUR,CLK,http://www.youtube.com/watch?v=ufkJEdtUZtM,1.0
2017.0,summer,TCL,5,,,http://www.youtube.com/watch?v=fngci5ph47Q,2.0
2017.0,summer,TCL,5,SUP,FB,http://www.youtube.com/watch?v=RFt_VSKZQ38&t=1s,1.0
2017.0,summer,TCL,5,,,http://www.youtube.com/watch?v=9xcTQn8N2zU,2.0
2017.0,summer,TCL,5,GAL,P3P,http://www.youtube.com/watch?v=m15OIDgD4ik,1.0
2017.0,summer,TCL,5,,,http://www.youtube.com/watch?v=byB7ScI2gGk,2.0
2017.0,summer,TCL,5,CEC,DP,http://www.youtube.com/watch?v=MTYJcdAc25Y,1.0
2017.0,summer,TCL,5,,,http://www.youtube.com/watch?v=xfwrAebiSUE,2.0
2017.0,summer,TCL,5,AUR,GAL,http://www.youtube.com/watch?v=G46_CVCOu08,1.0
2017.0,summer,TCL,5,,,http://www.youtube.com/watch?v=mHdCC7QHD34,2.0
2017.0,summer,TCL,5,CLK,FB,http://www.youtube.com/watch?v=j8MazYgewuk,1.0
2017.0,summer,TCL,5,,,http://www.youtube.com/watch?v=8D7YjcMi5nw,2.0
2017.0,summer,TCL,5,DP,SUP,http://www.youtube.com/watch?v=m-f_30cmocA&t=2s,1.0
2017.0,summer,TCL,5,,,http://www.youtube.com/watch?v=nhAgAnFezYE,2.0
2017.0,summer,TCL,5,P3P,CEC,http://www.youtube.com/watch?v=AE6YFj8_J_U,1.0
2017.0,summer,TCL,5,,,http://www.youtube.com/watch?v=5sIdTUP1-0g,2.0
2017.0,summer,TCL,6,FB,DP,http://www.youtube.com/watch?v=7QCy0pFp9AU&t=3s,1.0
2017.0,summer,TCL,6,,,http://www.youtube.com/watch?v=W0651epnSZU,2.0
2017.0,summer,TCL,6,GAL,CLK,http://www.youtube.com/watch?v=cz4zeVDL5X8,1.0
2017.0,summer,TCL,6,,,http://www.youtube.com/watch?v=eAdgBAZ1dXk,2.0
2017.0,summer,TCL,6,P3P,SUP,http://www.youtube.com/watch?v=J24iY0cjNPE,1.0
2017.0,summer,TCL,6,,,http://www.youtube.com/watch?v=gMq2SRWhm50,2.0
2017.0,summer,TCL,6,CEC,AUR,http://www.youtube.com/watch?v=kCNn9BAlOTI&t=7s,1.0
2017.0,summer,TCL,6,,,http://www.youtube.com/watch?v=HbUvYJ7kRtg,2.0
2017.0,summer,TCL,6,DP,P3P,http://www.youtube.com/watch?v=wp17Ji9FfiA,1.0
2017.0,summer,TCL,6,,,http://www.youtube.com/watch?v=FAxgQGxDfUw,2.0
2017.0,summer,TCL,6,FB,GAL,http://www.youtube.com/watch?v=-BlkNTLGON8,1.0
2017.0,summer,TCL,6,,,http://www.youtube.com/watch?v=HYOdY8PDPaY,2.0
2017.0,summer,TCL,6,CEC,CLK,http://www.youtube.com/watch?v=3hsvNhIAaZ4&t=2s,1.0
2017.0,summer,TCL,6,,,http://www.youtube.com/watch?v=9gywfiXDeYU,2.0
2017.0,summer,TCL,6,SUP,AUR,http://www.youtube.com/watch?v=YdcUP2k20QA,1.0
2017.0,summer,TCL,6,,,http://www.youtube.com/watch?v=7zAwzGuzOp8,2.0
2017.0,summer,TCL,7,SUP,CLK,http://www.youtube.com/watch?v=oi_mJi7omvg,1.0
2017.0,summer,TCL,7,,,http://www.youtube.com/watch?v=AL6zbljGEks,2.0
2017.0,summer,TCL,7,P3P,FB,http://www.youtube.com/watch?v=PyUTB4vUYvc,1.0
2017.0,summer,TCL,7,,,http://www.youtube.com/watch?v=O8EQGiBC-CY,2.0
2017.0,summer,TCL,7,DP,AUR,http://www.youtube.com/watch?v=LkbsKNld2iM,1.0
2017.0,summer,TCL,7,,,http://www.youtube.com/watch?v=qp_PnE2mQYI,2.0
2017.0,summer,TCL,7,CEC,GAL,http://www.youtube.com/watch?v=YIbrdti4fEo&t=57s,1.0
2017.0,summer,TCL,7,,,http://www.youtube.com/watch?v=81KctLYf-iY,2.0
2017.0,summer,TCL,7,CLK,DP,http://www.youtube.com/watch?v=J0Zl57thDFE,1.0
2017.0,summer,TCL,7,,,http://www.youtube.com/watch?v=JApw2MN67tQ,2.0
2017.0,summer,TCL,7,AUR,P3P,http://www.youtube.com/watch?v=VJ4AfX31uQY,1.0
2017.0,summer,TCL,7,,,http://www.youtube.com/watch?v=QvcHgRd-YDw,2.0
2017.0,summer,TCL,7,GAL,SUP,http://www.youtube.com/watch?v=LbPRr-iZt3U,1.0
2017.0,summer,TCL,7,,,http://www.youtube.com/watch?v=g7z6C-Rc1z8,2.0
2017.0,summer,TCL,7,CEC,FB,http://www.youtube.com/watch?v=-Lo5l6FLdjw,1.0
2017.0,summer,TCL,7,,,http://www.youtube.com/watch?v=XzpupHATzrw,2.0
2017.0,summer,TCL,Tiebreakers,AUR,CEC,http://www.youtube.com/watch?v=DJjbr3glKjg,1.0
