year,season,league_name,week,team_1,team_2,Blue,Red,MH,PB,Start,Post,HL,MVP,set_number
2019.0,spring,TCL,1,RYL,SUP,RYL,SUP,https://matchhistory.euw.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/1010276?gameHash=9a56c251686ef03d,https://www.youtube.com/watch?v=f9Bcl2FTNeQ,https://youtu.be/f9Bcl2FTNeQ?t=372,https://youtu.be/f9Bcl2FTNeQ?t=2245,https://www.youtube.com/watch?v=9AJOw19Km50,Wolf,1.0
2019.0,spring,TCL,1,GS,DP,GS,DP,https://matchhistory.euw.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/1010302?gameHash=75d05c41a0891c1e,https://www.youtube.com/watch?v=1qAekjjFZKk?t=12704,https://youtu.be/t5Q7c9w4AuA,https://youtu.be/t5Q7c9w4AuA?t=2257,https://www.youtube.com/watch?v=qfud2RL8g1U,Tolerant,1.0
2019.0,spring,TCL,1,FB,HWA,FB,HWA,https://matchhistory.euw.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/1010313?gameHash=5614708c270f8cde,https://www.youtube.com/watch?v=5a5KNJgaY0s,https://youtu.be/5a5KNJgaY0s?t=376,https://youtu.be/5a5KNJgaY0s?t=2044,https://www.youtube.com/watch?v=uO84TvEk-2o,Hades,1.0
2019.0,spring,TCL,1,BUR,GAL,BUR,GAL,https://matchhistory.euw.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/1010325?gameHash=4aef4beedbf429c1,https://www.youtube.com/watch?v=uIJCHvuud1A,https://youtu.be/uIJCHvuud1A?t=463,https://youtu.be/uIJCHvuud1A?t=2477,https://www.youtube.com/watch?v=f2yxHpuyvlU,Naru,1.0
2019.0,spring,TCL,1,BJK,AUR,BJK,AUR,https://matchhistory.euw.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/1010333?gameHash=e5d5e793ca9e905d,https://www.youtube.com/watch?v=ikFo6FtvirQ,https://youtu.be/ikFo6FtvirQ?t=366,https://youtu.be/ikFo6FtvirQ?t=2401,https://www.youtube.com/watch?v=0PaEsD3-2vo,Panky,1.0
2019.0,spring,TCL,1,GS,GAL,GS,GAL,https://matchhistory.euw.leagueoflegends.com/en/#match-details/ESPORTSTMNT05/1070273?gameHash=979287b2770d5485,https://www.youtube.com/watch?v=2wyl-GjBgi4,https://youtu.be/2wyl-GjBgi4?t=843,,https://www.youtube.com/watch?v=4pbSv9z-SVE,Taikki,1.0
2019.0,spring,TCL,1,BUR,BJK,BUR,BJK,https://matchhistory.euw.leagueoflegends.com/en/#match-details/ESPORTSTMNT05/1070281?gameHash=797686aa63a9b6f3,https://www.youtube.com/watch?v=5dGXDSz278I,https://youtu.be/5dGXDSz278I?t=416,,https://www.youtube.com/watch?v=y0SrS6NQg14,Gilius,1.0
2019.0,spring,TCL,1,DP,SUP,DP,SUP,https://matchhistory.euw.leagueoflegends.com/en/#match-details/ESPORTSTMNT05/1070290?gameHash=a5496329b97cd433,https://www.youtube.com/watch?v=vm82vKX3GBw,https://youtu.be/vm82vKX3GBw?t=386,,https://www.youtube.com/watch?v=K8pHP20JPgA,Stomaged,1.0
2019.0,spring,TCL,1,HWA,AUR,HWA,AUR,https://matchhistory.euw.leagueoflegends.com/en/#match-details/ESPORTSTMNT05/1070303?gameHash=0201dd1bb8dada3e,https://www.youtube.com/watch?v=vlwebYYsMQY,https://youtu.be/vlwebYYsMQY?t=757,,https://www.youtube.com/watch?v=v_mtFinGY-0,Wendelbo,1.0
2019.0,spring,TCL,1,RYL,FB,RYL,FB,https://matchhistory.euw.leagueoflegends.com/en/#match-details/ESPORTSTMNT05/1070329?gameHash=cb4a851e41437617,https://www.youtube.com/watch?v=QQnXNiJeSDY,https://youtu.be/QQnXNiJeSDY?t=454,,https://www.youtube.com/watch?v=PuilGTjy130,GBM,1.0
2019.0,spring,TCL,2,SUP,FB,FB,SUP,https://matchhistory.euw.leagueoflegends.com/en/#match-details/ESPORTSTMNT05/1070702?gameHash=480e8172ae4a9712,https://www.youtube.com/watch?v=y2mTmabJrS8,https://youtu.be/y2mTmabJrS8?t=433,https://youtu.be/y2mTmabJrS8?t=2108,https://www.youtube.com/watch?v=FlzhhaZXMKA,Ruin,1.0
2019.0,spring,TCL,2,DP,GAL,DP,GAL,https://matchhistory.euw.leagueoflegends.com/en/#match-details/ESPORTSTMNT05/1070719?gameHash=4081a9503de3d470,https://www.youtube.com/watch?v=n01xSowSP0k,https://youtu.be/n01xSowSP0k?t=521,https://youtu.be/n01xSowSP0k?t=2611,https://www.youtube.com/watch?v=kHcB2U03Wus,Ragner,1.0
2019.0,spring,TCL,2,RYL,AUR,AUR,RYL,https://matchhistory.euw.leagueoflegends.com/en/#match-details/ESPORTSTMNT05/1070726?gameHash=7a12220d0f458af0,https://www.youtube.com/watch?v=KZfPb6tpzDc,https://youtu.be/KZfPb6tpzDc?t=471,https://youtu.be/KZfPb6tpzDc?t=2154,https://www.youtube.com/watch?v=Imtytf2xYYA,Closer,1.0
