year,season,league_name,week,team_1,team_2,Blue,Red,MH,PB,Start,HL,MVP,Post,set_number
2019.0,summer,TCL,1,FB,SUP,SUP,FB,https://matchhistory.euw.leagueoflegends.com/en/#match-details/ESPORTSTMNT04/970403?gameHash=a305a1e81702db72&tab=overview,https://youtu.be/nNfCwIimdQ8?t=1,https://youtu.be/nNfCwIimdQ8?t=364,https://www.youtube.com/watch?v=AJjC-I5JGPc,Luana,,1.0
2019.0,summer,TCL,1,BJK,BUR,BJK,BUR,https://matchhistory.euw.leagueoflegends.com/en/#match-details/ESPORTSTMNT04/970406?gameHash=07e9683fb620c64d&tab=overview,https://youtu.be/oK6_fi51zOs?t=1,https://youtu.be/oK6_fi51zOs?t=399,https://www.youtube.com/watch?v=rYQRWyZOmVo,koearn kid,,1.0
2019.0,summer,TCL,1,DP,GAL,DP,GAL,https://matchhistory.euw.leagueoflegends.com/en/#match-details/ESPORTSTMNT04/970416?gameHash=d35579cc03cfc445&tab=overview,https://youtu.be/yDy9gjq6xU4?t=1,https://youtu.be/yDy9gjq6xU4?t=433,https://www.youtube.com/watch?v=h4MUsJBkN-w,Juuzou,,1.0
2019.0,summer,TCL,1,GS,IW,GS,IW,https://matchhistory.euw.leagueoflegends.com/en/#match-details/ESPORTSTMNT04/970429?gameHash=bc2f1de21e02dcc9&tab=overview,https://youtu.be/yR_iJopXwJs?t=1,https://youtu.be/yR_iJopXwJs?t=500,https://www.youtube.com/watch?v=1Z4Ynqx5gZQ,Unex,,1.0
2019.0,summer,TCL,1,AUR,RYL,RYL,AUR,https://matchhistory.euw.leagueoflegends.com/en/#match-details/ESPORTSTMNT04/970442?gameHash=10a7de0366651226&tab=overview,https://youtu.be/eCyMLzCRWtk?t=1,https://youtu.be/eCyMLzCRWtk?t=463,https://www.youtube.com/watch?v=S_son1dVQY4,Armut,,1.0
2019.0,summer,TCL,1,GAL,BJK,BJK,GAL,https://matchhistory.euw.leagueoflegends.com/en/#match-details/ESPORTSTMNT04/970490?gameHash=4f3c555d1f6c66eb&tab=overview,https://youtu.be/GLEdwuhjCaY?t=1,https://youtu.be/GLEdwuhjCaY?t=439,https://www.youtube.com/watch?v=lWqgMz1KXYE,Trix,,1.0
2019.0,summer,TCL,1,BUR,FB,BUR,FB,https://matchhistory.euw.leagueoflegends.com/en/#match-details/ESPORTSTMNT04/970507?gameHash=42decb6be4aa3287&tab=overview,https://youtu.be/0z91B7PJGwU?t=3,https://youtu.be/0z91B7PJGwU?t=671,https://www.youtube.com/watch?v=eGUBl8CWf_A,Untara,,1.0
2019.0,summer,TCL,1,RYL,SUP,SUP,RYL,https://matchhistory.euw.leagueoflegends.com/en/#match-details/ESPORTSTMNT04/970516?gameHash=b1673836bd333f81&tab=overview,https://youtu.be/sljsaEu838E?t=1,https://youtu.be/sljsaEu838E?t=398,https://www.youtube.com/watch?v=-WSAAj9tLbY,Cyeol,,1.0
2019.0,summer,TCL,1,IW,AUR,IW,AUR,https://matchhistory.euw.leagueoflegends.com/en/#match-details/ESPORTSTMNT04/970528?gameHash=427389d76a84883f&tab=overview,https://youtu.be/NIT1EEyY8-c?t=1,https://youtu.be/NIT1EEyY8-c?t=506,https://www.youtube.com/watch?v=YuXnLParIQE,Mojito,,1.0
2019.0,summer,TCL,1,GS,DP,GS,DP,https://matchhistory.euw.leagueoflegends.com/en/#match-details/ESPORTSTMNT04/970541?gameHash=ff3f4a04619eb406&tab=overview,https://youtu.be/dDb5YicNzPU?t=1,https://youtu.be/dDb5YicNzPU?t=542,https://www.youtube.com/watch?v=6gtogNib-jA,GBM,,1.0
2019.0,summer,TCL,2,FB,RYL,RYL,FB,https://matchhistory.euw.leagueoflegends.com/en/#match-details/ESPORTSTMNT04/970837?gameHash=11dbda9e28d2d18d,https://www.youtube.com/watch?v=XKFBKCJF9qw,https://youtu.be/XKFBKCJF9qw?t=420,https://www.youtube.com/watch?v=cV1tiJsMcMk,Luger,https://youtu.be/XKFBKCJF9qw?t=2688,1.0
2019.0,summer,TCL,2,SUP,IW,IW,SUP,https://matchhistory.euw.leagueoflegends.com/en/#match-details/ESPORTSTMNT04/970851?gameHash=17cd9a6c102b2e17,https://www.youtube.com/watch?v=Tw7PlcMsca4,https://youtu.be/Tw7PlcMsca4?t=507,https://www.youtube.com/watch?v=9v6CCrD_rN4,Luana,https://youtu.be/Tw7PlcMsca4?t=1829,1.0
2019.0,summer,TCL,2,BJK,GS,GS,BJK,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT04/970857?gameHash=6f6c8bfebf9714b8&tab=overview,https://www.youtube.com/watch?v=7uBJZMFI44I,https://youtu.be/7uBJZMFI44I?t=505,https://www.youtube.com/watch?v=Y1Qy4yVesNE,GBM,https://youtu.be/7uBJZMFI44I?t=2364,1.0
2019.0,summer,TCL,2,AUR,DP,AUR,DP,https://matchhistory.euw.leagueoflegends.com/en/#match-details/ESPORTSTMNT04/970863?gameHash=6a285808801ef527,https://www.youtube.com/watch?v=ElQy2w8u4BY,https://youtu.be/ElQy2w8u4BY?t=493,https://www.youtube.com/watch?v=b0D1TH40Kb4,Eren,https://youtu.be/ElQy2w8u4BY?t=2236,1.0
2019.0,summer,TCL,2,BUR,GAL,BUR,GAL,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT04/970871?gameHash=fbf0b95515b16d63&tab=overview,https://www.youtube.com/watch?v=PkNAib3SSaQ,https://youtu.be/PkNAib3SSaQ?t=578,https://www.youtube.com/watch?v=Ie4QdEs3TUg,Japone,https://youtu.be/PkNAib3SSaQ?t=2541,1.0
2019.0,summer,TCL,2,AUR,BJK,AUR,BJK,https://matchhistory.euw.leagueoflegends.com/en/#match-details/ESPORTSTMNT04/970949?gameHash=467cd3517b17b399,https://www.youtube.com/watch?v=b1Jx0wBfI38,https://youtu.be/b1Jx0wBfI38?t=444,https://www.youtube.com/watch?v=DgGSLH4xMFQ,Mayhem,,1.0
2019.0,summer,TCL,2,DP,SUP,DP,SUP,https://matchhistory.euw.leagueoflegends.com/en/#match-details/ESPORTSTMNT04/970963?gameHash=8747885049fc2d28,https://www.youtube.com/watch?v=y3_kmJPqVjc,https://youtu.be/y3_kmJPqVjc?t=424,https://www.youtube.com/watch?v=GccHlgc6STk,Kituruken,,1.0
2019.0,summer,TCL,2,GS,BUR,GS,BUR,https://matchhistory.euw.leagueoflegends.com/en/#match-details/ESPORTSTMNT04/970985?gameHash=e51ab441ca6f5501,https://www.youtube.com/watch?v=QWP3YNvaKaI,https://youtu.be/QWP3YNvaKaI?t=464,https://www.youtube.com/watch?v=UeXAqdOYK8g,GBM,,1.0
2019.0,summer,TCL,2,IW,RYL,IW,RYL,https://matchhistory.euw.leagueoflegends.com/en/#match-details/ESPORTSTMNT04/970995?gameHash=96dfa3f40bc0dc65,https://www.youtube.com/watch?v=0U2MronjvuA,https://youtu.be/0U2MronjvuA?t=413,https://www.youtube.com/watch?v=J0T3Etqur9Q,Tolerant,,1.0
2019.0,summer,TCL,2,GAL,FB,FB,GAL,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT04/971006?gameHash=d40bd33310e189a5,https://www.youtube.com/watch?v=aNz2vkbVclU,https://youtu.be/aNz2vkbVclU?t=453,https://www.youtube.com/watch?v=5WZQfBGPsqo,Hades,,1.0
2019.0,summer,TCL,3,RYL,DP,DP,RYL,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT05/1180186?gameHash=81cbdbc44fa8ccc8&tab=overview,https://youtu.be/3GGIqe5JXUY?t=1,https://youtu.be/3GGIqe5JXUY?t=588,https://www.youtube.com/watch?v=Z-sU_JtBiDE,Cyeol,,1.0
